"","X","WS12.2","WS14.2","WS17.2","WS18.2","WS2.2","WS21.2","WS23.2","WS24.2","WS27.2","WS32.2","WS33.2","WS34.2","WS36.2","WS37.2","WS38.2","WS39.2","WS4.2","WS40.2","WS42.2","WS43.2","WS47.2","WS5.2","WS6.2","WS8.2","WS9.2","Ensembl"
"ENSG00000000003 - TSPAN6","TSPAN6",3709,1336.004,721,1425.999,1855,2007,805,1141.001,832,671,2112,3794,1952,735,2055.001,1793,2986.999,2173.001,1308,1143,1309,3652,1562.005,4961.001,883,"ENSG00000000003"
"ENSG00000000005 - TNMD","TNMD",19,11,4,10,13,16,2,26,6,2,18,18,16,7,21,17,29,23,13,15,5,39,13,75,5,"ENSG00000000005"
"ENSG00000000419 - DPM1","DPM1",613,228,112,378,510.999,466.999,195,246,180.999,195.999,407.998,788.999,376.001,160,664.999,879.001,440,631,540,233,299.001,756,496,2107.001,273.999,"ENSG00000000419"
"ENSG00000000457 - SCYL3","SCYL3",762.001,233,182,253.999,427,335,164,339,123,94,590.001,745,172,185,342,359.001,568,405,337,307,484.001,507,380,826,281,"ENSG00000000457"
"ENSG00000000460 - C1orf112","C1orf112",49,65,11,18,35,90,17,16,28,55,49.995,183,51,12,230.407,306.001,35,97.001,67.708,15,25,41,38.999,409,23.001,"ENSG00000000460"
"ENSG00000000938 - FGR","FGR",29,36,0,29,16,40,8,30,31,19,43,25,15,9,24,6,6,41,13,4,28,59,35,25,3,"ENSG00000000938"
"ENSG00000000971 - CFH","CFH",239,165.178,7,54,19,122.186,27,26,71.726,64,66,36,16,3,245.758,48,14,55,61,23,81.999,45,12,31,21,"ENSG00000000971"
"ENSG00000001036 - FUCA2","FUCA2",2930.001,1142,752.999,1173,1961,2067.001,1065,1136,573.999,844.997,1918,2975.001,1909.999,1004,2313,3292.999,2630,1952.999,2017,1002,1323,2577,1829,6536,1073,"ENSG00000001036"
"ENSG00000001084 - GCLC","GCLC",965,257.999,170.999,471.001,368.758,468,154,310.999,198.001,172,456,1009.999,297.001,165,624,726,483.001,519,433,303,348,746,378,1510,292,"ENSG00000001084"
"ENSG00000001167 - NFYA","NFYA",722.989,279.94,111,268,353,446,180,214.996,197,132.981,321,810,402.043,188,509.995,857,377,447,381,190,283,556,290,1196,207,"ENSG00000001167"
"ENSG00000001460 - STPG1","STPG1",1254.001,400.96,279.999,660.999,764.998,517.001,376,371,170.999,163,875.001,752,311.001,300,620.001,729.001,639.999,689.001,699,412,526.001,796,622,1386,368,"ENSG00000001460"
"ENSG00000001461 - NIPAL3","NIPAL3",2275,762,472,704,891,1104,588,781.001,545,388,1489.999,2071.002,614,652,1251,1616,997,1427.999,1059,600,1143.999,2037,960,2964.999,747.999,"ENSG00000001461"
"ENSG00000001497 - LAS1L","LAS1L",433.001,320.656,96,203,193,544,169,204.999,175.001,238,250.001,807,608,83,710.001,1163,302,488,434.999,236,196.001,273.001,274,1771,225,"ENSG00000001497"
