"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",290,0.581985351412268,1.75219843857233,1.80517925553903e-14,1.64939228578601e-10,1.41697070616363e-10,3084,"tags=45%, list=17%, signal=38%","ADAMTS4/MADCAM1/COL26A1/EMILIN3/MMP3/TGFB2/TNC/ADAMTS1/BGN/MMP9/ASPN/LAMA2/COL14A1/PLG/NID1/ITGA8/P3H3/ADAM12/KLK2/COL15A1/COL1A1/BMP7/SPP1/MUSK/ADAMTS8/VCAN/ITGAD/ITGAX/LAMA5/PCOLCE/ICAM4/COL6A3/COL1A2/ITGA5/COL3A1/PTPRS/LTBP2/FGF2/ADAMTS3/LOXL1/LUM/LOXL2/COL6A1/LAMC1/VWF/COL8A2/COL11A2/KDR/A2M/MMP19/ITGA11/ITGA10/COL18A1/COL4A1/MMP2/ADAM19/ITGB2/FBLN5/MMP16/SPARC/ELN/MFAP2/SCUBE3/VCAM1/COL5A1/HAPLN1/MMP7/MMP12/EFEMP1/MMP17/CTSG/COL6A2/FBN1/FBN2/MMP1/EMILIN1/FBLN1/TNR/PDGFB/VTN/COL4A6/PECAM1/MFAP4/CTSK/COL8A1/SPOCK3/MMP8/NRXN1/ICAM1/COL2A1/TLL1/LAMA4/PRSS1/EFEMP2/MATN3/FBLN2/JAM3/ITGA4/COL5A2/COL27A1/LOXL4/SDC3/LOXL3/TNXB/COL12A1/P4HA3/CAPN6/TIMP1/PXDN/BMP10/LAMC3/ICAM5/BMP4/DDR2/ITGA9/HTRA1/TPSAB1/SERPINE1/FGB/KLKB1/MATN4/ITGAL/DCN/ADAM8/ICAM2/ITGB3/COL11A1/MMP25/JAM2/LOX"
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",392,0.545055400747075,1.65565657185948,1.42158535627988e-13,6.49451270016462e-10,5.57934842198897e-10,3557,"tags=45%, list=20%, signal=37%","CTHRC1/ADAMTS4/NTNG2/ZP2/ADIPOQ/LRRC15/COL26A1/EMILIN3/FCN3/TGFB2/TNC/ADAMTS1/BGN/MMP9/ASPN/DPT/LAMA2/COL14A1/PLG/NID1/FCN1/CLU/COL15A1/COL1A1/CDH2/BMP7/THBS2/F2/ANGPTL2/ADAMTS8/S100A8/VCAN/SCARA3/TGM2/LAMA5/PCOLCE/INHBE/MFGE8/COL6A3/COL1A2/COL3A1/LTBP2/SERPINA3/ANGPT2/MXRA5/SSC5D/ADAMTS3/SERPINA5/LOXL1/AEBP1/LUM/LOXL2/COL6A1/LAMC1/CLEC14A/VWF/COL8A2/COL11A2/ANGPT1/A2M/S100A9/ADAMTSL4/CSPG4/SERPING1/ANGPTL7/COL18A1/COL4A1/PRELP/MMP2/ADAM19/ITIH5/ANGPTL4/ABI3BP/FBLN5/SPARC/ELN/SERPINF1/MFAP2/COL5A1/HAPLN1/EFEMP1/NTN1/APOE/CTSG/MGP/COL6A2/FBN1/FBN2/MMRN2/TIMP3/ECM1/EMILIN1/FBLN1/CXCL12/KRT1/TNR/PDGFB/VTN/CCDC80/COL4A6/MFAP4/CFP/ADAMTS10/COL8A1/THBS4/NTN3/MMP8/ICAM1/ANXA6/COL2A1/PODN/LAMA4/EGFLAM/TECTA/PRSS1/EFEMP2/SPARCL1/OMD/MATN3/MMRN1/CLEC3B/FBLN2/ADAMDEC1/CLC/COL5A2/CCN1/GPC6/COL27A1/TGFB1I1/SDC3/TMEFF2/TNXB/COL12A1/C1QA/MYOC/TIMP1/PXDN/BCAM/L1CAM/LAMC3/EGFL7/NAV2/SERPINF2/HTRA1/TPSAB1/SERPINE1/WNT2B/POSTN/FGB/MATN4/VIT/WNT5A/DCN/SULF1/ANGPTL1/ADAMTS15/COL11A1/GPC5/C1QB/C1QC/TGFBI/FGF10/COL4A4/S100A4/SNORC/COL7A1/CCN3/GPC1/ITIH1/WNT5B/COL16A1/FGA/COL6A6/SDC2/COLQ"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",291,0.566280556710355,1.70549409866517,1.05525897059284e-12,3.2139670714356e-09,2.76107583989854e-09,3607,"tags=42%, list=20%, signal=34%","TCF15/ADAMTS4/PTX3/IL6/NTNG2/HPN/FOXC2/MMP3/TGFB2/ADAMTS1/MMP9/DPT/COL14A1/PLG/NID1/FLRT2/ITGA8/ADAMTS6/COL15A1/ADAMTS7/COL1A1/ADAMTS8/ADAMTS12/ENG/PDPN/COL1A2/COL3A1/ADAMTS3/OLFML2B/LOXL1/AEBP1/LUM/LOXL2/LAMC1/FOXF1/COL8A2/COL11A2/PAPLN/MMP19/ADAMTSL4/ANGPTL7/FSCN1/COL18A1/COL4A1/MMP2/ABI3BP/NPHS1/FBLN5/MMP16/ELN/COL5A1/MMP7/MMP12/MMP17/OLFML2A/CTSG/SPOCK2/PDGFRA/MMP1/EMILIN1/FBLN1/TNR/RGCC/CCDC80/COL4A6/MFAP4/CTSK/ADAMTS10/COL8A1/MMP8/COL2A1/WDR72/TLL1/GPM6B/EGFLAM/PRSS1/EFEMP2/FBLN2/COL5A2/CCN1/COL27A1/LOXL4/RAMP2/FKBP10/LOXL3/TNXB/COL12A1/CARMIL2/PXDN/CAV1/SERPINF2/DDR2/TPSAB1/FOXF2/POSTN/VIT/ADAM8/SULF1/ADAMTS15/COL11A1/MMP25/SCX/CRISPLD2/HAS2/RECK/LOX/NOTCH1/CAV2/TGFBI/COL4A4/MMP27/SH3PXD2B/ANTXR1/WT1/LCP1/COL16A1/HPSE2/MYH11/COL6A6/COLQ/LAMB4"
"GOBP_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_JUNCTION_ASSEMBLY",390,0.52635920484724,1.59899791725759,4.02976236553142e-11,9.20498468346515e-08,7.90787841046521e-08,3762,"tags=36%, list=21%, signal=29%","LRRTM2/NTNG2/SNAI1/ADD2/DRD1/EPHB1/CLDN16/LRRC4B/FLRT2/GJC1/CLDN6/PTPRD/GJA4/LGI2/PCDHB6/CDH2/THBS2/MUSK/ADGRB3/THSD1/NLGN4X/SLITRK3/ITGA5/POU4F1/CNTNAP1/LRFN5/NPTX1/LAMC1/SYNDIG1/ADGRB1/CLDN19/KDR/CDH11/FSCN1/LRRN1/TRPV4/SHANK3/THY1/PCDHB5/APLNR/BDNF/DNER/ADGRL3/NLGN3/NLGN1/GJA5/SDK1/NTN1/ERBB4/PLXND1/CLDN9/FRMPD2/GJB6/CLDN34/EPHA7/SPOCK2/NLGN4Y/SNCA/ARHGAP6/IRX3/SEMA4A/DCHS1/GABRB3/PECAM1/PCDHB3/TEK/GHRL/GPM6A/NRXN1/FAM107A/FERMT2/HEG1/CDH19/CDH5/GPM6B/MPDZ/CLDN14/ANK2/JAM3/EPHA3/GPC6/MAP1B/RAMP2/NRP1/SLIT1/GJA1/SEMA4D/PCDHB2/SNAI2/CDH6/MYOC/ROBO2/CDH22/PCDHB14/LRRTM1/CAV1/DNM3/HDAC7/DSG1/OBSL1/OXTR/TBCD/ST8SIA2/DLG5/NTRK3/GABRB2/CLDN5/WNT5A/SLITRK4/TLR2/GAP43/PCDH17/ARVCF/FGF13/AMIGO2/APOD/PPM1F/LHFPL4/OXT/CLDN10/ACTN1/RAB29/CORO2B/NRCAM/SDK2/PTPRO/COL16A1/SLITRK6/COLQ/PKP1/CDH24/NEGR1/SLITRK5/EPHB2/BCL2/SFRP1/CDH7/FBF1/PCDHB4/SPTBN2"
"GOBP_SYNAPSE_ORGANIZATION","GOBP_SYNAPSE_ORGANIZATION","GOBP_SYNAPSE_ORGANIZATION",390,0.523945091591924,1.59166421428113,7.41211725491835e-11,1.35449030716378e-07,1.16362438673529e-07,4066,"tags=39%, list=22%, signal=31%","LRRTM2/NTNG2/TMEM108/ELFN1/ADD2/DRD1/FRMPD4/ERC2/EPHB1/DOK7/GDNF/LRRC4B/FLRT2/UNC13A/NEFH/PTPRD/LGI2/PCDHB6/CDH2/THBS2/MUSK/SHANK1/ADGRB3/RAPSN/SNCG/IL10/NLGN4X/SLITRK3/C3/PTPRS/POU4F1/CNTNAP1/LRFN5/NPTX1/MAPT/SLC6A1/ARHGAP22/SYNDIG1/ADGRB1/PCDHGC5/COL4A1/LRRN1/DRP2/RELN/SHANK3/PCDHB5/BDNF/FCGR2B/DNER/ADGRL3/NLGN3/NLGN1/SDK1/SLC8A2/NTN1/NEUROD2/APOE/ERBB4/DLGAP3/PLXND1/CNKSR2/EPHA7/FLNA/SPOCK2/NLGN4Y/SNCA/SEMA4A/TNR/GABRB3/PCDHB3/CDC20/ARHGEF15/F2R/GHRL/GPM6A/NRXN1/C5AR1/CX3CR1/SPARCL1/LRP8/GPC6/SRGN/MAP1B/NRP1/SLIT1/PAK3/NRP2/SEMA4D/C1QA/PCDHB2/ROBO2/PCDHB14/DLG4/L1CAM/LRRTM1/LRRK2/C1QL1/DNM3/OBSL1/OXTR/ST8SIA2/DLG5/NTRK3/RAB39B/GABRB2/WNT5A/CNTN2/SLITRK4/CX3CL1/TLR2/GAP43/SYN1/PCDH17/SEMA3E/FGF13/WASF3/IL10RA/C1QB/C1QC/AMIGO2/LHFPL4/OXT/CDK5R1/WNT7B/PCDHGC4/ACTN1/RAB29/NRCAM/SDK2/SEMA3F/PTPRO/CHRNA7/SLITRK6/COLQ/ITGAM/NEGR1/SRCIN1/ADGRL1/SLITRK5/EPHB2/ZNF804A/DOCK10/PCDHB4/SPTBN2/PRNP/SLC8A3/PCDHB10/LRRC4C/PPFIBP1/TUBB/SYNGAP1/PCDHB16/LAMB2/PDZRN3"
"GOBP_UROGENITAL_SYSTEM_DEVELOPMENT","GOBP_UROGENITAL_SYSTEM_DEVELOPMENT","GOBP_UROGENITAL_SYSTEM_DEVELOPMENT",339,0.529123481691912,1.60062498125346,4.6723567683486e-10,7.11522063206686e-07,6.11259024939922e-07,4267,"tags=41%, list=23%, signal=32%","ADIPOQ/FOXC2/TBX18/GPR4/WNT6/GDF6/TGFB2/GDNF/TNC/ADAMTS1/MMP9/NID1/NOG/ITGA8/GLIS2/NOTCH3/ADAMTS6/MME/FGF1/BMP7/TP73/LAMA5/OSR2/WNT1/ANGPT2/GLI2/FGF2/GLI1/FOXF1/ANGPT1/PDGFRB/TFAP2A/COL4A1/MMP2/NPHS1/SERPINF1/TCF21/SALL1/BASP1/MMP17/ERBB4/PLXND1/EPHA7/FBN1/PDGFRA/KLF15/IRX3/CYP4A22/SOX8/FOXB1/GDF11/CYP26A1/PDGFB/SOX17/DCHS1/PKHD1/EYA1/GFRA1/PECAM1/TEK/SMO/CD34/SLIT2/GLI3/EGR1/CENPF/NRP1/KIF26B/NKX3-1/MYOCD/TNS2/LIF/GATA2/AR/EDNRB/EDNRA/ROBO2/PODXL/BMP10/EMX2/LRRK2/TACSTD2/BMP4/KCNJ8/KANK2/BMP6/TP63/DLG5/WNT2B/POU3F3/AGTR2/SOX11/WNT5A/RET/SULF1/BICC1/MYC/HELLS/HEYL/EAF2/HAS2/ZBTB16/NOTCH1/DLL1/RGN/FGF10/COL4A4/WNT7B/WT1/PTPRO/RPGRIP1L/OSR1/PKD2/PLAG1/AMH/WFS1/HOXA11/EPHB2/BCL2/CNTRL/CTSH/SFRP1/ESR1/AKR1B1/CC2D2A/HOXD13/PTCD2/HES5/ARL3/KLHL3/LAMB2/PTK7/PKD1L3/PDGFD/DYNC2H1/ANXA1/SERPINB5/PAX2/LIN28A"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT","GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT","GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",156,0.599200603639338,1.76387757587035,1.16300807621329e-09,1.331912618758e-06,1.14422819860007e-06,2250,"tags=45%, list=12%, signal=40%","CTHRC1/TFPI2/ZP2/ADIPOQ/EMILIN3/TNC/BGN/ASPN/DPT/LAMA2/COL14A1/NID1/COL15A1/COL1A1/THBS2/VCAN/LAMA5/PCOLCE/MFGE8/COL6A3/COL1A2/COL3A1/LTBP2/MXRA5/AEBP1/LUM/COL6A1/LAMC1/VWF/COL8A2/COL11A2/CHI3L1/COL18A1/COL4A1/PRELP/ABI3BP/FBLN5/SPARC/ELN/CD4/MFAP2/COL5A1/HAPLN1/EFEMP1/MGP/COL6A2/FBN1/FBN2/MMRN2/ECM1/EMILIN1/FBLN1/VTN/COL4A6/MFAP4/COL8A1/COL2A1/PODN/LAMA4/TECTA/EFEMP2/MATN3/MMRN1/FBLN2/COL5A2/CCN1/COL27A1/TNXB/COL12A1/PXDN"
"GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES","GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES","GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES",259,0.547780127173533,1.64358747815581,1.16617061946634e-09,1.331912618758e-06,1.14422819860007e-06,4293,"tags=49%, list=24%, signal=38%","PCDHA13/NTNG2/MAG/ADIPOQ/PCDHB8/PCDHGA8/PCDHA7/SELE/CLDN16/TGFB2/LRRC4B/SELL/SELP/REG3A/CLDN6/PCDH10/PTPRD/PCDHB12/PCDHB6/CDH2/IL10/SLITRK3/ITGA5/PTPRS/LRFN5/PCDH18/PCDHB7/PCDHGB7/CLDN19/PCDHGC5/CDH11/PCDHGA9/PCDHA1/PCDHB5/ITGB2/UNC5D/ADGRL3/NLGN1/VCAM1/SDK1/CDH3/CLDN9/SCARF2/FAT4/TRO/FXYD5/PCDHB15/MPZ/PCDHA5/EMB/ROBO4/CELSR1/NEXN/DCHS1/PCDHAC2/PECAM1/PCDHB3/CADM3/ICAM1/CDH19/CDH5/ROBO1/PCDHGA2/SPARCL1/CLDN14/GPC6/TENM3/PCDHA4/CD84/PCDHB2/CDH6/PCDHGA3/ROBO2/PCDHGA7/CDH22/PCDHB14/DSG3/L1CAM/TENM4/DSG1/OBSL1/IL1RN/CLDN5/PCDHA3/ITGAL/CNTN2/RET/PCDH9/PCDHB1/PCDHGB2/PCDH11X/CX3CL1/PCDH17/ARVCF/PCDH19/PTPRM/AMIGO2/CLDN10/PCDHGC4/MYADM/PCDH12/SDK2/PCDHGA12/PCDH7/CELSR3/PCDHGA1/CD6/ITGAM/CDH24/FAT2/ADGRL1/CDH7/PCDHA12/PCDHB4/PCDHB10/LRRC4C/CDH15/CLDN15/CLDN1/PCDHB16/PCDHGB5/AJUBA/PCDHGB6/CDH10/CNTN6/GRID2"
"GOBP_MUSCLE_ORGAN_DEVELOPMENT","GOBP_MUSCLE_ORGAN_DEVELOPMENT","GOBP_MUSCLE_ORGAN_DEVELOPMENT",297,0.529567054750685,1.5959814037656,3.47983221337813e-09,3.53280299262622e-06,3.0349834871533e-06,3166,"tags=32%, list=17%, signal=27%","TCF15/TWIST1/FOXC2/MEOX2/EPHB1/KEL/TGFB2/ZFPM2/TCF23/LAMA2/NOG/ITGB1BP2/EGR3/LY6E/LEF1/KLHL41/MYLK2/LAMA5/RIPOR2/ENG/SOX15/SPEG/COL6A3/TIFAB/DMRTA2/CAVIN4/CRYAB/COL3A1/POU4F1/CNTNAP1/CTF1/PAX5/ADGRB1/CHODL/TAGLN/ITGA11/FHL3/MSC/JPH2/NPHS1/TBX1/FOS/ELN/S1PR1/SGCA/DNER/TCF21/CXCL10/FHL1/BASP1/RXRG/EGR2/RYR2/SGCE/ACTA1/HEY2/SOX8/HLF/BVES/HEG1/SMO/PITX1/FZD2/EFEMP2/CNTF/EGR1/CENPF/MAPK12/MYOCD/ADARB1/GJA1/LIF/EOMES/EDNRA/BMP10/MYBPC3/CFL2/SGCD/CAV1/BMP4/SMTN/POU6F1/LMOD3/SOX11/WNT5A/RYR1/MSTN/COL11A1/TNNI1/SCX/HEYL/LOX/NOTCH1/CAV2/DLL1/SGCG"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",84,0.663503238819885,1.89173907938309,5.47680555182952e-09,5.00415723270664e-06,4.2990041052624e-06,3600,"tags=58%, list=20%, signal=47%","MADCAM1/TNC/ITGA8/COL1A1/SPP1/ITGAD/ITGAX/ICAM4/COL6A3/COL1A2/ITGA5/COL3A1/LUM/COL6A1/VWF/COL8A2/KDR/ITGA11/ITGA10/COL18A1/COL4A1/ITGB2/VCAM1/COL5A1/COL6A2/FBN1/VTN/COL4A6/PECAM1/COL8A1/ICAM1/COL2A1/JAM3/ITGA4/COL5A2/ICAM5/ITGA9/FGB/ITGAL/ICAM2/ITGB3/JAM2/COL4A4/COL7A1/COL16A1/FGA/COL6A6/ITGAM/CD44"
