"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbols"
"ENSG00000141854 - MISP3",7.51801685254782,6.50169859278314,2.94408077389965,2.20839681112797,0.0272166239037814,0.395467335742014," MISP3"
"ENSG00000269897 - COMMD3-BMI1",2.99087044708312,4.39180212211471,1.63075323000038,2.6931126312187,0.00707883508919169,0.336561417516877," COMMD3-BMI1"
"ENSG00000204366 - ZBTB12",1.53553468240316,4.2033595841476,2.33431443057928,1.80068268828056,0.071752907743842,0.473422706950169," ZBTB12"
"ENSG00000204438 - GPANK1",1.53419495050173,4.19628900415371,2.75706875928703,1.52201100898146,0.128006322240264,0.551783626930654," GPANK1"
"ENSG00000204389 - HSPA1A",172.347745920767,4.15076060169666,1.19283854685716,3.47973379350701,0.000501912230648614,0.236570089303066," HSPA1A"
"ENSG00000275882 - IKBKGP1",1.42275704196339,4.09647447619002,2.77171907882146,1.47795442456306,0.139419977428917,0.565135702174525," IKBKGP1"
"ENSG00000255152 - MSH5-SAPCD1",1.67017820944588,3.51322436661722,1.89701103171865,1.85197888039392,0.0640288556833962,0.462316035352991," MSH5-SAPCD1"
"ENSG00000134668 - SPOCD1",1.48926101325763,3.50575751194383,1.17094940572313,2.99394448198112,0.0027539605106287,0.297219031316015," SPOCD1"
"ENSG00000204469 - PRRC2A",99.1637238101598,3.42505273638172,1.07672080329677,3.18100358597575,0.00146765812916502,0.24725962648294," PRRC2A"
"ENSG00000236104 - ZBTB22",17.0163867044426,3.35872974613448,1.86326220526487,1.80260713529421,0.0714499356385103,0.472738755979162," ZBTB22"
"ENSG00000054938 - CHRDL2",7.36890301596906,3.35643517407188,1.01251220653879,3.31495773818436,0.000916569806569711,0.239295787475253," CHRDL2"
"ENSG00000239389 - PCDHA13",0.834102531289967,3.34275315414564,2.12845940320655,1.57050359950946,0.116297997650204,0.537612313832688," PCDHA13"
"ENSG00000185792 - NLRP9",0.822372343536158,3.30290175891672,2.51631007205875,1.31259728107133,0.189318686286124,0.618540760814514," NLRP9"
"ENSG00000272636 - DOC2B",0.793137705893116,3.28064733634539,2.96242928514309,1.10741793999884,0.268113273051958,0.699313746969803," DOC2B"
"ENSG00000100078 - PLA2G3",1.40978275982912,3.23171753297258,1.11619918967446,2.89528747455472,0.00378811442465858,0.304173907019484," PLA2G3"
"ENSG00000179455 - MKRN3",1.06508017933027,3.16792615701275,1.61133866681714,1.96602131026267,0.0492961490433676,0.435432016037249," MKRN3"
"ENSG00000244921 - MTCYBP18",3.12404132059644,3.11627377801492,2.73128445292513,1.14095541190427,0.253888478388947,0.685437313975125," MTCYBP18"
"ENSG00000204475 - NCR3",0.680175364589752,3.04577746116698,2.96603085919741,1.02688663933562,0.304473846253078,0.729481059170826," NCR3"
"ENSG00000125878 - TCF15",0.697765351802647,3.00466552922386,1.65030575192068,1.82067203348648,0.0686567258016698,0.46718669556565," TCF15"
"ENSG00000254997 - KRTAP5-9",1.4900866464996,2.99366161649804,0.927464813839048,3.22778996230207,0.00124750535812877,0.240086396407912," KRTAP5-9"
"ENSG00000146006 - LRRTM2",1.16887138323458,2.94773139524205,1.17580261412568,2.50699510260399,0.0121762398731541,0.362015761924811," LRRTM2"
"ENSG00000124721 - DNAH8",1.10338145840888,2.94218978303023,1.29975696620098,2.26364609656978,0.0235958902750152,0.388753888958984," DNAH8"
"ENSG00000181126 - HLA-V",0.7951396382608,2.93412291112648,1.49335862679319,1.9647811707675,0.0494395704162793,0.435432016037249," HLA-V"
"ENSG00000007129 - CEACAM21",0.961981621875359,2.89612725582947,1.68250194767064,1.72132178499945,0.085192448473524,0.495089464242383," CEACAM21"
"ENSG00000244414 - CFHR1",0.839659370159396,2.88583715177528,1.46496706305856,1.96989899946981,0.0488499471382145,0.435177312008918," CFHR1"
