"","WS14.1","WS18.1","WS21.1","WS27.1","WS32.1","WS37.1","WS38.1","WS39.1","WS40.1","WS42.1","WS43.1","WS9.1","WS12.1","WS17.1","WS2.1","WS23.1","WS24.1","WS33.1","WS34.1","WS36.1","WS4.1","WS5.1","WS6.1","WS8.1","WS1.1","WS11.1","WS13.1","WS16.1","WS20.1","WS22.1","WS29.1","WS30.1","WS31.1","WS41.1","WS44.1","WS45.1","WS46.1","WS7.1"
"ENSG00000000003 - TSPAN6",472,589,490,844,363,474,1508,726,1224.999,444.001,1255,541,521,295,828.999,479.999,754.001,843,2852,958,1194,1697.999,1611,798,105,1244,105,2493,1389,611,1375,596,133.999,401.001,716,621,67,2063
"ENSG00000000005 - TNMD",1,8,7,9,11,7,18,7,19,6,23,12,7,5,6,2,16,9,22,11,14,21,24,15,2,23,1,6,22,4,21,20,3,6,12,9,2,41
"ENSG00000000419 - DPM1",147,251.999,132,238,110,157,427.001,307,320.001,184,448,180.999,138,59.999,339,219,340.999,125,652,303,236,607.996,463,247,74.999,425,45,736.999,439.001,251,503.001,167,53,149,205.999,199,35,623.999
"ENSG00000000457 - SCYL3",100,162,133,204,134,80,333.999,226,209,165,251,168,117.001,87,281,178,218,203,783.999,237.969,278,320,380,187,35.017,333,23,603,326.999,149,290,169,39,86,211,157,18,292
"ENSG00000000460 - C1orf112",35,19,13,30,10,24,58,50,32.999,7,84.762,22,2,4,26,18,32,11,36,53.03,15,28,50,34,9,19,3,56,37,3,63.001,28,4,2,19.001,32,1,17.001
"ENSG00000000938 - FGR",38,16,4,19,7,1,5,2,2,6,3,14,9,1,13,20,33,0,2,27,5,14,35,8,7,10,3,23,4,20,6,37,17,9,4,36,3,13
"ENSG00000000971 - CFH",16.502,33.001,59,26,9,7,44,7,5,14,8,16,40,2,54,35,43,10,11,31.276,29,18,47,13,59,50,3,64,6,26,31,448.452,29,3.429,6,94,15,31
"ENSG00000001036 - FUCA2",425,765,608,714.001,676,479,1606,871.001,1425,666,1751,669,589,316,1071,869,1137,730,2636,1071.999,1436,1897,1595.001,1226.001,253,1578,116,3161,1624,1106.999,1836,630.999,241,628,779,703,98,1884
"ENSG00000001084 - GCLC",152,377.999,208.999,299,175.001,113,784,386,364,126,571,183.001,155,119,238,223.999,485.001,185,963,472,277.001,501.999,347,438.999,111,454,41.001,641.001,626,234,470,253.01,95.003,111,263.999,315.857,51,328
"ENSG00000001167 - NFYA",136,216,93,176,96,99,329,240,261,167,294,257,109,77,211,191,251.995,100,458,262,117,444,345.976,179,52,306,20,656.994,298,208,281,238,40,105,148,159,39,533
"ENSG00000001460 - STPG1",129,446.999,219,255.001,173,208.001,551.001,342,447,254,474.001,387,273.999,130.001,383.001,364,390,295.001,1069,373,358.999,622,761.002,397.001,58,835.001,35.999,1265,683.001,206.999,609.999,258,64,215,401.999,393.999,39,630.999
"ENSG00000001461 - NIPAL3",330,360,281,492,347,261,1137.001,898.999,893,460,732,554,415,212,528,619,908,504.001,1762,770,371,1402,970.999,900,104,1319.001,73,2475,1062,438,922,473,105,514,632,547.001,59,1146.978
"ENSG00000001497 - LAS1L",155,130,99,180,76,115.001,450.999,218.999,270.001,115,392.001,141,92,37,156,115,292,105,300,305.999,89,198,274,255.999,63,170,22,339,240,113,251.001,161.001,56.999,75,119,190.001,37,258.001
"ENSG00000001561 - ENPP4",167,207,181,360,251,169,699,348,472,193,402,313,191,124,438,386,474,208,923,293,392,956,514,429,87,1046,29,1396,570,336,613,322,59,195,266,264,43,1462
"ENSG00000001617 - SEMA3F",12,36,59,34,22,18,87,6,20,20,40,21,28,1,87,15,39,13,55,46,33,34,66,42,13,46,5,181,52,37,29,94,23,8,43,32,18,74
"ENSG00000001626 - CFTR",368.999,828.001,758,1599,453.001,820,3863,2002.999,1717.001,521,2967.001,578,419,416,851,927.001,1803.999,493,2740,1948,961.999,2274,1671,1388,120.001,1409.998,136,4360,3412,490.001,2600.001,311.001,189,520,715.999,1467.998,112,2208.001
"ENSG00000001629 - ANKIB1",132,186,134,312,172,136,628,272,318,213,366,182.999,148,81,325,292,345,108,1015,284,184,664,282,285,101.999,546,24,823,410,351,407,284,47,132,229,243,42,609
"ENSG00000001630 - CYP51A1",306,557.999,1214.054,1256.127,491,1308.569,2907.837,1991.851,1332.789,591,2185.002,1231.751,711.535,162.999,1606.355,2348.129,1492.999,1438.31,3838.727,1168.393,1245.049,2777.605,5237.53,2046.34,145,2301.999,143,9476.39,2407.56,878,3536.546,915.367,265.181,454,900.301,1155,106,3563.002
"ENSG00000001631 - KRIT1",87.001,87,52.271,88.155,57,59.999,192.624,125.208,149,67,193.001,91.105,47,29,117.597,105.535,142,55.324,346.999,132,76.833,246,129.999,89.534,39.001,167.998,16,362.66,140.702,79,116.943,137.457,17.661,49,67.588,151,16,202.636
"ENSG00000002016 - RAD52",50.001,56,57,67,54,22.999,103.999,45.001,79,76,104,62.001,41,13,75,62,91,49,193.001,68,82,101,92,89.001,23,107,4,267.998,128.001,27,134,65.999,22,48,53.001,188.001,10,113.999
"ENSG00000002079 - MYH16",0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,3,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1
"ENSG00000002330 - BAD",441,574,605.001,1109,470.999,466.999,1526.997,966.998,907,777,1167.001,794.002,426.999,257.001,1268.999,932,1019.001,649.001,1525,680,761.999,1820.001,1337,1247,189,1647,80,3500,1368,988.996,1501.997,623,255,571,627,811.999,188,2479.001
