,Sample,URoAClass,Location
WS12.1,WS12.1,Low,Proximal
WS17.1,WS17.1,Low,Proximal
WS2.1,WS2.1,Low,Proximal
WS23.1,WS23.1,Low,Proximal
WS24.1,WS24.1,Low,Proximal
WS33.1,WS33.1,Low,Proximal
WS34.1,WS34.1,Low,Proximal
WS36.1,WS36.1,Low,Proximal
WS4.1,WS4.1,Low,Proximal
WS5.1,WS5.1,Low,Proximal
WS6.1,WS6.1,Low,Proximal
WS8.1,WS8.1,Low,Proximal
WS14.1,WS14.1,High,Proximal
WS18.1,WS18.1,High,Proximal
WS21.1,WS21.1,High,Proximal
WS27.1,WS27.1,High,Proximal
WS32.1,WS32.1,High,Proximal
WS37.1,WS37.1,High,Proximal
WS38.1,WS38.1,High,Proximal
WS39.1,WS39.1,High,Proximal
WS40.1,WS40.1,High,Proximal
WS42.1,WS42.1,High,Proximal
WS43.1,WS43.1,High,Proximal
WS9.1,WS9.1,High,Proximal
