"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",356,0.554074017935112,2.33731354276436,3.0210062511923e-21,2.43402473658563e-17,2.06128026528721e-17,3250,"tags=51%, list=26%, signal=39%","SMN1/DDX39B/UTP4/RRP9/WDR46/UTP20/DKC1/BYSL/NOL6/RCL1/NPM3/URB2/GPATCH4/RRS1/MTERF3/NLE1/NOLC1/ERCC2/DDX21/RPP40/NOP14/LTV1/RRP12/NOPCHAP1/HEATR1/GEMIN4/UTP18/RBFA/DDX31/BRIX1/URB1/NAT10/RRP15/ABCE1/RPUSD4/RSL1D1/GEMIN2/PPAN/MAK16/PDCD11/TSR1/SF3A3/WDR74/PUF60/NOP56/NOB1/EXOSC2/PRPF19/EXOSC7/LYAR/PSIP1/NOP16/GTPBP4/NOP2/MYBBP1A/DDX10/C1QBP/ZNHIT6/RRP1B/TFB2M/UTP14C/NHP2/FASTKD2/DCAF13/PRKDC/EXOSC9/UTP6/MRPS2/MRTO4/EXOSC5/RRP1/NOP58/PES1/DIMT1/PINX1/RPF2/USP36/DDX27/NOL10/SNU13/WDR12/IMP4/GEMIN7/UTP25/NPM1/DHX37/EIF3A/EIF2A/UTP14A/MRPL36/PA2G4/EIF2D/SNRPD1/SUV39H1/ATR/BMS1/GEMIN5/RIOX2/FTSJ3/SHQ1/ATM/WDR3/CHD7/NUFIP1/NOC2L/WDR36/WDR18/DHX30/DDX20/POP5/RRP7BP/DDX18/NSA2/EXOSC10/PRPF31/SNRPE/HSP90AB1/METTL18/TBL3/DDX56/KRI1/LAS1L/SNRPF/GEMIN6/PRMT5/NIFK/POLR2D/RUVBL2/LSM6/GAR1/RIOK1/TRMT112/SNRPC/SDAD1/NOL11/LUC7L2/MTREX/SF1/TARBP2/WDR43/PWP1/XRN2/RPUSD2/DDX28/AGO2/WDR75/GTF3A/NSUN5/LSG1/NOL8/ERI3/MPHOSPH10/SNRPD3/METTL17/SLX9/GNL2/DHX9/RAN/AATF/MRPS7/DDX47/ISG20L2/MTERF4/COIL/NUP88/NAF1/RRP8/ZRSR2/UTP11/NOP53/EBNA1BP2/CPSF7/NOM1/SNRPD2/RRP7A/GLUL/DDX54/MRPL1/EIF4B/SRSF1"
"REACTOME_CELL_CYCLE_MITOTIC","REACTOME_CELL_CYCLE_MITOTIC","REACTOME_CELL_CYCLE_MITOTIC",497,0.492865251877983,2.13149355830694,2.68608303381465e-19,1.08208855017223e-15,9.16378432904556e-16,2687,"tags=37%, list=21%, signal=31%","POLE2/MCM10/SPC25/TK1/PKMYT1/MCM2/NUP210/CDC45/CENPM/UBE2C/PLK1/NCAPH/CDCA5/CENPU/MCM6/KIF20A/PSMB9/AURKB/TYMS/KIF2C/ORC1/GINS1/GINS2/TPX2/TUBGCP5/SPC24/MYBL2/CDC25C/MAD2L1/MCM5/E2F6/RFC4/GTSE1/FOXM1/HMMR/BUB1/LIG1/FEN1/NDC80/LMNB1/CDK1/MYC/CDKN2C/MCM7/SKA1/CCNB1/TOP2A/CDT1/ERCC6L/E2F1/KIF23/BUB1B/CDK4/MCM3/GINS3/PRKCB/CENPI/ESCO2/BIRC5/POLD2/POLA1/GINS4/RRM2/MNAT1/NME7/NCAPD3/ZWILCH/CDC20/ZWINT/NUF2/NUP93/SPDL1/CCND1/FBXO5/NCAPG2/CCNA2/KNL1/PTTG1/CENPH/CENPF/CCND2/NUP155/PLK4/NCAPG/SDCCAG8/CDK6/RFC3/CDK2/DNA2/POLD1/SMC2/CEP135/GMNN/ITGB3BP/SKP2/VRK1/TUBB/CEP78/SGO2/CCNB2/RCC1/CEP72/DSN1/UBE2S/CEP41/SGO1/HAUS5/ODF2/RANGAP1/PSMB8/CENPK/NCAPD2/DBF4/NDC1/PCNA/CSNK2B/NUP188/CDC25B/NDE1/RFC5/RFC1/TP53/PRIM1/CENPN/ORC6/MCM4/POLA2/CKAP5/NEK2/CDCA8/MAD1L1/ZW10/PHLDA1/NUP37/TUBGCP4/LBR/RPA1/PRKCA/ANAPC1/NUP107/NUP43/NUP205/TUBB2B/CDKN2A/INCENP/CDC7/HAUS7/KNTC1/TUBG1/SMC3/CHMP4A/CDC25A/SET/TPR/AAAS/HSP90AB1/NUP35/POLE3/TUBA4A/MZT2A/CEP70/BANF1/CENPE/RANBP2/KIF18A/POM121/NUP62/TUBGCP3/NEK6/SEH1L/EMD/AURKA/CENPS/CEP250/ANAPC5/CDC6/ANAPC10/H2AX/NEDD1/E2F3/E2F5/TFDP1/POM121C/RFC2/HAUS6/NUP214"
"GOBP_RIBOSOME_BIOGENESIS","GOBP_RIBOSOME_BIOGENESIS","GOBP_RIBOSOME_BIOGENESIS",248,0.581710670802663,2.38675768167158,2.9879696590324e-18,8.02469051427469e-15,6.79579625608703e-15,3225,"tags=57%, list=26%, signal=43%","UTP4/RRP9/WDR46/UTP20/DKC1/BYSL/NOL6/RCL1/NPM3/URB2/GPATCH4/RRS1/MTERF3/NLE1/NOLC1/ERCC2/DDX21/RPP40/NOP14/LTV1/RRP12/HEATR1/GEMIN4/UTP18/RBFA/DDX31/BRIX1/URB1/NAT10/RRP15/ABCE1/RPUSD4/RSL1D1/PPAN/MAK16/PDCD11/TSR1/WDR74/NOP56/NOB1/EXOSC2/EXOSC7/LYAR/NOP16/GTPBP4/NOP2/MYBBP1A/DDX10/C1QBP/ZNHIT6/RRP1B/TFB2M/UTP14C/NHP2/FASTKD2/DCAF13/PRKDC/EXOSC9/UTP6/MRPS2/MRTO4/EXOSC5/RRP1/NOP58/PES1/DIMT1/PINX1/RPF2/USP36/DDX27/NOL10/SNU13/WDR12/IMP4/UTP25/NPM1/DHX37/EIF2A/UTP14A/MRPL36/PA2G4/SUV39H1/BMS1/RIOX2/FTSJ3/SHQ1/WDR3/CHD7/NOC2L/WDR36/WDR18/DHX30/POP5/RRP7BP/DDX18/NSA2/EXOSC10/METTL18/TBL3/DDX56/KRI1/LAS1L/NIFK/LSM6/GAR1/RIOK1/TRMT112/SDAD1/NOL11/MTREX/WDR43/PWP1/XRN2/RPUSD2/DDX28/WDR75/GTF3A/NSUN5/LSG1/NOL8/ERI3/MPHOSPH10/METTL17/SLX9/GNL2/RAN/AATF/MRPS7/DDX47/ISG20L2/MTERF4/NUP88/NAF1/RRP8/UTP11/NOP53/EBNA1BP2/NOM1/RRP7A/GLUL/DDX54/MRPL1"
"GOCC_CHROMOSOMAL_REGION","GOCC_CHROMOSOMAL_REGION","GOCC_CHROMOSOMAL_REGION",321,0.533300722945096,2.22924110272678,4.39892853482253e-17,8.86054180126628e-14,7.50364599018938e-14,2588,"tags=40%, list=20%, signal=33%","NLRP2/DAXX/SPC25/DSCC1/MCM2/OIP5/CENPM/STAG3/PLK1/CDCA5/RASSF2/PARP1/CENPU/MCM6/AURKB/KIF2C/ORC1/SPC24/MAD2L1/MCM5/BUB1/MACROH2A2/DNMT1/TTK/FEN1/NDC80/CDK1/APEX1/MCM7/SKA1/CCNB1/TOP2A/CDT1/ERCC6L/HELLS/BUB1B/MCM3/CENPI/ESCO2/BIRC5/CHEK1/SKA3/SPAG5/NAT10/NCAPD3/ZWILCH/ZWINT/NUF2/CHEK2/SPDL1/KNL1/CENPH/DCLRE1B/KNSTRN/CENPF/THOC6/NCAPG/CDK2/DNA2/POLD1/POT1/ITGB3BP/SGO2/MIS18A/SEPTIN6/SUV39H2/DSN1/KDM1A/NBN/NHP2/RAD51/PRKDC/XRCC3/SGO1/CHD4/EZH2/RANGAP1/SSB/CENPK/NCAPD2/MSH2/BRCA2/PCNA/PINX1/BLM/NDE1/CENPN/MCM4/HJURP/SPOUT1/CKAP5/WRAP53/NEK2/CDCA8/MAD1L1/RAD51D/ZW10/SUV39H1/ATR/CENPW/NUP37/RPA1/RAD17/PIF1/ATM/CBX5/NUP107/NUP43/RAD51AP1/ALYREF/INCENP/RECQL4/KNTC1/SMC3/MIS18BP1/CHMP4A/TPR/ZNF827/THOC1/CENPE/GAR1/KIF18A/DCTN5/SEH1L/THOC5/CENPS/CTC1/H2AX/PPP1R10"
"GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION",285,0.549173891307329,2.27817957122987,7.91281589142358e-17,1.275071152744e-13,1.07980784438332e-13,2568,"tags=41%, list=20%, signal=33%","GEM/HASPIN/SPC25/PRC1/DSCC1/OIP5/KIFC1/NUSAP1/STAG3/UBE2C/PLK1/KIF18B/NCAPH/CDCA5/DLGAP5/CDCA2/AURKB/KIF2C/RAD51C/FAM83D/SPC24/MAD2L1/MAD2L2/BUB1/RRS1/TTK/FEN1/NDC80/RMI2/SKA1/CCNB1/TOP2A/CDT1/KIF23/BUB1B/ERCC2/ESCO2/KIF14/PSRC1/SKA3/MKI67/SPAG5/BRCA1/NCAPD3/ZWILCH/MAP10/CDC20/ZWINT/NUF2/RACGAP1/KIF4A/SPDL1/FBXO5/NCAPG2/KNL1/PTTG1/CENPH/KNSTRN/CENPF/NCAPG/TACC3/SMC2/TRIP13/KLHDC8B/AXIN2/SGO2/MIS18A/RCC1/DSN1/CEP85/XRCC3/SGO1/CENPK/NCAPD2/STAG3L1/NDC1/PINX1/NDE1/PSMC3IP/BRIP1/CENPN/HJURP/CEP55/NEK2/FANCD2/SYCE1L/CDCA8/MAD1L1/ZW10/CENPW/NUP37/BAG6/ANAPC1/ATM/NUP43/INCENP/P3H4/PHB2/KNTC1/TUBG1/SMC3/CHMP4A/TPR/NTMT1/TOP2B/BANF1/CENPE/BAZ1B/KIF18A/NUP62/NEK6/SEH1L/SFPQ/CENPS/ANAPC5/CDC6"
"GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION",254,0.565570627759262,2.32953413643437,2.95587943552487e-16,3.96925343533731e-13,3.3614053510653e-13,2667,"tags=44%, list=21%, signal=35%","POLE2/MCM10/TICRR/DSCC1/MCM2/CDC45/DTL/MCM6/ORC1/GINS1/GINS2/E2F8/FAM111B/MCM5/TWNK/TRAIP/RFC4/NOC3L/LIG1/FEN1/TIPIN/RMI2/CDK1/MCM7/CDT1/DDX21/MCM3/GINS3/WDHD1/ESCO2/POLD2/POLA1/GINS4/CHEK1/RRM2/MMS22L/CHAF1B/FBXO5/SSRP1/CCNA2/TIMELESS/RFC3/CDK2/SLFN11/RRM1/DNA2/POLD1/DNAJA3/LIG3/GTPBP4/BCL6/GMNN/RNASEH2A/GRWD1/EREG/NBN/RAD51/DUT/ZRANB3/CHTF18/DBF4/DNAJC2/BRCA2/NAP1L1/PCNA/BLM/METTL4/RFC5/JADE1/RFC1/TP53/PRIM1/CHAF1A/ORC6/MCM4/NFIC/POLA2/NASP/ATR/NFRKB/RPA1/RAD17/NFIX/PIF1/SUPT16H/DBF4B/WDR18/ALYREF/CDC7/RECQL4/SMC3/POLH/SET/TONSL/TOP1MT/POLE3/NUCKS1/THOC1/RUVBL2/ACTL6A/REV3L/PCLAF/DTD1/FAF1/CENPS/CTC1/CDC6/TFPT/CINP/TSPYL2/RFC2"
"GOBP_NCRNA_METABOLIC_PROCESS","GOBP_NCRNA_METABOLIC_PROCESS","GOBP_NCRNA_METABOLIC_PROCESS",454,0.486397628656529,2.08554944893279,6.22833610191622e-16,7.16881485330556e-13,6.07098866355202e-13,3069,"tags=45%, list=24%, signal=35%","TYW1B/VARS1/POLR1G/UTP4/RRP9/WDR46/SARS2/UTP20/DKC1/BYSL/GTPBP3/NOL6/RCL1/NPM3/MACROH2A2/RRS1/NOLC1/IARS1/ERCC2/DDX21/RPP40/NOP14/RRP12/HEATR1/GEMIN4/POLR1B/UTP18/RBFA/SLFN13/BRIX1/URB1/NAT10/AARS1/RRP15/AARS2/RPUSD4/PUS1/RSL1D1/CTU2/PPAN/MAK16/PDCD11/XPO5/TSR1/WDR74/NOP56/NOB1/CARS1/EXOSC2/TRMT1/GARS1/ZC3H12A/EXOSC7/METTL1/LYAR/YARS1/GTPBP4/NOP2/FARS2/EARS2/DDX10/ELP1/ZNHIT6/RRP1B/TFB2M/ALKBH8/MARS2/FARSA/NCL/UTP14C/NHP2/DCAF13/PRKDC/EXOSC9/UTP6/TRMT12/POLR1E/MRTO4/SSB/EXOSC5/RRP1/FARSB/TRMT6/NOP58/PES1/DIMT1/TRMT61A/TCOF1/RPF2/USP36/DDX27/NOL10/METTL4/ELAC2/SNU13/TP53/WDR12/IMP4/UTP25/LARS2/ELL3/DHX37/LCMT2/UTP14A/PA2G4/METTL3/EPRS1/TRMU/NARS2/SMARCA4/SUV39H1/QTRT1/BMS1/PUS7/DUS2/TRMT13/FTSJ3/ICE2/SRRT/WDR6/SHQ1/WDR3/CHD7/ANG/MARS1/TYW3/WDR36/WDR18/TDRKH/TSEN15/POP5/TARS2/RRP7BP/WDR4/QRSL1/GATB/DDX18/NSA2/EXOSC10/METTL18/TBL3/DDX56/KRI1/LAS1L/PNPT1/TRMT10B/RPP21/NIFK/TYW1/LAGE3/DTWD1/HSD17B10/LSM6/CDK5RAP1/GAR1/RIOK1/TRMT112/PUSL1/NOL11/MTREX/TRUB1/TARS3/TARBP2/DTD1/WDR43/CARS2/ADAT2/METTL8/PWP1/POP1/SND1/VARS2/XRN2/RPUSD2/AGO2/WDR75/GTF3A/NSUN5/TUT4/NOL8/ERI3/MPHOSPH10/THUMPD2/SLX9/THG1L/TRIT1/RARS1/METTL2B/NSUN2/DDX47/ANKRD16/WARS1/SARS1/MTERF4/LRRC47/NAF1/RRP8/AARSD1/KTI12/UTP11/CDKAL1/NOP53/METTL2A/EBNA1BP2/RARS2"
"REACTOME_CELL_CYCLE_CHECKPOINTS","REACTOME_CELL_CYCLE_CHECKPOINTS","REACTOME_CELL_CYCLE_CHECKPOINTS",259,0.544424781198346,2.2438393122798,2.34254574549179e-15,2.35923638392842e-12,1.99794493714182e-12,2602,"tags=39%, list=21%, signal=31%","EXO1/MCM10/SPC25/PKMYT1/MCM2/CDC45/CENPM/UBE2C/PLK1/CENPU/MCM6/PSMB9/AURKB/KIF2C/ORC1/SPC24/CDC25C/MAD2L1/MCM5/RFC4/GTSE1/BUB1/NDC80/RMI2/CDK1/MCM7/SKA1/CCNB1/ERCC6L/BUB1B/MCM3/CENPI/BIRC5/CHEK1/BRCA1/ZWILCH/CDC20/ZWINT/NUF2/CHEK2/SPDL1/CCNA2/KNL1/CENPH/CENPF/RFC3/CDK2/DNA2/ITGB3BP/SGO2/CCNB2/DSN1/CLSPN/UBE2S/NBN/SGO1/RANGAP1/PSMB8/ATRIP/CENPK/DBF4/MDC1/BLM/NDE1/RFC5/TP53/BRIP1/CENPN/ORC6/MCM4/CKAP5/CDCA8/MAD1L1/ZW10/ATR/NUP37/RPA1/RAD17/ANAPC1/ATM/NUP107/NUP43/CDKN2A/INCENP/CDC7/KNTC1/CDC25A/PHF20/CENPE/RANBP2/KIF18A/PCBP4/SEH1L/NSD2/CENPS/ANAPC5/CDC6/ANAPC10/H2AX/BARD1"
"GOBP_RRNA_METABOLIC_PROCESS","GOBP_RRNA_METABOLIC_PROCESS","GOBP_RRNA_METABOLIC_PROCESS",223,0.56121563432034,2.28785262723872,6.5718898826424e-15,5.88330186493887e-12,4.98233803734363e-12,2750,"tags=50%, list=22%, signal=40%","POLR1G/UTP4/RRP9/WDR46/UTP20/DKC1/BYSL/NOL6/RCL1/NPM3/MACROH2A2/RRS1/NOLC1/ERCC2/DDX21/RPP40/NOP14/RRP12/HEATR1/GEMIN4/POLR1B/UTP18/RBFA/SLFN13/BRIX1/URB1/NAT10/RRP15/RPUSD4/RSL1D1/PPAN/MAK16/PDCD11/TSR1/WDR74/NOP56/NOB1/EXOSC2/EXOSC7/LYAR/GTPBP4/NOP2/DDX10/ZNHIT6/RRP1B/TFB2M/NCL/UTP14C/NHP2/DCAF13/PRKDC/EXOSC9/UTP6/POLR1E/MRTO4/EXOSC5/RRP1/NOP58/PES1/DIMT1/TCOF1/RPF2/USP36/DDX27/NOL10/SNU13/TP53/WDR12/IMP4/UTP25/DHX37/UTP14A/PA2G4/SMARCA4/SUV39H1/BMS1/FTSJ3/SHQ1/WDR3/CHD7/ANG/MARS1/WDR36/WDR18/POP5/RRP7BP/DDX18/NSA2/EXOSC10/METTL18/TBL3/DDX56/KRI1/LAS1L/NIFK/LSM6/GAR1/RIOK1/TRMT112/NOL11/MTREX/WDR43/PWP1/XRN2/RPUSD2/WDR75/GTF3A/NSUN5/NOL8/ERI3/MPHOSPH10/SLX9"
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",229,0.556213655930561,2.27478965574065,1.21695982670117e-14,9.39377203033253e-12,7.95521779696183e-12,2568,"tags=42%, list=20%, signal=34%","GEM/HASPIN/SPC25/PRC1/DSCC1/KIFC1/NUSAP1/STAG3/UBE2C/PLK1/KIF18B/NCAPH/CDCA5/DLGAP5/AURKB/KIF2C/RAD51C/FAM83D/SPC24/MAD2L1/MAD2L2/BUB1/RRS1/TTK/FEN1/NDC80/RMI2/CCNB1/TOP2A/CDT1/KIF23/BUB1B/ESCO2/KIF14/PSRC1/SPAG5/NCAPD3/ZWILCH/MAP10/CDC20/ZWINT/NUF2/RACGAP1/KIF4A/SPDL1/FBXO5/NCAPG2/KNL1/PTTG1/KNSTRN/CENPF/NCAPG/TACC3/SMC2/TRIP13/KLHDC8B/AXIN2/SGO2/DSN1/XRCC3/SGO1/CENPK/NCAPD2/STAG3L1/NDC1/PINX1/PSMC3IP/BRIP1/CEP55/NEK2/FANCD2/SYCE1L/CDCA8/MAD1L1/ZW10/BAG6/ANAPC1/ATM/INCENP/P3H4/PHB2/KNTC1/TUBG1/SMC3/CHMP4A/TPR/TOP2B/CENPE/BAZ1B/KIF18A/NUP62/NEK6/SEH1L/SFPQ/CENPS/ANAPC5/CDC6"
