"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",392,0.536818115598142,2.35991292649871,2.48201694942766e-19,2.04642297480311e-15,1.74969131687548e-15,3963,"tags=57%, list=30%, signal=41%","SMN1/DDX39B/UTP4/RRP9/RRS1/NPM3/DKC1/PUF60/RPP40/NOL6/ERCC2/MTERF3/GPATCH4/NLE1/BYSL/RBFA/UTP14C/UTP20/NOPCHAP1/BRIX1/DDX31/RRP12/RCL1/WDR46/PPAN/RPLP0P6/LTV1/RPUSD4/GEMIN2/NOP14/UTP18/DDX21/NOLC1/GEMIN4/TFB2M/EXOSC7/NOP16/ABCE1/URB2/C1QBP/TSR1/FASTKD2/NHP2/NOB1/WDR74/MRPS2/SF3A3/MRTO4/EXOSC2/LYAR/NOP56/RRP1/DCAF13/PRPF19/NOL10/MRPL36/MAK16/PES1/ZNHIT6/HEATR1/RRP15/GTPBP4/PDCD11/GEMIN7/UTP6/IMP4/NAT10/RSL1D1/SNU13/SNRPD1/SHQ1/EIF2A/WDR18/PA2G4/RPF2/DDX10/EIF3A/GAR1/ATR/DHX30/SNRPE/POP5/DDX27/RPL10A/EXOSC9/TBL3/MYBBP1A/NOC2L/FTSJ3/DHX37/WDR12/EIF2D/USP36/TARBP2/EXOSC10/PRMT5/METTL17/NOP2/MRPS7/EXOSC5/URB1/SNRPC/RPS17/METTL18/PINX1/SUV39H1/AGO2/RRP1B/NOP58/DIMT1/GEMIN6/ERI3/LSM6/SNRPF/RUVBL2/NPM1/RPL7L1/RPS19/NSA2/COIL/PRPF31/RPLP0/MRPL1/LAS1L/NOL11/RPL5/DDX18/HSP90AB1/GLUL/PRKDC/RIOX2/SNRPD3/SLX9/LUC7L2/MTREX/WDR36/EBNA1BP2/XRN2/ISG20L2/NAF1/SRSF1/LSG1/DDX56/UTP11/BMS1/RPL10/MALSU1/MPV17L2/DDX20/UTP14A/POLR2D/RPL26/SRPK1/DDX47/DDX28/RPL6/RRP7BP/DHX9/RPUSD2/GNL2/TXNL4A/SF1/RAN/RPUSD3/RRP36/PWP1/WDR75/MRM3/NIFK/BUD23/NSUN5/DDX54/RPS6/CPSF7/PIN4/SDAD1/RRP8/EIF2S2/NOL8/RPL3/RPS7/UTP15/HEATR3/SRSF6/METTL15/XPO1/RPSA/NUP88/MPHOSPH10/METTL5/STRAP/RPL24/RPL7/RPS28/MTERF4/MRPL20/LUC7L/LSM4/SNRPD2/RPF1/METTL25B/RPL14/RPL26L1/RPS24/DIS3/EFL1/NSUN4/SF3B1/CHD7/WDR3/RPS16/MRPL22/TFB1M/TRMT112/RPP30/UTP3/SNRPB/SRFBP1/GTF3A/ERAL1/WDR43/EIF4A3/RPL35A"
"GOCC_IMMUNOGLOBULIN_COMPLEX","GOCC_IMMUNOGLOBULIN_COMPLEX","GOCC_IMMUNOGLOBULIN_COMPLEX",67,0.838472441644254,2.99983700796665,8.26334003690876e-19,3.40656193021564e-15,2.91260990669358e-15,243,"tags=66%, list=2%, signal=65%","IGHV3-73/IGLV2-18/IGLV1-44/IGLV3-25/IGLC3/IGLV3-9/IGHV2-26/IGLV3-19/IGHG3/IGLV2-23/IGLC2/IGHV4-39/IGLV7-46/IGHV3-7/IGHV1-18/IGHG2/CD79A/IGKV3D-11/IGLC7/IGLV1-47/IGLV2-8/IGLV8-61/IGLV4-69/IGHV3-15/IGLV1-51/IGHV4-34/IGHV3-43/IGKV3D-20/IGLV2-11/IGHV3-66/IGKV1D-39/IGLC1/IGHV5-51/IGKC/IGHV3-74/IGHV6-1/IGLL5/IGKV3D-15/IGKV4-1/JCHAIN/IGLV2-14/IGKV1D-13/IGLV6-57/IGLV3-21"
"GOBP_NCRNA_METABOLIC_PROCESS","GOBP_NCRNA_METABOLIC_PROCESS","GOBP_NCRNA_METABOLIC_PROCESS",478,0.496756482425695,2.23580828995452,2.83400843444468e-18,7.78879984733214e-15,6.65942262648282e-15,3351,"tags=47%, list=25%, signal=37%","INTS3/TYW1B/SARS2/VARS1/POLR1G/UTP4/RRP9/GTPBP3/RRS1/NPM3/DKC1/CARS1/MACROH2A2/RPP40/NOL6/ERCC2/IARS1/BYSL/RBFA/PUS1/UTP14C/CTU2/UTP20/BRIX1/RRP12/RCL1/WDR46/PPAN/XPO5/RPUSD4/AARS1/NOP14/UTP18/DDX21/NOLC1/GEMIN4/TFB2M/FARSB/EXOSC7/GARS1/METTL1/FARS2/EARS2/AARS2/YARS1/TRMT12/ZC3H12A/TSR1/FARSA/NHP2/POLR1B/NOB1/WDR74/RPP21/NARS2/ELP1/TRMT6/MRTO4/EXOSC2/LYAR/TRMU/NOP56/METTL4/RRP1/LARS2/DCAF13/NOL10/MARS2/MAK16/PES1/VARS2/ZNHIT6/TRMT61A/HEATR1/RRP15/GTPBP4/QTRT1/ANG/SSB/PDCD11/ELAC2/TRMT1/UTP6/IMP4/NAT10/PNPT1/RSL1D1/SNU13/SHQ1/EPRS1/TRMT13/WDR18/TYW1/DTWD1/PA2G4/RPF2/DDX10/NCL/ALKBH8/GAR1/LAGE3/POP5/SMARCA4/GATB/DDX27/RPL10A/HSD17B10/EXOSC9/TBL3/FTSJ3/MARS1/WDR6/DHX37/METTL3/WDR12/USP36/PUS7/LCMT2/TRUB1/PUSL1/TARBP2/TSEN15/EXOSC10/NOP2/THUMPD2/SLFN13/METTL2A/EXOSC5/SRRT/URB1/TARS2/RARS1/TYW3/RPS17/METTL18/SUV39H1/AGO2/RRP1B/NOP58/DIMT1/THG1L/ERI3/TP53/LSM6/CARS2/RPL7L1/RPS19/NSA2/RARS2/MRPL1/WDR4/LAS1L/NOL11/RPL5/DDX18/CDK5RAP1/SARS1/ANKRD16/NSUN2/PRKDC/SLX9/MTREX/WDR36/DTD1/EBNA1BP2/XRN2/NAF1/MTFMT/TCOF1/SND1/TARS3/DDX56/TARS1/UTP11/BMS1/LRRC47/KHSRP/QRSL1/TRDMT1/UTP14A/ADAT2/RPL26/CDK7/DDX47/TRMT10C/ICE2/GTF3C3/DUS2/ERN2/QARS1/RRP7BP/RPUSD2/DARS2/METTL2B/YARS2/HARS1/RPUSD3/RRP36/PWP1/WDR75/MRM3/NIFK/BUD23/ELL3/NSUN5/DDX54/RPS6/DUS3L/PIN4/TRMT10B/GRSF1/RRP8/NOL8/THUMPD3/RPS7/UTP15/WARS1/LARS1/METTL15/IARS2/TDRKH/TRMT44/MPHOSPH10/METTL5/INTS6/KTI12"
"REACTOME_TRANSLATION","REACTOME_TRANSLATION","REACTOME_TRANSLATION",285,0.574165311867536,2.46642901377862,1.15155728363246e-17,2.37364745088742e-14,2.029468191707e-14,4526,"tags=71%, list=34%, signal=48%","SARS2/RPL9/MRPL45/VARS1/CARS1/IARS1/EEF1E1/SRPRB/MRPS27/MRPS9/MRPL4/AARS1/EIF2B3/FARSB/MRPL37/GARS1/MRPL16/FARS2/EARS2/AARS2/YARS1/FARSA/MRPS12/NARS2/MRPL3/MRPS2/LARS2/MRPL36/MARS2/VARS2/MRPL15/RPL39L/PTCD3/TSFM/GSPT2/EIF4EBP1/EIF4G1/MRPS23/EPRS1/MRPS25/EIF4A1/EIF3A/RPS2/MTIF2/MRPS17/MRPL17/AIMP2/RPL10A/ETF1/MRPL38/MARS1/MRPS5/MRPL2/GFM1/EIF3B/SRP72/MRPS7/MRPL24/TARS2/RARS1/RPS17/MRPL9/MRPL46/MRPS26/MRPL11/CARS2/RPS19/RARS2/MRPL40/RPLP0/MRPS34/MRPL1/RPL5/SARS1/EIF3L/TUFM/GSPT1/GADD45GIP1/RPL22/MRPS18B/MTFMT/MRPS31/TARS1/RPL10/RPL4/RPL26/SSR4/RPL6/EIF2B5/EIF3J/MRPL12/RPS12/MRPL34/QARS1/EIF5B/DARS2/RPS13/RPL36A/RPL37A/EIF3C/MRPS14/SEC11A/RPL18A/MRPL52/MRPL58/YARS2/RPS27A/HARS1/MRPL21/EIF3D/RPL18/MRPS35/MRPL51/APEH/RPS6/EIF2S2/RPL3/EIF3F/RPS7/EIF3G/WARS1/MRPL47/RPL15/LARS1/EIF2B2/IARS2/RPSA/GFM2/RPS15A/EEF1G/MRPL55/MRPS24/RPL24/MRPS33/EIF3M/MRPS30/RPL7/RPS28/MRPL35/MRPL20/RPS29/MRPS16/RPL23/MRRF/RPL14/RPL26L1/RPS24/RPL28/MRPL19/RPL19/MRPS22/RPL17/EIF2S1/MRPL43/KARS1/RPS16/MRPL22/RPS3/TRMT112/SEC61A1/RPL32/MRPL49/RPL27A/OXA1L/RPL36/RPS23/SSR3/SRP68/MRPL39/ERAL1/RPL35A/MRPL32/CHCHD1/RPL21/RPL37/EEF1D/RPL23A/MRPS15/RPS15/RPL13A/PABPC1/PPA2/RPS5/EEF1A1/EIF3I/RPS18/DDOST/N6AMT1/RPS11/SSR1/WARS2/RPS20/RPS21/MRPL13/SPCS2/RPS8/NARS1/RPS10/RPS3A/RPL8/SRP19"
"GOBP_RIBOSOME_BIOGENESIS","GOBP_RIBOSOME_BIOGENESIS","GOBP_RIBOSOME_BIOGENESIS",283,0.568647598345238,2.43669058529283,2.83452923181756e-17,4.67413870326715e-14,3.99638784536467e-14,4028,"tags=65%, list=30%, signal=47%","UTP4/RRP9/RRS1/NPM3/DKC1/RPP40/NOL6/ERCC2/MTERF3/GPATCH4/NLE1/BYSL/RBFA/UTP14C/UTP20/BRIX1/DDX31/RRP12/RCL1/WDR46/PPAN/RPLP0P6/LTV1/RPUSD4/NOP14/UTP18/DDX21/NOLC1/GEMIN4/TFB2M/EXOSC7/NOP16/ABCE1/URB2/C1QBP/TSR1/FASTKD2/NHP2/NOB1/WDR74/MRPS2/MRTO4/EXOSC2/LYAR/NOP56/RRP1/DCAF13/NOL10/MRPL36/MAK16/PES1/ZNHIT6/HEATR1/RRP15/GTPBP4/PDCD11/UTP6/IMP4/NAT10/RSL1D1/SNU13/SHQ1/EIF2A/WDR18/PA2G4/RPF2/DDX10/GAR1/DHX30/POP5/DDX27/RPL10A/EXOSC9/TBL3/MYBBP1A/NOC2L/FTSJ3/DHX37/WDR12/USP36/EXOSC10/METTL17/NOP2/MRPS7/EXOSC5/URB1/RPS17/METTL18/PINX1/SUV39H1/RRP1B/NOP58/DIMT1/ERI3/LSM6/NPM1/RPL7L1/RPS19/NSA2/RPLP0/MRPL1/LAS1L/NOL11/RPL5/DDX18/GLUL/PRKDC/RIOX2/SLX9/MTREX/WDR36/EBNA1BP2/XRN2/ISG20L2/NAF1/LSG1/DDX56/UTP11/BMS1/RPL10/MALSU1/MPV17L2/UTP14A/RPL26/DDX47/DDX28/RPL6/RRP7BP/RPUSD2/GNL2/RAN/RPUSD3/RRP36/PWP1/WDR75/MRM3/NIFK/BUD23/NSUN5/DDX54/RPS6/PIN4/SDAD1/RRP8/NOL8/RPL3/RPS7/UTP15/HEATR3/METTL15/XPO1/RPSA/NUP88/MPHOSPH10/METTL5/RPL24/RPL7/RPS28/MTERF4/MRPL20/RPF1/METTL25B/RPL14/RPL26L1/RPS24/DIS3/EFL1/NSUN4/CHD7/WDR3/RPS16/MRPL22/TFB1M/TRMT112/RPP30/UTP3/SRFBP1/GTF3A/ERAL1/WDR43/EIF4A3/RPL35A/AATF/RRP7A/MRM2"
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",99,0.735597359717577,2.79491210285364,1.40806140324443e-15,1.6584951813929e-12,1.41801311541773e-12,243,"tags=21%, list=2%, signal=21%","IGLV1-44/IGLV3-25/IGLC3/IGLV3-19/IGLV2-23/IGLC2/IGKV1D-16/IGHV4-39/IGHV3-7/IGHV1-46/IGLV1-47/IGLV2-8/IGLV1-51/IGHV4-34/IGKV3D-20/IGLV2-11/IGKV1D-39/IGKV4-1/IGLV2-14/IGLV6-57/IGLV3-21"
"GOBP_NCRNA_PROCESSING","GOBP_NCRNA_PROCESSING","GOBP_NCRNA_PROCESSING",359,0.510975702941435,2.24200776213827,1.40560525770351e-15,1.6584951813929e-12,1.41801311541773e-12,3835,"tags=55%, list=29%, signal=41%","INTS3/TYW1B/UTP4/RRP9/GTPBP3/RRS1/NPM3/DKC1/RPP40/NOL6/ERCC2/BYSL/RBFA/PUS1/UTP14C/CTU2/UTP20/BRIX1/RRP12/RCL1/WDR46/PPAN/RPUSD4/AARS1/NOP14/UTP18/DDX21/NOLC1/GEMIN4/TFB2M/EXOSC7/METTL1/FARS2/AARS2/TRMT12/TSR1/NHP2/NOB1/WDR74/RPP21/ELP1/TRMT6/MRTO4/EXOSC2/LYAR/TRMU/NOP56/RRP1/DCAF13/NOL10/MAK16/PES1/ZNHIT6/TRMT61A/HEATR1/RRP15/GTPBP4/QTRT1/SSB/PDCD11/ELAC2/TRMT1/UTP6/IMP4/NAT10/RSL1D1/SNU13/SHQ1/TRMT13/WDR18/TYW1/DTWD1/PA2G4/RPF2/DDX10/ALKBH8/GAR1/LAGE3/POP5/DDX27/RPL10A/HSD17B10/EXOSC9/TBL3/FTSJ3/WDR6/DHX37/METTL3/WDR12/USP36/PUS7/LCMT2/TRUB1/PUSL1/TARBP2/TSEN15/EXOSC10/NOP2/THUMPD2/METTL2A/EXOSC5/SRRT/URB1/TYW3/RPS17/METTL18/SUV39H1/AGO2/RRP1B/NOP58/DIMT1/THG1L/ERI3/LSM6/RPL7L1/RPS19/NSA2/MRPL1/WDR4/LAS1L/NOL11/RPL5/DDX18/CDK5RAP1/SARS1/ANKRD16/NSUN2/PRKDC/SLX9/MTREX/WDR36/EBNA1BP2/XRN2/NAF1/MTFMT/DDX56/UTP11/BMS1/TRDMT1/UTP14A/ADAT2/RPL26/DDX47/TRMT10C/DUS2/RRP7BP/RPUSD2/METTL2B/RPUSD3/RRP36/PWP1/WDR75/MRM3/NIFK/BUD23/NSUN5/DDX54/RPS6/DUS3L/PIN4/TRMT10B/GRSF1/RRP8/NOL8/THUMPD3/RPS7/UTP15/METTL15/TRMT44/MPHOSPH10/METTL5/INTS6/KTI12/RPL7/POLR3K/RPS28/MTERF4/DGCR8/DUS1L/INTS11/POP1/TRIT1/RPF1/METTL25B/RPL14/INTS10/RPS24/DIS3/INTS12/NSUN4/INTS4/KARS1/CHD7/WDR3/RPS16/PUS3/TFB1M/TRMT112/RPP30"
"GOBP_ORGANELLE_FISSION","GOBP_ORGANELLE_FISSION","GOBP_ORGANELLE_FISSION",391,0.474122974280835,2.08835234645657,4.49958030188637e-13,4.63737994863164e-10,3.9649591160175e-10,2453,"tags=34%, list=18%, signal=28%","HSPA1B/HSPA1A/EREG/CYP26B1/PRC1/PKMYT1/DSCC1/NCAPH/UBE2C/ANLN/CDCA5/CDC25C/DLGAP5/KIFC1/MEI1/NUSAP1/PLK1/WNT4/MAD2L1/KIF18B/KIF11/AURKB/RRS1/NDC80/MND1/TPX2/ASPM/CDCA2/MAP10/CHEK1/CDC20/TTK/KIF2C/IL1B/KIF23/CCNB1/KIF14/MYO19/PSRC1/CDT1/LIF/RAD51C/ZWILCH/CHEK2/KNSTRN/RAD54B/ZWINT/FANCA/SPDL1/NCAPG2/NCAPD3/PTTG1/RANBP1/RACGAP1/SPAG5/KIF4A/MKI67/BUB1/MARF1/TRIP13/STAG3/TOP2A/SGO2/CCNB2/BMP7/CENPF/BUB1B/DSN1/WNT5A/RAD51/RCC1/CEP55/UBE2S/CEP85/PEX11G/KIF20B/NDC1/NCAPG/XRCC3/MYBL2/BRCA2/BCCIP/CENPK/MTFP1/SMC2/ZW10/TUBG1/OBSL1/RAD54L/PSMC3IP/P3H4/PHB2/BAG6/SYCE1L/PGAM5/CDCA8/CDC6/RAD50/NEK2/FBXO5/KDR/RAD51AP1/CHMP4A/PRMT5/KIF18A/CKS2/CDC25B/CCDC61/IGF1/MSX2/TUBG2/SEH1L/PINX1/BANF1/MAD2L2/CENPS/CENPE/BRIP1/RAD51B/NCAPD2/TACC3/AURKA/INCENP/KNTC1/HASPIN/AAAS/COX10/MAD1L1/MTFR2/ANAPC1/ANAPC5"
"GOCC_CHROMOSOMAL_REGION","GOCC_CHROMOSOMAL_REGION","GOCC_CHROMOSOMAL_REGION",322,0.503007721371597,2.18670259100042,1.15835062038901e-12,1.06117787390082e-09,9.07306912835696e-10,2723,"tags=39%, list=20%, signal=32%","NLRP2/PKHD1/OIP5/DSCC1/CENPU/DAXX/PARP1/SPC24/CENPM/CDCA5/PLK1/MAD2L1/SKA1/MCM2/AURKB/NDC80/ERCC6L/MACROH2A2/BIRC5/CHEK1/TTK/APEX1/KIF2C/CDK1/SPC25/ESCO2/SKA3/ORC1/CCNB1/HELLS/CENPI/CDT1/FEN1/MCM7/ZWILCH/CHEK2/KNSTRN/ZWINT/SPDL1/MCM6/NCAPD3/MIS18A/DNA2/SUV39H2/SPAG5/BUB1/THOC6/STAG3/TOP2A/SGO2/POLD1/NHP2/CENPF/BUB1B/DSN1/CDK2/RAD51/MCM3/DCLRE1B/KNL1/CENPW/NBN/RANGAP1/KDM1A/SSB/PCNA/PIF1/NCAPG/XRCC3/BRCA2/NAT10/CENPH/CENPK/ZW10/CENPN/MCM5/EZH2/GAR1/ATR/CDCA8/MCM4/ITGB3BP/SPOUT1/NUP37/ALYREF/RAD50/DCTN5/NEK2/CENPA/RAD51AP1/CHMP4A/KIF18A/HJURP/WRAP53/SEH1L/PINX1/SUV39H1/CKAP5/CHD4/RPA1/CENPS/NUP43/CENPE/NCAPD2/MIS18BP1/RECQL4/DNMT1/THOC7/NABP2/DHX36/THOC5/INCENP/RAD17/KNTC1/PRKDC/MAD1L1/TRAPPC12/DOT1L/POT1/H2AX/SMC3/SGO1/NUP85/NDE1/RAD51D/CBX5"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",196,0.577287478866372,2.35507758632744,2.79734166803625e-12,2.09673473208717e-09,1.79270786132428e-09,4520,"tags=76%, list=34%, signal=51%","RPL9/UTP4/RRP9/DKC1/RPP40/TEX10/NOL6/BYSL/UTP14C/PNO1/UTP20/RCL1/WDR46/LTV1/NOP14/UTP18/DDX21/EXOSC7/TSR1/GNL3/NHP2/NOB1/RPP21/RBM28/EXOSC2/NOP56/RRP1/DCAF13/PES1/HEATR1/RPL39L/PDCD11/ELAC2/PELP1/UTP6/IMP4/NAT10/SNU13/WDR18/NCL/GAR1/RPS2/RPL10A/HSD17B10/EXOSC9/TBL3/FTSJ3/DHX37/WDR12/EXOSC10/NOP2/EXOSC5/RPS17/NOP58/DIMT1/RPS19/RPLP0/LAS1L/NOL11/RPL5/MTREX/WDR36/RPL22/EBNA1BP2/XRN2/ISG20L2/UTP11/SENP3/BMS1/RPL10/RPL4/UTP14A/RPL26/DDX47/TRMT10C/NOL12/RPL6/RPS12/RPS13/RPL36A/RPL37A/RPL18A/RPS27A/RPL18/RRP36/WDR75/MRM3/BUD23/RPS6/RPL3/RPS7/UTP15/RPL15/RPSA/MPHOSPH10/RPS15A/RPL24/RPL7/RPS28/MTERF4/RPS29/RPL23/RPL14/RPL26L1/RPS24/RPL28/DIS3/NSUN4/CSNK1E/RPL19/RPL17/WDR3/RPS16/RPS3/TFB1M/TRMT112/RPL32/RPP30/RPL27A/UTP3/RPL36/RPS23/WDR43/RPL35A/PRORP/RRP7A/MRM2/RPL21/EMG1/RPL37/IMP3/RPL23A/RIOK1/RPP14/RPS15/RPL13A/EXOSC4/RPS5/RPS18/RPS11/RPS20/RPS21/UTP25/RPS8/EXOSC8/RPS10/RPS3A/RPL8"
