,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbols
ENSG00000204439 - C6orf47,6.120956374,5.866516367,2.663801892,2.202309558,0.02764345,0.961973479, C6orf47
ENSG00000204388 - HSPA1B,15.04198154,5.564822109,2.277540707,2.443346936,0.014551741,0.961973479, C6orf48
ENSG00000143624 - INTS3,2.181533925,5.439637016,3.6541641,1.488613228,0.136589246,0.961973479, C6orf49
ENSG00000204389 - HSPA1A,151.0496928,4.620935919,1.481872303,3.118309122,0.001818919,0.961973479, C6orf50
ENSG00000241106 - HLA-DOB,11.74805653,4.284137271,1.094636173,3.913754521,9.09E-05,0.242610118, C6orf51
ENSG00000244921 - MTCYBP18,3.79920222,3.289429972,1.598418452,2.057927927,0.039597052,0.961973479, C6orf52
ENSG00000215030 - RPL13P12,103.6508731,2.899498246,1.150752005,2.519655178,0.011746985,0.961973479, C6orf53
ENSG00000204525 - HLA-C,2074.085574,2.8232904,1.255681072,2.2484136,0.024549829,0.961973479, C6orf54
ENSG00000211976 - IGHV3-73,27.61429248,2.465397669,0.833981509,2.956177854,0.003114774,0.961973479, C6orf55
ENSG00000213886 - UBD,49.60256493,2.187629209,1.39059599,1.57315944,0.115681904,0.961973479, C6orf56
ENSG00000211664 - IGLV2-18,46.88868945,2.088830343,0.907137187,2.302662015,0.021297867,0.961973479, C6orf57
ENSG00000197921 - HES5,3.9314092,2.055774591,1.455290128,1.412621822,0.157766949,0.961973479, C6orf58
ENSG00000211651 - IGLV1-44,42.00302014,2.019151308,1.58425807,1.274509088,0.202483054,0.961973479, C6orf59
ENSG00000196620 - UGT2B15,19.01020885,1.944680314,2.123139216,0.915945737,0.359695356,0.96565855, C6orf60
ENSG00000047662 - FAM184B,5.849899458,1.933596524,0.599598878,3.22481678,0.001260533,0.950979496, C6orf61
ENSG00000211659 - IGLV3-25,122.2803268,1.907013482,0.736799654,2.58823884,0.009646807,0.961973479, C6orf62
ENSG00000211679 - IGLC3,1937.131785,1.875368047,0.76355168,2.456111482,0.014044958,0.961973479, C6orf63
ENSG00000175592 - FOSL1,10.22198621,1.859756938,0.653399877,2.846276842,0.004423372,0.961973479, C6orf64
ENSG00000211670 - IGLV3-9,30.96743825,1.856008864,0.820029017,2.263345353,0.023614409,0.961973479, C6orf65
ENSG00000211951 - IGHV2-26,14.52594157,1.832908163,0.910646155,2.012755617,0.044140345,0.961973479, C6orf66
ENSG00000137310 - TCF19,14.03811954,1.802166907,1.377987339,1.307825447,0.190932521,0.961973479, C6orf67
ENSG00000022556 - NLRP2,43.54930955,1.781850564,2.460782397,0.724099199,0.469004836,0.96565855, C6orf68
ENSG00000172236 - TPSAB1,49.10914689,1.735237634,0.609900427,2.845116283,0.004439521,0.961973479, C6orf69
ENSG00000197253 - TPSB2,49.67845613,1.729031169,0.567585786,3.046290469,0.002316839,0.961973479, C6orf70
ENSG00000277161 - PIGW,10.69426251,1.71398829,0.817148694,2.097523134,0.035947292,0.961973479, C6orf71
ENSG00000211663 - IGLV3-19,172.3811548,1.710174523,0.760411151,2.249012948,0.024511672,0.961973479, C6orf72
ENSG00000269897 - COMMD3-BMI1,5.184646466,1.70491211,1.551024975,1.099216414,0.271673681,0.963838803, C6orf73
ENSG00000211897 - IGHG3,29.93210615,1.580287571,1.272995394,1.241392999,0.214460604,0.961973479, C6orf74
ENSG00000125255 - SLC10A2,28.4522935,1.56133383,0.623201253,2.5053445,0.012233218,0.961973479, C6orf75
ENSG00000211660 - IGLV2-23,230.6114734,1.559660178,0.737178565,2.115715583,0.034369004,0.961973479, C6orf76
ENSG00000211677 - IGLC2,4795.661165,1.557635917,0.735624928,2.117432208,0.034223183,0.961973479, C6orf77
ENSG00000241244 - IGKV1D-16,22.29623653,1.552209916,1.039838336,1.492741575,0.135504846,0.961973479, C6orf78
ENSG00000211959 - IGHV4-39,138.773334,1.530912335,0.944804104,1.620348947,0.10515734,0.961973479, C6orf79
ENSG00000187627 - RGPD1,11.98466608,1.513479161,0.901958145,1.677992675,0.093348529,0.961973479, C6orf80
ENSG00000180785 - OR51E1,5.378243724,1.50877924,0.623438071,2.420094811,0.015516461,0.961973479, C6orf81
ENSG00000211649 - IGLV7-46,78.55204486,1.493189349,0.777832669,1.919679396,0.054898408,0.961973479, C6orf82
ENSG00000103512 - NOMO1,116.2046859,1.468442665,1.942004223,0.756148029,0.449560449,0.96565855, C6orf83
ENSG00000254415 - SIGLEC14,7.377391162,1.46200873,1.158289441,1.262213639,0.206871922,0.961973479, C6orf84
ENSG00000211938 - IGHV3-7,126.869998,1.455509173,0.947562519,1.536056085,0.124524626,0.961973479, C6orf85
