"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION",184,-0.680163374188141,-2.68284006048391,8.16371178406564e-22,6.68363083761454e-18,5.14227908587882e-18,725,"tags=30%, list=5%, signal=29%","CDCA8/RACGAP1/DSN1/FBXO5/SMC2/ZWILCH/CENPE/NCAPD3/NCAPD2/ESCO2/CDCA5/STAG3/CEP55/RAD51C/PSRC1/ZWINT/CDT1/CDC6/NUF2/MAD2L1/CENPK/NCAPG2/FEN1/KIF23/AURKB/KIF14/TOP2A/SGO2/UBE2C/RMI2/KNSTRN/CCNB1/TTK/TRIP13/NEK2/KIF18A/PTTG1/CDC20/SPDL1/CENPF/SPAG5/NCAPH/KIF2C/NCAPG/KIF4A/KIF18B/DSCC1/BUB1/PRC1/PLK1/NDC80/DLGAP5/HASPIN/BUB1B/KIFC1/NUSAP1"
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",159,-0.69694940511437,-2.69525916340916,2.75298413695776e-20,1.12693405646366e-16,8.6704510923975e-17,725,"tags=31%, list=5%, signal=30%","CDCA8/RACGAP1/DSN1/FBXO5/SMC2/ZWILCH/CENPE/NCAPD3/NCAPD2/CDCA5/CEP55/PSRC1/ZWINT/CDT1/CDC6/NUF2/MAD2L1/CENPK/NCAPG2/KIF23/AURKB/KIF14/SGO2/UBE2C/KNSTRN/CCNB1/TTK/TRIP13/NEK2/KIF18A/PTTG1/CDC20/SPDL1/CENPF/SPAG5/NCAPH/KIF2C/NCAPG/KIF4A/KIF18B/DSCC1/BUB1/PRC1/PLK1/NDC80/DLGAP5/HASPIN/BUB1B/KIFC1/NUSAP1"
"GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION",265,-0.578632466531283,-2.36820329269286,1.55370672350163e-19,4.24006564843595e-16,3.26223895909956e-16,757,"tags=25%, list=6%, signal=24%","AURKA/RANBP1/CDCA8/RCC1/RACGAP1/DSN1/FBXO5/SMC2/ZWILCH/CENPE/NCAPD3/NCAPD2/CDCA5/CEP55/PSRC1/ZWINT/CDT1/CDC6/NUF2/MAD2L1/CENPK/NCAPG2/CHEK1/KIF23/AURKB/KIF20B/MYBL2/KIF14/PKMYT1/EREG/SGO2/UBE2C/KNSTRN/CCNB1/TTK/TRIP13/MKI67/NEK2/KIF18A/PTTG1/CDC20/SPDL1/CENPF/SPAG5/NCAPH/KIF2C/TPX2/NCAPG/KIF4A/KIF18B/DSCC1/CDCA2/BUB1/PRC1/PLK1/KIF11/NDC80/DLGAP5/HASPIN/ANLN/BUB1B/KIFC1/BMP7/NUSAP1/CDC25C/HSPA1B"
"GOCC_CHROMOSOME_CENTROMERIC_REGION","GOCC_CHROMOSOME_CENTROMERIC_REGION","GOCC_CHROMOSOME_CENTROMERIC_REGION",201,-0.610980779220884,-2.40589155136039,8.09201325960674e-17,1.65623281391001e-13,1.2742791406707e-13,957,"tags=30%, list=7%, signal=29%","NUP37/INCENP/SPC25/CENPA/SGO1/ITGB3BP/CKAP5/CDCA8/DSN1/PKHD1/HELLS/ZWILCH/CENPE/NCAPD3/NCAPD2/ESCO2/H4C14/CDCA5/STAG3/H4C11/ZWINT/CDT1/CENPW/SPC24/CENPO/NUF2/H2AC8/MIS18A/MAD2L1/CENPK/DAXX/CENPI/AURKB/SKA3/BIRC5/CENPM/TOP2A/SGO2/H4C8/KNL1/CENPH/SKA1/KNSTRN/CCNB1/OIP5/TTK/NEK2/KIF18A/SPDL1/CENPF/H2BC11/SPAG5/CENPU/KIF2C/NCAPG/DSCC1/BUB1/PLK1/NDC80/BUB1B/ERCC6L"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",334,0.696477855750671,1.93842284018675,1.71029045062506e-16,2.80042958385348e-13,2.15460590664008e-13,1640,"tags=46%, list=12%, signal=42%","TNXB/MMRN1/CCDC80/COL12A1/ABI3BP/COL14A1/OGN/SFRP1/PODN/DCN/CLEC3B/ADAMTSL4/MGP/SSC5D/CCBE1/MMP25/EFEMP1/DPT/DMBT1/ANGPTL1/FBLN1/TGM2/COL15A1/CXCL12/MMP12/TNC/NTN1/LUM/ANGPTL2/ADAMTSL3/COL18A1/BGN/FBLN2/CD248/NCAM1/SPARCL1/EGFL7/FLRT2/COL1A1/PDGFB/HTRA1/F13A1/MFAP4/COL4A1/C1QC/CLEC14A/COL1A2/FBN1/ADAM19/COL27A1/MMP10/OLFML2A/WNT2B/COL5A1/C1QA/IGFBP7/COL8A2/TIMP3/TGFBR3/PRELP/A2M/GPC6/L1CAM/LAMA2/MXRA5/COL3A1/VWF/C1QB/ICAM1/AEBP1/PCOLCE/SERPING1/SCARA3/SERPINA5/SRPX2/MMP9/WNT5B/SERPINF1/TGFBI/COL6A3/ASPN/S100A9/FN1/TGFB1I1/TIMP1/LGALS1/COL28A1/SDC2/SPARC/SULF1/HAPLN3/LOXL1/FBLN5/POMZP3/EFEMP2/ECM1/ADAMTSL2/COL6A2/COL4A5/CLU/SERPINA3/LAMC1/ANXA1/ADAMDEC1/COL6A1/SDC3/LOX/MMP11/CRISPLD2/POSTN/S100A4/COL5A2/MMP2/LAMA4/CTSF/ANXA6/FGL2/EMID1/PLAT/VWC2/ALPL/NID1/ADAMTS1/BCAM/VWA1/EMILIN1/ADAMTS9/ELN/CFP/FMOD/ADAMTS14/LAMA5/HPSE2/APOE/SRPX/CSPG4/COLEC12/MXRA7/A1BG/HAPLN1/ADAMTS10/ITIH5/WNT11/LRRN3/MMRN2/COL9A1/LRRC32/HMCN1/SERPINF2/CDH13/NDNF/SERPINB9/IL7/FREM1/LAMB2"
"GOCC_CONDENSED_CHROMOSOME","GOCC_CONDENSED_CHROMOSOME","GOCC_CONDENSED_CHROMOSOME",213,-0.574788663660154,-2.25388079925462,1.8594947349135e-14,2.53728056578947e-11,1.9521432445127e-11,1400,"tags=30%, list=10%, signal=27%","NUP43/CENPQ/RRS1/SPOUT1/NUP107/SUV39H1/FANCD2/BRCA1/NUP37/NOL6/INCENP/SPC25/CENPA/SGO1/ITGB3BP/CKAP5/LRPPRC/RCC1/DSN1/SMC2/ZWILCH/CENPE/NCAPD3/NCAPD2/STAG3/ZWINT/CDT1/CENPW/SPC24/CENPO/NUF2/MAD2L1/CENPK/RAD51/CENPI/CHEK1/AURKB/SKA3/BIRC5/CENPM/TOP2A/SGO2/HMGB2/KNL1/CENPH/SKA1/KNSTRN/CCNB1/TTK/MKI67/NEK2/KIF18A/SPDL1/CENPF/SPAG5/CENPU/KIF2C/NCAPG/BRCA2/BUB1/PLK1/NDC80/BUB1B/ERCC6L"
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",267,0.715503562600894,1.98623416521644,4.29536966553824e-14,5.02374163596594e-11,3.86518677873396e-11,1640,"tags=49%, list=12%, signal=44%","TNXB/MMRN1/CCDC80/COL12A1/ABI3BP/COL14A1/OGN/SFRP1/PODN/DCN/CLEC3B/ADAMTSL4/MGP/SSC5D/EFEMP1/DPT/ANGPTL1/FBLN1/TGM2/COL15A1/CXCL12/TNC/NTN1/LUM/ANGPTL2/COL18A1/BGN/FBLN2/NCAM1/SPARCL1/EGFL7/COL1A1/PDGFB/HTRA1/F13A1/MFAP4/COL4A1/C1QC/CLEC14A/COL1A2/FBN1/ADAM19/COL27A1/WNT2B/COL5A1/C1QA/IGFBP7/COL8A2/TIMP3/PRELP/A2M/GPC6/L1CAM/LAMA2/MXRA5/COL3A1/VWF/C1QB/ICAM1/AEBP1/PCOLCE/SERPING1/SCARA3/SERPINA5/SRPX2/MMP9/WNT5B/SERPINF1/TGFBI/COL6A3/ASPN/S100A9/FN1/TGFB1I1/TIMP1/LGALS1/COL28A1/SDC2/SPARC/SULF1/LOXL1/FBLN5/EFEMP2/ECM1/COL6A2/COL4A5/CLU/SERPINA3/LAMC1/ANXA1/ADAMDEC1/COL6A1/SDC3/POSTN/S100A4/COL5A2/MMP2/LAMA4/CTSF/ANXA6/FGL2/PLAT/VWC2/NID1/ADAMTS1/BCAM/VWA1/EMILIN1/ADAMTS9/ELN/CFP/FMOD/LAMA5/APOE/SRPX/CSPG4/MXRA7/A1BG/HAPLN1/ADAMTS10/ITIH5/MMRN2/COL9A1/HMCN1/SERPINF2/CDH13/SERPINB9/IL7/FREM1/LAMB2"
"GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION","GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION","GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION",147,-0.630300000503045,-2.46477300627526,1.50271468575046e-13,1.53784064152987e-10,1.18319008941194e-10,957,"tags=31%, list=7%, signal=29%","NUP37/INCENP/SPC25/CENPA/SGO1/ITGB3BP/CKAP5/DSN1/ZWILCH/CENPE/NCAPD3/NCAPD2/ZWINT/CDT1/CENPW/SPC24/CENPO/NUF2/MAD2L1/CENPK/CENPI/AURKB/SKA3/BIRC5/CENPM/SGO2/KNL1/CENPH/SKA1/KNSTRN/CCNB1/TTK/NEK2/KIF18A/SPDL1/CENPF/SPAG5/CENPU/KIF2C/NCAPG/BUB1/PLK1/NDC80/BUB1B/ERCC6L"
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",219,-0.525256750851357,-2.05635718262868,7.29857677481193e-12,6.63927200615392e-09,5.10815010765785e-09,1400,"tags=26%, list=10%, signal=23%","NUP43/CENPQ/NUP107/NUP205/ESPL1/VRK1/NUP155/NUP93/UBE2S/NUP37/INCENP/SPC25/CENPA/SGO1/ITGB3BP/CKAP5/CDCA8/RCC1/DSN1/FBXO5/ZWILCH/CENPE/CDCA5/ZWINT/SPC24/CENPO/NUF2/MAD2L1/CENPK/CENPI/NDC1/AURKB/BIRC5/CENPM/CDK1/SGO2/KNL1/CENPH/UBE2C/SKA1/CCNB1/TUBB3/CCNB2/KIF18A/PTTG1/CDC20/SPDL1/CENPF/CENPU/KIF2C/LMNB1/BUB1/PLK1/NDC80/BUB1B/ERCC6L"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER",86,-0.702539419282185,-2.57871372441698,1.62614811578372e-11,1.33132746239213e-08,1.02430213945787e-08,1465,"tags=53%, list=11%, signal=48%","E2F1/TP53/BARD1/DNMT1/RFC4/HLTF/SUV39H1/SAP30/MCM3/WEE1/RFC5/CDC7/FANCG/MSH6/MCM7/SMC2/RRM1/PRKDC/MCM6/PLK4/PCNA/CDC25A/RRM2/SKP2/CCNE2/PRIM1/CDT1/DHFR/RFC3/POLA1/MCM4/POLE2/CDC45/CHEK1/CCNA2/STMN1/TYMS/ORC1/TOP2A/CDK1/HMGB2/CCNB1/TTK/CCNB2/KIF4A/ANLN"
