"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbols"
"ENSG00000135220 - UGT2A3",17.0534759955696,23.2899870286913,3.09847493764795,7.51659687341887,5.62204276477196e-14,7.5048648866941e-10," UGT2A3"
"ENSG00000161021 - MAML1",5.50593942599375,21.8688467051148,3.59762866109898,6.07868370117845,1.21173109644063e-09,8.08769920319302e-06," MAML1"
"ENSG00000204287 - HLA-DRA",417.881257050727,11.4260594612586,2.04759345876397,5.58023830968667,2.40189270995661e-08,0.000106876219284036," HLA-DRA"
"ENSG00000198502 - HLA-DRB5",214.622383709392,6.58696188951496,1.5790044284301,4.17159177701861,3.02479179922036e-05,0.0672965762129877," HLA-DRB5"
"ENSG00000204619 - PPP1R11",12.6545246697711,6.12242163375725,2.42233684709902,2.5274856554692,0.0114882516902143,0.681191605749448," PPP1R11"
"ENSG00000146469 - VIP",19.4471942031999,5.31341010630279,1.19742784061519,4.43735307137419,9.10718451287266e-06,0.0243143612124674," VIP"
"ENSG00000257743 - MGAM2",2.13926269036892,5.1200433167363,3.59964071882632,1.42237620825828,0.154917066124859,0.901892620383302," MGAM2"
"ENSG00000236104 - ZBTB22",9.0202680065174,5.01481600197978,2.88537910024321,1.7380094011068,0.0822091572771418,0.853832144350233," ZBTB22"
"ENSG00000205572 - SERF1B",25.9563531566293,3.89803936571322,2.42906623899733,1.60474807279123,0.108549257821086,0.862514311103376," SERF1B"
"ENSG00000112473 - SLC39A7",59.6609640375257,3.49281143174682,3.0568682129292,1.14261106088047,0.253200111101054,0.935281180673282," SLC39A7"
"ENSG00000232177 - MTND4P24",4.79556731036109,3.085683380154,1.71799539606035,1.79609525568577,0.0724793688590866,0.842060134812835," MTND4P24"
"ENSG00000204257 - HLA-DMA",12.1382904776484,2.93690914382094,1.72251863217009,1.70500863617418,0.0881928137547125,0.855518321605877," HLA-DMA"
"ENSG00000196126 - HLA-DRB1",347.916471388844,2.84028292762021,1.56955240135543,1.80961331725363,0.0703557732861937,0.84108183574892," HLA-DRB1"
"ENSG00000247627 - MTND4P12",1117.47761817469,2.82211214372798,0.829188448372729,3.40346292723486,0.000665374421487973,0.32180956805654," MTND4P12"
"ENSG00000126603 - GLIS2",4.40621372204506,2.7987742790938,1.74050301484944,1.60802610234829,0.107829462141429,0.861409629040055," GLIS2"
"ENSG00000231389 - HLA-DPA1",135.510669562805,2.79211824665737,1.55363882262165,1.79714757767567,0.0723121942360182,0.842060134812835," HLA-DPA1"
"ENSG00000164107 - HAND2",6.0103596737361,2.7302358062063,0.863351814533002,3.16236760060917,0.00156491879760564,0.49093635086918," HAND2"
"ENSG00000225972 - MTND1P23",2960.73038375041,2.60183627648596,0.704198295246686,3.69474946765458,0.000220103701615572,0.226012639451252," MTND1P23"
"ENSG00000241404 - EGFL8",6.69746092688087,2.56175300636432,1.05767572051735,2.42205900794552,0.015432844344376,0.70162575356708," EGFL8"
"ENSG00000278599 - TBC1D3E",4.53413681715746,2.52375255866184,2.63101505275855,0.959231516374546,0.33744212671017,0.950240028380594," TBC1D3E"
"ENSG00000242574 - HLA-DMB",33.523090027682,2.46123586148169,1.44592043781446,1.70219314777921,0.0887191668645211,0.855518321605877," HLA-DMB"
"ENSG00000168477 - TNXB",5.77790363350133,2.39032887760621,1.38281193238743,1.7286001238645,0.0838806874609316,0.854364830102506," TNXB"
"ENSG00000169245 - CXCL10",11.6606999850913,2.32811824025803,0.730515152160348,3.18695407394781,0.00143779603145772,0.477395584503461," CXCL10"
"ENSG00000123360 - PDE1B",8.67150326006941,2.31283150958578,0.758074711746453,3.05092819183677,0.00228135128436081,0.506723063601382," PDE1B"
"ENSG00000138722 - MMRN1",7.96424060312575,2.30726282457315,0.845962716487164,2.72738121858845,0.00638392373368096,0.639576133699701," MMRN1"
"ENSG00000170906 - NDUFA3",5.56718393859444,2.30710397714081,0.80875941981659,2.85264557124295,0.00433569491330094,0.587855124475139," NDUFA3"
"ENSG00000149596 - JPH2",16.7541049025346,2.24897228056469,0.756182558669479,2.97411287100011,0.0029383696844503,0.544781901635099," JPH2"
"ENSG00000151208 - DLG5",2.67983694843033,2.23502816373631,2.50141358461642,0.893506046933476,0.371586235324798,0.961074694400592," DLG5"
"ENSG00000276409 - CCL14",6.91801017489041,2.19705988954686,0.946032147421183,2.32239453546678,0.0202117013330901,0.720361768379081," CCL14"
"ENSG00000091986 - CCDC80",35.2470334947842,2.13883062267675,0.564806582921169,3.78683727731139,0.000152576946775346,0.22018515648068," CCDC80"
"ENSG00000118729 - CASQ2",6.76733651563796,2.11206194395873,0.962154741807131,2.19513748899873,0.0281537367259429,0.744391397806052," CASQ2"
"ENSG00000137809 - ITGA11",4.34413467124225,2.10155919075354,0.694270993437884,3.02700128713006,0.00246992906661876,0.506723063601382," ITGA11"
"ENSG00000134769 - DTNA",14.671196866901,2.06352214075691,0.721411968990265,2.86039354690102,0.00423115578415408,0.587855124475139," DTNA"
"ENSG00000007171 - NOS2",143.093469921605,2.05865173445913,0.581340373003751,3.54121583509193,0.000398287624378071,0.295374527656826," NOS2"
"ENSG00000165072 - MAMDC2",7.12030896507221,2.05108259513983,0.867182544662554,2.36522587748577,0.0180190772372985,0.709986118430852," MAMDC2"
"ENSG00000211973 - IGHV1-69",9.80091632158992,2.04096315693953,1.2054892481671,1.6930579514025,0.0904444369759382,0.856152375341775," IGHV1-69"
"ENSG00000184347 - SLIT3",12.2634051957038,2.02822852622078,0.673013978076737,3.01364992747523,0.00258125465015312,0.506723063601382," SLIT3"
"ENSG00000034053 - APBA2",4.60294642989916,2.01307365414554,1.3961990047827,1.44182430101276,0.149351945582004,0.901892620383302," APBA2"
"ENSG00000074181 - NOTCH3",34.5585233458608,2.0063898314361,0.647619169275795,3.0981013636143,0.00194764800024526,0.49473401184255," NOTCH3"
"ENSG00000162706 - CADM3",20.3453853972415,2.00133751485101,0.65578657272135,3.05181227872044,0.00227464306124775,0.506723063601382," CADM3"
"ENSG00000150630 - VEGFC",5.11149604846806,1.99622085968114,0.95440514153576,2.09158644773116,0.0364755258829991,0.757153631937226," VEGFC"
"ENSG00000111799 - COL12A1",24.1003210724863,1.98941432474522,0.57967848569095,3.43192713521863,0.000599308554756281,0.32180956805654," COL12A1"
"ENSG00000184557 - SOCS3",62.6752228754375,1.97568063982254,0.547908878766454,3.60585622242612,0.000311125372293318,0.259575787171469," SOCS3"
"ENSG00000075340 - ADD2",4.2136453369706,1.97107376157144,1.14614414469395,1.71974334179212,0.0854791056596742,0.854364830102506," ADD2"
"ENSG00000229344 - MTCO2P12",94.2062736502736,1.96424712736152,0.524701931539198,3.74354849733344,0.000181439562610494,0.22018515648068," MTCO2P12"
"ENSG00000154175 - ABI3BP",37.5688028022511,1.96089471491054,0.653157901952135,3.00217559804434,0.00268057503106531,0.518594146227404," ABI3BP"
"ENSG00000187955 - COL14A1",37.0616784491293,1.95371701858208,0.626533205277181,3.11829764508292,0.0018189900239512,0.49473401184255," COL14A1"
"ENSG00000151468 - CCDC3",20.5272787150961,1.92677395382991,0.702512738022378,2.74268899273473,0.00609383713450709,0.639576133699701," CCDC3"
"ENSG00000004776 - HSPB6",47.2490925875249,1.91947723669495,0.671605440288358,2.85804301387257,0.00426262604858628,0.587855124475139," HSPB6"
"ENSG00000173641 - HSPB7",7.29076560655471,1.90473063545887,0.756249669569485,2.51865318042808,0.0117804629399458,0.681191605749448," HSPB7"
"ENSG00000140285 - FGF7",6.95645248611749,1.90441724051736,0.617718188642867,3.08298715422542,0.00204934000985959,0.49473401184255," FGF7"
"ENSG00000119147 - ECRG4",7.17069039480456,1.89878382842821,0.782964951533256,2.42511982779035,0.0153033346421642,0.70162575356708," ECRG4"
"ENSG00000128564 - VGF",4.59365421804452,1.89766029195014,0.855976365643586,2.21695407503844,0.0266262299647182,0.744391397806052," VGF"
"ENSG00000176681 - LRRC37A",6.86523970958694,1.89740727204742,1.39391219980314,1.36121003339764,0.173447324324167,0.907521982223813," LRRC37A"
"ENSG00000151789 - ZNF385D",7.80710645497672,1.89171581258388,0.746439202738328,2.53432001647834,0.0112665787969467,0.681191605749448," ZNF385D"
"ENSG00000106809 - OGN",10.540619313919,1.88833309502889,0.911813937391132,2.07096318403704,0.0383622366970966,0.757153631937226," OGN"
"ENSG00000108691 - CCL2",5.57275077217195,1.88736391927781,0.774506674636699,2.43685946304223,0.0148154360717188,0.70162575356708," CCL2"
"ENSG00000163017 - ACTG2",225.098097897313,1.88034837607416,0.745584471797376,2.52197899393105,0.0116696676670482,0.681191605749448," ACTG2"
"ENSG00000104332 - SFRP1",7.20762240944711,1.88023579883547,0.690417232725677,2.72333265989399,0.00646269466467401,0.639576133699701," SFRP1"
"ENSG00000160229 - ZNF66",25.6144401841237,1.87788828036497,0.512860214145922,3.66159867458673,0.000250646286274706,0.238991233962932," ZNF66"
"ENSG00000143147 - GPR161",15.404377367276,1.87458474171155,0.701302461060592,2.67300465319427,0.00751752077019581,0.653322149057237," GPR161"
"ENSG00000211890 - IGHA2",561.473703075365,1.86679920242246,0.966022456215533,1.93245942722263,0.0533028251998586,0.786245673388599," IGHA2"
"ENSG00000112182 - BACH2",18.0042416892286,1.86656171206718,0.799105425344609,2.33581409018996,0.0195009329406614,0.718348998906779," BACH2"
"ENSG00000170323 - FABP4",8.90590028322501,1.86534258445113,0.768318620946567,2.42782425623503,0.0151897017822076,0.70162575356708," FABP4"
"ENSG00000150681 - RGS18",7.29263368591751,1.85725269763096,0.760853166603182,2.44101329816716,0.0146461154337339,0.70162575356708," RGS18"
"ENSG00000123094 - RASSF8",9.2522046214133,1.85456805948188,0.551487813129262,3.36284504449638,0.000771436525418328,0.32180956805654," RASSF8"
"ENSG00000170801 - HTRA3",11.1819369444721,1.85050365200839,0.755496916723873,2.44938610740185,0.014309995804422,0.699330961888993," HTRA3"
"ENSG00000102962 - CCL22",27.1885458417151,1.84742267359352,0.776966502191577,2.37773786692544,0.017419204041801,0.709986118430852," CCL22"
"ENSG00000123560 - PLP1",23.304418046627,1.84330054657918,0.655762856454135,2.81092551741393,0.00493992200428754,0.630034534009647," PLP1"
"ENSG00000161939 - RNASEK-C17orf49",12.0549750764397,1.84295132470633,0.708427552077222,2.60146760145409,0.0092825832591614,0.66620002111046," RNASEK-C17orf49"
"ENSG00000019549 - SNAI2",8.57388280402022,1.83918708458579,0.645851613537629,2.84769294685463,0.00440373904019132,0.587855124475139," SNAI2"
"ENSG00000175084 - DES",576.296538309825,1.83887719729989,0.762346976977908,2.4121263057795,0.0158597862444046,0.70162575356708," DES"
"ENSG00000130176 - CNN1",117.990308425325,1.83726689883874,0.826573904820015,2.22274969984542,0.0262326825672583,0.744391397806052," CNN1"
"ENSG00000204252 - HLA-DOA",15.062705016549,1.83686379378264,1.51649652861463,1.21125486219258,0.225797742283405,0.92315020801755," HLA-DOA"
"ENSG00000174348 - PODN",7.80421706481954,1.83123307680331,0.65518902972599,2.79496907567143,0.00519046799713764,0.630034534009647," PODN"
"ENSG00000131203 - IDO1",27.6892136032474,1.82631807625672,0.68010053029,2.68536487609848,0.0072450663765327,0.653322149057237," IDO1"
"ENSG00000129646 - QRICH2",6.20040934091757,1.81751673302562,0.53060100110198,3.42539258171566,0.000613911640677577,0.32180956805654," QRICH2"
"ENSG00000072195 - SPEG",13.8503918636624,1.80487765053213,0.710330106878856,2.54089983382888,0.0110567590825352,0.681191605749448," SPEG"
"ENSG00000134201 - GSTM5",6.67455016583876,1.78416833122684,0.798630986521496,2.23403344139942,0.0254808727736938,0.744391397806052," GSTM5"
"ENSG00000168032 - ENTPD3",18.3209320375568,1.78025144822925,0.526406114820033,3.38189735664046,0.000719870372107197,0.32180956805654," ENTPD3"
"ENSG00000165716 - DIPK1B",8.14343200868086,1.77502630325208,0.709225168543159,2.5027683477424,0.0123226169705102,0.681191605749448," DIPK1B"
"ENSG00000011465 - DCN",141.448282965863,1.77381840721986,0.530110619967354,3.34612878974032,0.000819483234288824,0.33149338468247," DCN"
"ENSG00000133392 - MYH11",888.641314987599,1.77322019279496,0.881243238856769,2.01218019566918,0.0442009453535153,0.771292051665459," MYH11"
"ENSG00000106034 - CPED1",19.2778606851235,1.76607418280957,0.637384701422601,2.77081357438893,0.00559164309092161,0.630034534009647," CPED1"
"ENSG00000163815 - CLEC3B",49.8581042190895,1.7622242302209,0.584519541738936,3.01482517586719,0.00257127418292787,0.506723063601382," CLEC3B"
"ENSG00000143382 - ADAMTSL4",7.9252595021464,1.75914668515222,0.654157212072771,2.68918029593859,0.00716277211058146,0.653322149057237," ADAMTSL4"
"ENSG00000111341 - MGP",41.3644416064209,1.7561627528137,0.558213485507288,3.14604143111618,0.00165496559960395,0.49093635086918," MGP"
"ENSG00000119938 - PPP1R3C",15.7993181728318,1.73774097494035,0.467322199907594,3.71850722110775,0.000200403564543331,0.222932265257411," PPP1R3C"
"ENSG00000179954 - SSC5D",6.88311413706098,1.72457048609132,0.708178031370446,2.4352216670065,0.0148826694024752,0.70162575356708," SSC5D"
"ENSG00000183287 - CCBE1",10.0068639794997,1.72108171561233,0.736047186938477,2.33827633085729,0.0193729180396665,0.718348998906779," CCBE1"
"ENSG00000129946 - SHC2",7.89870152731211,1.71504779754855,0.633340125256176,2.70794116645434,0.00677020229725192,0.652174077844246," SHC2"
"ENSG00000267541 - MTCO2P2",25.9877309308189,1.71479112463581,0.722896243858795,2.37211237325334,0.0176867106019848,0.709986118430852," MTCO2P2"
"ENSG00000170419 - VSTM2A",5.34199875366223,1.7122214085463,0.644002436666559,2.65871883561338,0.00784383920618981,0.654421309771424," VSTM2A"
"ENSG00000239732 - TLR9",7.54798714794065,1.70388561924309,1.62488042018123,1.04862216202534,0.294352051696177,0.940856133389141," TLR9"
"ENSG00000000971 - CFH",38.8478860980875,1.70296312661633,0.55399977724242,3.07394189776207,0.00211250570642186,0.49473401184255," CFH"
"ENSG00000105559 - PLEKHA4",61.9874849291685,1.69999167182541,0.499404905997813,3.40403478501842,0.000663982972023337,0.32180956805654," PLEKHA4"
"ENSG00000163762 - TM4SF18",8.61023286365252,1.69792642213661,0.642361199148596,2.64325806787069,0.00821124236709591,0.661799150766621," TM4SF18"
"ENSG00000132622 - HSPA12B",11.3461190193802,1.69752910413275,0.678511688147947,2.50184209614176,0.0123549015282788,0.681191605749448," HSPA12B"
"ENSG00000179855 - GIPC3",7.74005245445526,1.69717406998225,0.685931229738124,2.4742627196464,0.0133511475971514,0.692004219474211," GIPC3"
"ENSG00000157510 - AFAP1L1",7.27084445519326,1.69294998017911,0.584048948507386,2.89864399979773,0.0037478016486865,0.556850837647775," AFAP1L1"
"ENSG00000171724 - VAT1L",14.343613487917,1.69224461860284,0.609369529453146,2.77704174037299,0.00548561338204525,0.630034534009647," VAT1L"
"ENSG00000145623 - OSMR",17.3885444561515,1.69220239807084,0.612094769551612,2.76460849242423,0.00569911516706885,0.630034534009647," OSMR"
"ENSG00000166963 - MAP1A",11.8201081001369,1.69167560266093,0.531759753756079,3.18127799389066,0.00146626855679391,0.477395584503461," MAP1A"
"ENSG00000168502 - MTCL1",8.98841744885837,1.69141150938039,0.686266860576697,2.46465567047639,0.0137144975007111,0.696664268796145," MTCL1"
"ENSG00000008516 - MMP25",17.7140104053012,1.68400893259326,0.49794069607574,3.38194677772855,0.000719740877050197,0.32180956805654," MMP25"
"ENSG00000171385 - KCND3",14.8854160872159,1.67989211586711,0.554770475025065,3.02808493150471,0.00246108907907096,0.506723063601382," KCND3"
"ENSG00000197380 - DACT3",14.2341592361254,1.67810788532141,0.718748492790128,2.33476369293954,0.0195557688606739,0.718348998906779," DACT3"
"ENSG00000149591 - TAGLN",586.042665644877,1.6769829062221,0.63706088911621,2.63237460480202,0.00847903162147693,0.661799150766621," TAGLN"
"ENSG00000101335 - MYL9",401.448886655905,1.67574896923502,0.662961226153209,2.52767266489844,0.0114821348877366,0.681191605749448," MYL9"
