"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE",393,0.599509022051739,1.9690197448465,9.74658667931759e-19,8.03216208242562e-15,7.02472410455658e-15,1137,"tags=30%, list=9%, signal=28%","HLA-C/HLA-DOB/HLA-DRA/IGLV7-46/IGLV1-44/IGHV2-26/C3/HLA-DPA1/IGHV3-7/IGKV3D-20/IGHV3-15/IGHV3-74/IGLV8-61/IGHV3-73/IGLV1-47/IGLV2-18/IGLC2/IGLV2-8/HLA-DRB1/IGLV3-25/IGHV4-39/HLA-DQA1/FCGR3A/C1QB/IGHV5-51/IGHV1-69/IGKV1D-39/C1QC/IGKV1D-17/HLA-DRB5/FCER2/C1QA/CD209/HLA-F/IGLV2-23/IGKV1D-13/SLAMF1/IGHV3-72/IGKV3D-11/IGLC1/IGHG2/IGLV2-11/CD226/TNFSF13B/JCHAIN/EBI3/IGLV3-21/IGHV3-21/CLEC10A/HAVCR2/IGLL5/IGLV3-19/HLA-DMB/CD274/IGLV3-9/IGLV6-57/IGLV2-14/IL18BP/PIK3CD/IGKC/BATF/IGHV6-1/PDCD1/IGKV3D-15/CD40LG/RORA/IGHV4-34/TAP2/CD4/SLAMF7/GZMM/C4A/IGLV1-51/IL1R1/IGLV10-54/IGHV1-18/SERPING1/FCER1G/C2/IGKV2D-29/IGLC3/CX3CR1/CD86/ICAM1/MYO1G/ANXA1/IGHV3-66/CD79A/SLC11A1/IL7R/CLU/SAMSN1/HLA-B/IGKV4-1/IGHV3-43/TNFRSF17/CCL19/HLX/IGHM/IGHV3-33/BACH2/LILRB4/CR1/CD19/CCR6/CCR2/SLAMF6/CD79B/LIME1/PRDM1/GATA3/SPN/SH2D1A/HLA-DOA/FOXJ1/C1S/LAG3/CD244"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",334,0.615683966027059,2.01540734277094,2.74614618651055e-18,1.13154953615167e-14,9.89624365212514e-15,1433,"tags=38%, list=11%, signal=35%","TNXB/MMP12/EFEMP1/MMP25/SERPINA3/BGN/F13A1/MGP/C1QB/C1QC/C1QA/CCDC80/POSTN/COL14A1/MXRA5/S100A9/COL18A1/COL1A1/LUM/EMID1/LOX/HAPLN1/COL5A1/ADAMTSL3/COL15A1/PCOLCE/ADAMDEC1/CXCL12/VCAN/MMP2/TGFBI/COL28A1/CD180/FBLN2/HTRA1/ABI3BP/DCN/COL1A2/FBN1/SFRP1/PDGFB/COL3A1/APOE/SERPINF1/ADAM19/CRISPLD2/EGFL7/COL4A1/NCAM1/SPARC/IGFBP7/FBLN1/ANGPTL2/PLAT/GPC6/SERPINA5/MMRN1/COL27A1/ADAMTSL4/CLEC3B/SERPING1/LAMA2/ADAMTS1/ICAM1/ANXA1/MMP9/ALPL/ELN/TIMP3/LGALS1/FBLN5/VWA1/WNT5B/EMILIN2/BCAM/CLU/NID1/DMBT1/A2M/SSC5D/SPARCL1/DPT/COL6A1/FMOD/PODN/VWC2/SDC3/OGN/SRPX2/COL6A2/FLRT2/TPSAB1/TGM2/CCN3/MFAP4/CLEC14A/OLFML2A/ADAMTS10/ANGPTL1/MMP1/LRRC32/COL6A3/SMOC1/TIMP1/TPSB2/COL12A1/VWF/COL5A2/PXDN/AEBP1/LAMC1/S100A4/MUC4/LAMA4/SULF1/ECM1/LAMB2/TGFB1I1/ADAMTS9/CTSF/LOXL1/PRELP/FREM1/MMRN2/TGFBR3/COL8A2/A1BG/SERPINB9"
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",267,0.646743187944059,2.10305847771759,4.34612615601625e-18,1.19388085505766e-14,1.04413774702608e-14,1433,"tags=42%, list=11%, signal=39%","TNXB/EFEMP1/SERPINA3/BGN/F13A1/MGP/C1QB/C1QC/C1QA/CCDC80/POSTN/COL14A1/MXRA5/S100A9/COL18A1/COL1A1/LUM/HAPLN1/COL5A1/COL15A1/PCOLCE/ADAMDEC1/CXCL12/VCAN/MMP2/TGFBI/COL28A1/FBLN2/HTRA1/ABI3BP/DCN/COL1A2/FBN1/SFRP1/PDGFB/COL3A1/APOE/SERPINF1/ADAM19/EGFL7/COL4A1/NCAM1/SPARC/IGFBP7/FBLN1/ANGPTL2/PLAT/GPC6/SERPINA5/MMRN1/COL27A1/ADAMTSL4/CLEC3B/SERPING1/LAMA2/ADAMTS1/ICAM1/ANXA1/MMP9/ELN/TIMP3/LGALS1/FBLN5/VWA1/WNT5B/EMILIN2/BCAM/CLU/NID1/A2M/SSC5D/SPARCL1/DPT/COL6A1/FMOD/PODN/VWC2/SDC3/OGN/SRPX2/COL6A2/TPSAB1/TGM2/CCN3/MFAP4/CLEC14A/ADAMTS10/ANGPTL1/COL6A3/SMOC1/TIMP1/TPSB2/COL12A1/VWF/COL5A2/PXDN/AEBP1/LAMC1/S100A4/LAMA4/SULF1/ECM1/LAMB2/TGFB1I1/ADAMTS9/CTSF/LOXL1/PRELP/FREM1/MMRN2/COL8A2/A1BG/SERPINB9"
"REACTOME_COMPLEMENT_CASCADE","REACTOME_COMPLEMENT_CASCADE","REACTOME_COMPLEMENT_CASCADE",58,0.859238166472098,2.43920028879975,8.12071314393603e-18,1.67306992547942e-14,1.46322428675079e-14,885,"tags=71%, list=7%, signal=66%","IGLV1-44/C3/IGHV3-7/IGKV3D-20/IGLV1-47/IGLC2/IGLV2-8/IGLV3-25/IGHV4-39/C1QB/C3AR1/IGHV1-69/IGKV1D-39/C1QC/C1QA/IGHV1-46/CFH/IGLV2-23/IGKV1D-16/IGHG2/IGLV2-11/IGLV3-21/IGLV3-19/IGLV6-57/IGLV2-14/IGHV4-34/GZMM/C4A/IGLV1-51/SERPING1/C2/IGLC3/C5AR1/CLU/CFB/IGKV4-1/PROS1/IGHV3-33/CR1/CD19/CFD"
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",55,0.873043715377159,2.47589273918913,1.14368463304918e-17,1.88502101219165e-14,1.64859130157636e-14,779,"tags=69%, list=6%, signal=65%","IGLV1-44/IGHV3-7/IGKV3D-20/IGLV1-47/MSR1/IGLC2/CD163/IGLV2-8/IGLV3-25/IGHV4-39/IGHV1-69/IGKV1D-39/IGHV1-46/IGLV2-23/IGKV1D-16/COL1A1/IGLV2-11/JCHAIN/CD36/IGLV3-21/IGLV3-19/COL1A2/SCARA5/IGLV6-57/STAB1/IGLV2-14/COL3A1/APOE/COL4A1/IGHV4-34/SPARC/IGLV1-51/IGLC3/HBA2/SSC5D/IGKV4-1/APOL1/IGHV3-33"
"GOCC_IMMUNOGLOBULIN_COMPLEX","GOCC_IMMUNOGLOBULIN_COMPLEX","GOCC_IMMUNOGLOBULIN_COMPLEX",67,0.8450455994582,2.4393145967583,1.56448707152028e-17,2.1488229927331e-14,1.87930578573673e-14,930,"tags=76%, list=7%, signal=71%","IGLV7-46/IGLV1-44/IGHV2-26/IGHV3-7/IGKV3D-20/IGHV3-15/IGHV3-74/IGLV8-61/IGHV3-73/IGLV1-47/IGLV2-18/IGLC2/IGLV2-8/IGLV3-25/IGHV4-39/IGHV5-51/IGHV1-69/IGKV1D-39/IGKV1D-17/IGLV2-23/IGKV1D-13/IGHV3-72/IGKV3D-11/IGLC1/IGHG2/IGLV2-11/JCHAIN/IGLV3-21/IGHV3-21/IGLL5/IGLV3-19/IGLV3-9/IGLV6-57/IGLV2-14/IGKC/IGHV6-1/IGKV3D-15/IGHV4-34/IGLV1-51/IGLV10-54/IGHV1-18/IGKV2D-29/IGLC3/IGHV3-66/CD79A/IGKV4-1/IGHV3-43/IGHM/IGHV3-33/CD79B/LIME1"
"GOCC_SIDE_OF_MEMBRANE","GOCC_SIDE_OF_MEMBRANE","GOCC_SIDE_OF_MEMBRANE",452,0.572623150832706,1.88754208682827,5.03290750596897e-17,5.92517010809862e-14,5.18200266065708e-14,1432,"tags=30%, list=11%, signal=28%","HLA-C/HLA-DRA/IGHV2-26/HLA-DPA1/IGHV3-7/IGHV3-15/IGHV3-74/IGHV3-73/MSR1/VCAM1/IGLC2/CD163/HLA-DRB1/IGHV4-39/HLA-DQA1/FCGR3A/IGHV5-51/IGHV1-69/HLA-DRB5/FCER2/CD209/CSF2RA/HLA-F/SLAMF1/IGHV3-72/IGLC1/IGHG2/PDGFRA/ACKR4/PLEKHA4/CD226/OSMR/CXCL12/KDR/CD36/EBI3/CXCL10/IGHV3-21/CLEC10A/IGLL5/SCARA5/CD274/THBD/SCUBE1/IGKC/IGHV6-1/PDCD1/ANTXR1/CD40LG/NCAM1/IGHV4-34/ITGAX/CD4/SLAMF7/RGS1/DLG4/SERPINA5/IL1R1/FOLR2/SHANK3/IGHV1-18/PTPN7/CXCR4/CLEC17A/ENG/ACKR3/FCER1G/HCK/IGLC3/CD163L1/CX3CR1/CD86/CCR7/ICAM1/ABCC4/ANXA1/CXCL9/IGHV3-66/CDH5/CD79A/IL7R/BCAM/ITGA9/HLA-B/HEG1/IGHV3-43/CNR2/IGHM/MCAM/GNA15/IGHV3-33/ITGA5/LILRB4/MS4A1/PRNP/CD19/CCR6/CCR2/CLEC14A/GNB4/LDLR/CXCR5/SLAMF6/THY1/MTSS2/CD79B/SLA/RGS2/TNFRSF18/SPN/PKHD1/CD302/GHR/SHROOM4/IL2RA/CD34/F10/HIP1/LAG3/CD244/LEPR/ITGA8/CD14/CCR1/CTSK/GEM/CANX/FES/SELP/ITGB2/GNG11/CD28/LIFR/CLEC2D/TGFBR3/CD69/BTN2A3P"
"GOMF_ANTIGEN_BINDING","GOMF_ANTIGEN_BINDING","GOMF_ANTIGEN_BINDING",93,0.788418228459265,2.36677375684328,7.33531961490842e-17,7.55629611830754e-14,6.60854386885236e-14,872,"tags=56%, list=7%, signal=53%","HLA-C/HLA-DRA/IGLV1-44/IGHV2-26/HLA-DPA1/IGHV3-7/IGHV3-15/IGHV3-74/IGHV3-73/IGLV1-47/IGLC2/IGLV2-8/HLA-DRB1/IGLV3-25/IGHV4-39/HLA-DQA1/IGHV5-51/IGHV1-69/IGKV1D-39/HLA-DRB5/CD209/HLA-F/IGLV2-23/SLAMF1/IGHV3-72/IGKV3D-11/IGLC1/IGHG2/IGLV2-11/JCHAIN/IGLV3-21/IGHV3-21/IGLL5/IGLV3-19/IGLV6-57/IGLV2-14/IGKC/IGHV6-1/IGHV4-34/TAP2/IGLV1-51/IGHV1-18/IGLC3/IGHV3-66/IL7R/TSPAN4/HLA-B/IGKV4-1/IGHV3-43/IGHM/IGHV3-33/MFAP4"
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",39,0.889093118006423,2.3951116353983,3.81583928554489e-15,3.49403683913061e-12,3.05579550738314e-12,885,"tags=85%, list=7%, signal=79%","IGLV1-44/C3/IGHV3-7/IGKV3D-20/IGLV1-47/IGLC2/IGLV2-8/IGLV3-25/IGHV4-39/C1QB/IGHV1-69/IGKV1D-39/C1QC/C1QA/IGHV1-46/IGLV2-23/IGKV1D-16/IGHG2/IGLV2-11/IGLV3-21/IGLV3-19/IGLV6-57/IGLV2-14/IGHV4-34/GZMM/C4A/IGLV1-51/C2/IGLC3/CFB/IGKV4-1/IGHV3-33/CFD"
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA","REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA","REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA",33,0.906451108248999,2.36898991022943,9.03828152541441e-15,7.44844780509402e-12,6.51422248468552e-12,779,"tags=82%, list=6%, signal=77%","IGLV1-44/IGHV3-7/IGKV3D-20/IGLV1-47/IGLC2/CD163/IGLV2-8/IGLV3-25/IGHV4-39/IGHV1-69/IGKV1D-39/IGHV1-46/IGLV2-23/IGKV1D-16/IGLV2-11/JCHAIN/IGLV3-21/IGLV3-19/IGLV6-57/IGLV2-14/IGHV4-34/IGLV1-51/IGLC3/HBA2/IGKV4-1/APOL1/IGHV3-33"
