"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbols"
"ENSG00000204439 - C6orf47",6.12095637368385,5.26690593268761,2.57229904207862,2.04754806751844,0.0406043023893519,0.740551857280564," C6orf47"
"ENSG00000257743 - MGAM2",2.13926269036892,5.19630625721867,3.52279377071623,1.47505264157493,0.140198391315279,0.822832659382054," MGAM2"
"ENSG00000236104 - ZBTB22",9.0202680065174,4.84895673208077,2.81743727030245,1.7210522424729,0.0852413443203554,0.786987066737861," ZBTB22"
"ENSG00000204389 - HSPA1A",151.049692814557,4.30328284671452,1.42648912139772,3.01669517289976,0.00255546648178986,0.580230860566737," HSPA1A"
"ENSG00000204525 - HLA-C",2074.08557403273,4.27411479576829,1.20815063533387,3.53773335109586,0.000403577397649754,0.336062287008698," HLA-C"
"ENSG00000168477 - TNXB",5.77790363350133,3.75377090082517,1.38697962030174,2.7064355134566,0.00680097896492437,0.595032785014245," TNXB"
"ENSG00000241106 - HLA-DOB",11.7480565254173,3.72274907701777,1.0639943945208,3.49884275348502,0.000467282071660045,0.336062287008698," HLA-DOB"
"ENSG00000204287 - HLA-DRA",417.881257050727,3.60876037824919,1.9279656121762,1.87179706705234,0.0612346842033165,0.77515373926885," HLA-DRA"
"ENSG00000204619 - PPP1R11",12.6545246697711,3.38268943142528,2.32189410238121,1.45686636955414,0.145153270924013,0.826642923875705," PPP1R11"
"ENSG00000151208 - DLG5",2.67983694843033,3.22454480637386,2.46583132976393,1.30769074407152,0.190978224031284,0.853479657487661," DLG5"
"ENSG00000137310 - TCF19",14.0381195353026,2.6655342469553,1.32691723754518,2.0088172581785,0.0445565173105618,0.741950232495987," TCF19"
"ENSG00000269897 - COMMD3-BMI1",5.18464646627125,2.34806665602379,1.49588839906185,1.56968037020435,0.116489490228296,0.809118787491032," COMMD3-BMI1"
"ENSG00000211649 - IGLV7-46",78.552044858317,2.32664111326283,0.748702357239517,3.10756482968907,0.00188635606844598,0.545801398532172," IGLV7-46"
"ENSG00000007171 - NOS2",143.093469921605,2.22097415900365,0.569481370875756,3.89999440295686,9.61949118259635e-05,0.321026469491197," NOS2"
"ENSG00000211651 - IGLV1-44",42.0030201353327,2.19634635237448,1.52518301068271,1.4400542997075,0.149852037199783,0.829295085771024," IGLV1-44"
"ENSG00000197921 - HES5",3.93140920028886,2.1960927877098,1.40950899770889,1.55805517473069,0.119220169373419,0.810783116020471," HES5"
"ENSG00000211951 - IGHV2-26",14.5259415692333,2.08548350950772,0.879919047769052,2.3700856513963,0.0177839648918569,0.709676848647844," IGHV2-26"
"ENSG00000127507 - ADGRE2",7.58181185346224,2.03865364279958,0.673346595193797,3.02764379793564,0.00246468419096396,0.580230860566737," ADGRE2"
"ENSG00000125730 - C3",237.688571437179,2.00092708127478,0.752607427899847,2.6586597568647,0.00784521463499192,0.595032785014245," C3"
"ENSG00000140274 - DUOXA2",43.079768130453,1.98279486710968,0.908382720742602,2.18277475103087,0.0290524019423405,0.725632953494608," DUOXA2"
"ENSG00000184489 - PTP4A3",5.92405427000617,1.97028719422633,0.992014748202307,1.98614707875746,0.0470169950730895,0.754362821190711," PTP4A3"
"ENSG00000231389 - HLA-DPA1",135.510669562805,1.9691926003889,1.52054199259928,1.29505966291841,0.195299648484805,0.854009836951059," HLA-DPA1"
"ENSG00000262406 - MMP12",33.7129676618101,1.95768081671744,0.641121761629892,3.05352420379637,0.00226170476313151,0.570850911349986," MMP12"
"ENSG00000225630 - MTND2P28",16746.5229846182,1.95255199684879,0.630702358417033,3.09583747514343,0.00196257900438566,0.545801398532172," MTND2P28"
"ENSG00000183785 - TUBA8",7.25518166451957,1.94715109665713,0.899672065218566,2.16428982507542,0.0304421131365763,0.72704250290248," TUBA8"
"ENSG00000211938 - IGHV3-7",126.869997968737,1.9441285805704,0.912007706397409,2.13170192196078,0.0330313587279576,0.73002584049587," IGHV3-7"
"ENSG00000211625 - IGKV3D-20",40.2021209490462,1.91268077773819,0.822280227059758,2.32606928246031,0.0200148549378793,0.709676848647844," IGKV3D-20"
"ENSG00000151067 - CACNA1C",4.7513705081546,1.88384312198705,0.997018377900525,1.88947682785342,0.0588279648661932,0.76943044038071," CACNA1C"
"ENSG00000115380 - EFEMP1",15.2088677915448,1.86492205868458,0.636536659806672,2.92979521281773,0.00339185456644977,0.586350417969468," EFEMP1"
"ENSG00000211943 - IGHV3-15",68.9887350275944,1.84729912532831,0.953240052940813,1.93791597366189,0.0526334748044027,0.762950135969439," IGHV3-15"
"ENSG00000184557 - SOCS3",62.6752228754375,1.84077594587501,0.536081274283359,3.43376281578906,0.000595264821157093,0.336062287008698," SOCS3"
"ENSG00000224650 - IGHV3-74",74.6629652301934,1.83178452913076,0.818334078159235,2.23843119579131,0.0251929495949457,0.710386988298765," IGHV3-74"
"ENSG00000211638 - IGLV8-61",90.2228841999779,1.82406182448193,0.876311192708296,2.08152291065066,0.0373860692836379,0.735483019689619," IGLV8-61"
"ENSG00000181374 - CCL13",8.79886640336129,1.80707780675593,0.701008426438461,2.57782608397014,0.00994240242444631,0.649640121928874," CCL13"
"ENSG00000278599 - TBC1D3E",4.53413681715746,1.80702535605234,2.56814070665195,0.703631756379945,0.481662129516652,0.946232984524916," TBC1D3E"
"ENSG00000008516 - MMP25",17.7140104053012,1.7843835316456,0.488630376304678,3.65180639226772,0.000260402176245046,0.336062287008698," MMP25"
"ENSG00000132967 - HMGB1P5",25.3109177174205,1.76856945356879,0.708875124996434,2.49489563282064,0.0125994182331614,0.692138411499885," HMGB1P5"
"ENSG00000215030 - RPL13P12",103.65087310008,1.76645057172213,1.10845842253096,1.5936101308056,0.111023383997999,0.8050363930897," RPL13P12"
"ENSG00000088827 - SIGLEC1",14.5539190455661,1.76152658262957,0.607297116963016,2.90060093062627,0.00372447871324527,0.586350417969468," SIGLEC1"
"ENSG00000170323 - FABP4",8.90590028322501,1.74689673882258,0.750265116569749,2.32837259822166,0.0198923273796209,0.709676848647844," FABP4"
"ENSG00000143630 - HCN3",15.4960520285422,1.7413247029532,1.61294840442364,1.07959107568319,0.280324317248577,0.884227848443434," HCN3"
"ENSG00000211976 - IGHV3-73",27.614292481765,1.74081715612231,0.80728647092273,2.15638093641351,0.0310539320092413,0.72704250290248," IGHV3-73"
"ENSG00000211648 - IGLV1-47",162.74700354224,1.73869381384583,0.712841348990398,2.43910347836633,0.0147237514232905,0.709676848647844," IGLV1-47"
"ENSG00000140285 - FGF7",6.95645248611749,1.72829410754393,0.599531021762835,2.88274341911805,0.00394228410994595,0.586350417969468," FGF7"
"ENSG00000213886 - UBD",49.6025649344088,1.72613047356019,1.33936855357765,1.28876437254662,0.197480015493267,0.854009836951059," UBD"
"ENSG00000112511 - PHF1",16.2263204345136,1.71423107936804,1.89756357025196,0.903385323286126,0.366321426658792,0.913551230888512," PHF1"
"ENSG00000038945 - MSR1",15.4444177642156,1.69978966967334,0.583449994667661,2.91334250614152,0.00357582160786617,0.586350417969468," MSR1"
"ENSG00000162692 - VCAM1",36.4026706118883,1.69234334310993,0.714801446682673,2.3675712338915,0.0179052728249066,0.709676848647844," VCAM1"
"ENSG00000075340 - ADD2",4.2136453369706,1.6901174564665,1.11580902897237,1.51470136249305,0.129848049229918,0.817262973425525," ADD2"
"ENSG00000196136 - SERPINA3",14.5683656964622,1.6856047095834,0.815516853254705,2.06691584956976,0.0387420839901341,0.735483019689619," SERPINA3"
"ENSG00000247627 - MTND4P12",1117.47761817469,1.685229583503,0.811658041745515,2.07628027670227,0.0378680363797532,0.735483019689619," MTND4P12"
"ENSG00000074181 - NOTCH3",34.5585233458608,1.67661980476083,0.632522974463894,2.65068601845154,0.0080328478962829,0.60266786975678," NOTCH3"
"ENSG00000211664 - IGLV2-18",46.8886894548442,1.67498994730329,0.874968238273402,1.91434371447424,0.0555762522966699,0.765456781921167," IGLV2-18"
"ENSG00000164303 - ENPP6",6.67364267151049,1.6638056800515,0.879631798777138,1.89147968771083,0.0585603399529157,0.76943044038071," ENPP6"
"ENSG00000182492 - BGN",34.8011235641029,1.66193281518494,0.559138511434781,2.97230968927597,0.002955683851298,0.585485172603925," BGN"
"ENSG00000211677 - IGLC2",4795.66116497351,1.6433807305596,0.707792215613966,2.32184063953581,0.0202415180878944,0.709676848647844," IGLC2"
"ENSG00000177575 - CD163",32.3876968408897,1.63944235134696,0.561829335214787,2.918043342682,0.00352235385625438,0.586350417969468," CD163"
"ENSG00000124491 - F13A1",52.2148852798928,1.62775719108039,0.592765235227958,2.74604024383179,0.00603193639405592,0.586350417969468," F13A1"
"ENSG00000141527 - CARD14",4.10828892953066,1.61697589161113,0.575311186956162,2.81061089767117,0.00494475450684492,0.586350417969468," CARD14"
"ENSG00000160229 - ZNF66",25.6144401841237,1.61289005268141,0.499990486513333,3.2258414833627,0.00125602900765965,0.508035681745256," ZNF66"
"ENSG00000229344 - MTCO2P12",94.2062736502736,1.6090082024446,0.512991333266353,3.13652121995827,0.00170965064396342,0.54427166398514," MTCO2P12"
"ENSG00000110079 - MS4A4A",12.8061666208046,1.60180361873352,0.710345102646878,2.25496538621144,0.0241355015184155,0.710386988298765," MS4A4A"
"ENSG00000278196 - IGLV2-8",308.963653138376,1.59658422521605,0.742298073757405,2.15086672276324,0.0314867207856196,0.72704250290248," IGLV2-8"
"ENSG00000196126 - HLA-DRB1",347.916471388844,1.59261761379857,1.53637410529906,1.03660795134826,0.299918606107211,0.894262558169569," HLA-DRB1"
"ENSG00000198563 - DDX39B",107.252795015896,1.58546268835297,1.32702975424321,1.19474539533376,0.232186520428781,0.863303146582006," DDX39B"
"ENSG00000171631 - P2RY6",13.1428189284503,1.58527543064167,0.516513600550967,3.06918429437414,0.00214644135376627,0.570850911349986," P2RY6"
"ENSG00000211659 - IGLV3-25",122.280326808943,1.58231127276072,0.709874202684405,2.22900235954085,0.0258137477908499,0.71491228062252," IGLV3-25"
"ENSG00000211959 - IGHV4-39",138.773333980341,1.57485671151926,0.909523671364523,1.73151811338408,0.0833593970928236,0.786987066737861," IGHV4-39"
"ENSG00000131203 - IDO1",27.6892136032474,1.56755690636966,0.664569831724336,2.35875423701129,0.0183363947941519,0.709676848647844," IDO1"
"ENSG00000196735 - HLA-DQA1",156.004349628273,1.56613138078464,1.22365122217432,1.27988380381933,0.2005860045475,0.854009836951059," HLA-DQA1"
"ENSG00000203747 - FCGR3A",25.7277450024362,1.56189728892379,0.630548385831467,2.47704589214705,0.0132474867044171,0.704544621582726," FCGR3A"
"ENSG00000134201 - GSTM5",6.67455016583876,1.55295331226747,0.777280491749081,1.99793167170956,0.0457240684059417,0.747170761311495," GSTM5"
"ENSG00000147614 - ATP6V0D2",19.6345968063748,1.55108568736342,0.539605100956371,2.87448299620287,0.00404689560376961,0.586350417969468," ATP6V0D2"
"ENSG00000111341 - MGP",41.3644416064209,1.54977288685188,0.545723066797328,2.83985226416578,0.00451344313260266,0.586350417969468," MGP"
"ENSG00000173369 - C1QB",147.027466501192,1.54060295154853,0.512691195543854,3.00493350566375,0.00265638915621751,0.585485172603925," C1QB"
"ENSG00000205502 - C2CD4B",9.74286246502997,1.5321831127604,0.558512989627058,2.74332583344838,0.00608203024177573,0.586350417969468," C2CD4B"
"ENSG00000171860 - C3AR1",19.148972440084,1.52343247778436,0.528540753426039,2.88233682627,0.0039473752522654,0.586350417969468," C3AR1"
"ENSG00000187474 - FPR3",25.1731058597399,1.52151812351432,0.583443711284428,2.60782333254524,0.00911199691304068,0.633265966377864," FPR3"
"ENSG00000163734 - CXCL3",6.90906854004294,1.51668999846324,0.553693863083412,2.73922125489543,0.00615849127552686,0.586350417969468," CXCL3"
"ENSG00000211966 - IGHV5-51",107.842080118566,1.50822706874128,0.760880729564316,1.98221220506517,0.0474554952337569,0.754813560237411," IGHV5-51"
"ENSG00000211973 - IGHV1-69",9.80091632158992,1.50273454958828,1.17542742733572,1.27845795890135,0.201087999202028,0.854009836951059," IGHV1-69"
"ENSG00000161544 - CYGB",37.4188084181833,1.50269771976631,0.492220933836136,3.05289274890242,0.00226646927122251,0.570850911349986," CYGB"
"ENSG00000251546 - IGKV1D-39",296.964625510646,1.49932935058811,0.957142234287885,1.56646451998183,0.117239908492032,0.809793147633203," IGKV1D-39"
"ENSG00000100003 - SEC14L2",6.45382792781707,1.49731397969656,0.671241188040194,2.23066463497007,0.0257033518820511,0.713334811379419," SEC14L2"
"ENSG00000169248 - CXCL11",9.25396087193356,1.49543095812036,0.624981442433329,2.39276057909493,0.0167221490576482,0.709676848647844," CXCL11"
"ENSG00000262902 - MTCO1P40",10.0259955828948,1.48717207214648,0.532456696408588,2.79303853661233,0.00522154709870878,0.586350417969468," MTCO1P40"
"ENSG00000184347 - SLIT3",12.2634051957038,1.47565407619507,0.651599796217433,2.26466319474209,0.023533355699116,0.710386988298765," SLIT3"
"ENSG00000158714 - SLAMF8",28.5485173926259,1.46906197272744,0.502344724011098,2.924410076406,0.0034510977523105,0.586350417969468," SLAMF8"
"ENSG00000159189 - C1QC",202.421777468539,1.45839524069531,0.507589709763036,2.87317731751525,0.00406365966746259,0.586350417969468," C1QC"
"ENSG00000242766 - IGKV1D-17",4.55902917817637,1.45812385973768,1.14611658340439,1.27222996408141,0.203291424211056,0.854009836951059," IGKV1D-17"
"ENSG00000181631 - P2RY13",7.76206954391761,1.4580759143002,0.628977026533887,2.31817038268511,0.0204400629830271,0.710386988298765," P2RY13"
"ENSG00000163762 - TM4SF18",8.61023286365252,1.44517837562028,0.62425587755058,2.31504168016934,0.0206106511620126,0.710386988298765," TM4SF18"
"ENSG00000012779 - ALOX5",26.5500411833874,1.44350414984786,2.29950619218848,0.627745276247352,0.530170820198729,0.95336786367938," ALOX5"
"ENSG00000146070 - PLA2G7",22.62781931907,1.44045798059254,0.564073579999591,2.55367035732037,0.0106594119822984,0.659177620610764," PLA2G7"
"ENSG00000198502 - HLA-DRB5",214.622383709392,1.43221545724204,1.53447972422479,0.933355739167938,0.350636324927218,0.913551230888512," HLA-DRB5"
"ENSG00000104921 - FCER2",22.4696051342978,1.43040754615528,0.922410795691157,1.55072723870658,0.120967063979988,0.81217647116289," FCER2"
"ENSG00000064300 - NGFR",11.2860491929601,1.42047928182038,0.741879807879014,1.91470271428662,0.0555304272433026,0.765456781921167," NGFR"
"ENSG00000282608 - ADORA3",8.79871890929918,1.42031647532686,0.606459825993407,2.34197949221174,0.0191817688849976,0.709676848647844," ADORA3"
"ENSG00000204136 - GGTA1",40.4851514030545,1.41217404788021,0.545057008178893,2.59087403095407,0.0095732526692922,0.638966749411908," GGTA1"
"ENSG00000173372 - C1QA",194.193745455247,1.41210608119846,0.495661230519352,2.84893389728881,0.00438659934254532,0.586350417969468," C1QA"
"ENSG00000234127 - TRIM26",36.4382883557488,1.40375386589062,2.03585187269409,0.689516700462595,0.490498167367867,0.946876352905666," TRIM26"
"ENSG00000075618 - FSCN1",106.222841483392,1.39623698048566,0.544490688094852,2.56429909824726,0.0103384411145196,0.652785381220596," FSCN1"
"ENSG00000088881 - EBF4",7.40883733445233,1.39615848565003,0.480878816467809,2.90334786611149,0.00369196296684701,0.586350417969468," EBF4"
"ENSG00000143226 - FCGR2A",34.6387443907302,1.39397901234949,0.556545073568186,2.5047010180366,0.0122554941767966,0.684193217474442," FCGR2A"
"ENSG00000143147 - GPR161",15.404377367276,1.38679027972947,0.681849930016254,2.03386437202745,0.0419652720233683,0.740551857280564," GPR161"
"ENSG00000090659 - CD209",27.4684698198046,1.38408994791948,0.59502613628404,2.32609941567134,0.020013247723682,0.709676848647844," CD209"
"ENSG00000183134 - PTGDR2",7.83598182779757,1.37666376534553,0.560389074517086,2.4566213510352,0.0140250425190508,0.709676848647844," PTGDR2"
