,Prox.HighVLow.ES,Prox.MedVLow.ES,Prox.MedVHigh.ES,Prox.HighVLow.Sign,Prox.MedVLow.Sign,Prox.MedVHigh.Sign,Prox.HighVLow.Padj,Prox.HighVLow.qval,Prox.MedVLow.Padj,Prox.MedVLow.qval,Prox.MedVHigh.Padj,Prox.MedVHigh.qval
GOBP_SISTER_CHROMATID_SEGREGATION,0.55115595,0.599509022,-0.680163374,Enriched in High,Enriched in Med,Enriched in High,1.28E-07,1.10E-07,8.03E-15,7.02E-15,6.68E-18,5.14E-18
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,0.555133888,0.859238166,-0.696949405,Enriched in High,Enriched in Med,Enriched in High,1.59E-06,1.36E-06,1.67E-14,1.46E-14,1.13E-16,8.67E-17
REACTOME_COMPLEMENT_CASCADE,0.720287257,0.692227801,-0.610980779,Enriched in High,Enriched in Med,Enriched in High,5.00E-06,4.28E-06,1.11E-11,9.68E-12,1.66E-13,1.27E-13
GOCC_CHROMOSOME_CENTROMERIC_REGION,0.496489442,0.725033213,-0.630300001,Enriched in High,Enriched in Med,Enriched in High,3.91E-05,3.34E-05,2.48E-09,2.17E-09,1.54E-10,1.18E-10
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION,0.518457139,0.608420961,-0.599609163,Enriched in High,Enriched in Med,Enriched in High,0.000198918,0.000170075,1.53E-08,1.34E-08,4.48E-08,3.45E-08
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.365490911,0.633520157,0.645674073,Enriched in High,Enriched in Med,Enriched in Med,0.001073931,0.000918211,3.95E-06,3.45E-06,3.10E-07,2.38E-07
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,0.525926806,0.512258089,-0.705200394,Enriched in High,Enriched in Med,Enriched in High,0.002652673,0.002268035,5.03E-05,4.40E-05,3.66E-07,2.81E-07
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,0.569291406,0.486760436,0.62972337,Enriched in High,Enriched in Med,Enriched in Med,0.003157226,0.002699428,0.00024004,0.000209933,1.99E-06,1.53E-06
REACTOME_DNA_REPLICATION,0.45761344,0.479033516,0.634576838,Enriched in High,Enriched in Med,Enriched in Med,0.003248515,0.00277748,0.00052637,0.00046035,4.30E-06,3.31E-06
GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX,-0.490721377,0.791628164,0.589893023,Enriched in Low,Enriched in Med,Enriched in Med,0.004802861,0.004106445,0.000647458,0.00056625,1.12E-05,8.61E-06
GOMF_PEPTIDE_BINDING,-0.542450381,0.494298328,0.609400085,Enriched in Low,Enriched in Med,Enriched in Med,0.007952127,0.006799067,0.000660872,0.000577982,1.78E-05,1.37E-05
GOBP_PHAGOCYTOSIS,0.395242401,0.455060828,0.598105083,Enriched in High,Enriched in Med,Enriched in Med,0.011164559,0.009545696,0.001037161,0.000907075,4.00E-05,3.08E-05
GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,-0.480148677,0.465115773,0.58709876,Enriched in Low,Enriched in Med,Enriched in Med,0.012176074,0.010410541,0.001791516,0.001566814,0.000105182,8.09E-05
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,-0.543610988,0.789207902,0.619884124,Enriched in Low,Enriched in Med,Enriched in Med,0.015348496,0.013122962,0.002561113,0.002239884,0.000128763,9.91E-05
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,-0.522905848,0.445716804,0.662976226,Enriched in Low,Enriched in Med,Enriched in Med,0.015529277,0.01327753,0.002820979,0.002467157,0.00013154,0.000101205
BIOCARTA_INFLAM_PATHWAY,-0.902726856,0.47276673,0.633796812,Enriched in Low,Enriched in Med,Enriched in Med,0.016348022,0.013977556,0.007382768,0.00645678,0.000519341,0.000399572
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.435956619,-0.384697521,0.645611785,Enriched in High,Enriched in Low,Enriched in Med,0.019050901,0.016288517,0.007856927,0.006871468,0.000535273,0.000411831
GOBP_HUMORAL_IMMUNE_RESPONSE,0.427872005,0.480846881,0.619032909,Enriched in High,Enriched in Med,Enriched in Med,0.020822301,0.017803064,0.008383534,0.007332025,0.000760839,0.000585377
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,-0.49212604,-0.380028811,0.900767003,Enriched in Low,Enriched in Low,Enriched in Med,0.024034131,0.020549178,0.012413783,0.010856778,0.000932297,0.000717295
GOBP_REGULATION_OF_CELL_CELL_ADHESION,-0.464236483,0.483466666,0.877742822,Enriched in Low,Enriched in Med,Enriched in Med,0.025891966,0.022137627,0.017459831,0.015269923,0.007493341,0.005765257
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,-0.446768905,-0.339721408,0.679383003,Enriched in Low,Enriched in Low,Enriched in Med,0.025891966,0.022137627,0.018560478,0.016232521,0.00937604,0.007213776
GOBP_T_CELL_ACTIVATION,-0.442042602,0.872236898,0.568037304,Enriched in Low,Enriched in Med,Enriched in Med,0.027296304,0.023338335,0.01953896,0.017088276,0.020897236,0.016078
GOCC_LUMENAL_SIDE_OF_MEMBRANE,-0.742085245,0.455095813,0.616658646,Enriched in Low,Enriched in Med,Enriched in Med,0.042373055,0.036228955,0.022868157,0.019999907,0.027270165,0.02098123
GOBP_REGULATION_OF_T_CELL_ACTIVATION,-0.476974882,-0.344476062,0.601801213,Enriched in Low,Enriched in Low,Enriched in Med,0.043951268,0.037578328,0.029293207,0.025619092,0.031638139,0.02434188
GOBP_MUSCLE_CELL_DIFFERENTIATION,-0.487572523,-0.424986024,0.713632566,Enriched in Low,Enriched in Low,Enriched in Med,0.045312606,0.038742271,0.04453167,0.038946263,0.033858064,0.026049855
GOMF_PEPTIDE_ANTIGEN_BINDING,-0.848268502,-0.358360993,0.882649786,Enriched in Low,Enriched in Low,Enriched in Med,0.049730393,0.042519478,0.04565316,0.039927089,0.038863423,0.029900899
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
