"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbols"
"ENSG00000141854 - MISP3",4.6263488000655,6.50713840116143,3.65195661040715,1.7818224845875,0.0747781843985159,0.414579675215238," MISP3"
"ENSG00000204389 - HSPA1A",173.045463156185,4.15385266752891,1.29024887975295,3.219419704766,0.00128450328697205,0.236047815419537," HSPA1A"
"ENSG00000204469 - PRRC2A",110.969002228323,3.42884008061856,1.0988801673166,3.12030390810637,0.0018066454017079,0.264837481184054," PRRC2A"
"ENSG00000054938 - CHRDL2",7.22039308243417,3.36018057906849,0.98645253611611,3.40632768029397,0.000658431006767966,0.212229157065209," CHRDL2"
"ENSG00000244921 - MTCYBP18",2.12284910036321,3.11894212648604,2.3762585819323,1.31254323506738,0.189336908181528,0.527519800506602," MTCYBP18"
"ENSG00000012779 - ALOX5",22.3223123556633,2.8561011403244,3.22913908849763,0.884477584288022,0.376438457664159,0.673558623634532," ALOX5"
"ENSG00000204525 - HLA-C",3569.60597232176,2.71871575432223,1.15470908271822,2.35445948681922,0.018549665625429,0.344962781575663," HLA-C"
"ENSG00000170054 - SERPINA9",4.81255516429426,2.57961572492782,1.13215520135145,2.2785000871334,0.0226967993142879,0.352483128247713," SERPINA9"
"ENSG00000099866 - MADCAM1",66.156772645873,2.47314627776302,0.575523717992387,4.29721000272613,1.72961318550873e-05,0.119862193755755," MADCAM1"
"ENSG00000225968 - ELFN1",3.68147430732423,2.40925372753157,0.720315721534119,3.34471906624553,0.000823659542793345,0.236047815419537," ELFN1"
"ENSG00000133048 - CHI3L1",6.14237732961534,2.38289388766926,1.14636369309498,2.07865435901574,0.0376491308107298,0.368573922923257," CHI3L1"
"ENSG00000170476 - MZB1",114.869868281155,2.32365741095698,0.590129776420122,3.93753629083568,8.23224846323542e-05,0.18064924883035," MZB1"
"ENSG00000104415 - CCN4",4.24594838988664,2.29857136252681,1.03813078493187,2.21414430232666,0.0268188538878133,0.357069466748408," CCN4"
