"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",368,0.644839885137719,2.01506693751891,3.94599060299545e-30,3.32370788490307e-26,2.71027249311003e-26,2093,"tags=47%, list=15%, signal=41%","ELFN1/CHI3L1/CCN4/LRRC15/TNC/ADAMTS1/BGN/MMP9/LAMA2/DPT/COL14A1/NID1/FLRT2/PKHD1L1/ALPL/CLU/COL15A1/ADAMTS7/COL1A1/FN1/BMP7/THBS2/ANGPTL2/ADAMTS8/VCAN/SCARA3/TGM2/LAMA5/PCOLCE/HAPLN3/MFGE8/COL6A3/COL1A2/COL3A1/SERPINA3/LTBP2/ANGPT2/OLFML2B/MXRA5/SERPINA5/SSC5D/LOXL1/AEBP1/LUM/LOXL2/COL6A1/LAMC1/CLEC14A/VWF/COL8A2/PAPLN/A2M/MMP19/S100A9/ADAMTSL4/CSPG4/LRRN1/SERPING1/COL18A1/COL4A1/CD248/PRELP/MMP2/ADAM19/ITIH5/RELN/FBLN7/ABI3BP/ANGPTL4/FBLN5/SPARC/SERPINF1/ELN/MFAP2/CD180/EMID1/COL5A1/HAPLN1/MMP12/EFEMP1/CTSG/NTN1/APOE/GP1BA/OLFML2A/MGP/COL6A2/FBN1/SPOCK2/FBN2/MMRN2/MMP1/TIMP3/ECM1/EMILIN1/FBLN1/CXCL12/KRT1/PDGFB/CCDC80/COL4A6/COLEC12/MFAP4/CFP/COL8A1/ADAMTS10/MUC5B/ICAM1/ANXA6/COL2A1/LAMA4/PODN/EGFLAM/EFEMP2/SPARCL1/MMRN1/CLEC3B/FBLN2/ADAMDEC1/COL5A2/CCN1/GPC6/COL27A1/TGFB1I1/CCBE1/SDC3/COL12A1/C1QA/TNXB/PXDN/TIMP1/BCAM/L1CAM/LAMC3/NAV2/EGFL7/SERPINF2/HTRA1/AGT/TPSAB1/SERPINE1/MUC4/WNT2B/POSTN/MFAP5/WNT5A/DCN/SULF1/ADAMTS15/SFRP2/TIMP4/LRRC32/ANGPTL1/MMP25/CRISPLD2/TRIL/LOX/C1QB/C1QC/TGFBI/COL4A4/S100A4/COL7A1/CCN3/GPC1/WNT5B/COL16A1/HPSE2/SDC2/COLQ/ASPN/OGN/CTSH/SFRP1"
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",292,0.647894485453761,2.0125586937146,4.34775004496667e-24,1.83105493143771e-20,1.49310889702145e-20,2665,"tags=55%, list=19%, signal=45%","LRRC15/TNC/ADAMTS1/BGN/MMP9/LAMA2/DPT/COL14A1/NID1/CLU/COL15A1/COL1A1/FN1/BMP7/THBS2/ANGPTL2/ADAMTS8/VCAN/SCARA3/TGM2/LAMA5/PCOLCE/MFGE8/COL6A3/COL1A2/COL3A1/SERPINA3/LTBP2/ANGPT2/MXRA5/SERPINA5/SSC5D/LOXL1/AEBP1/LUM/LOXL2/COL6A1/LAMC1/CLEC14A/VWF/COL8A2/A2M/S100A9/ADAMTSL4/CSPG4/SERPING1/COL18A1/COL4A1/PRELP/MMP2/ADAM19/ITIH5/ABI3BP/ANGPTL4/FBLN5/SPARC/SERPINF1/ELN/MFAP2/COL5A1/HAPLN1/EFEMP1/CTSG/NTN1/APOE/MGP/COL6A2/FBN1/FBN2/MMRN2/TIMP3/ECM1/EMILIN1/FBLN1/CXCL12/KRT1/PDGFB/CCDC80/COL4A6/MFAP4/CFP/COL8A1/ADAMTS10/ICAM1/ANXA6/COL2A1/LAMA4/PODN/EGFLAM/EFEMP2/SPARCL1/MMRN1/CLEC3B/FBLN2/ADAMDEC1/COL5A2/CCN1/GPC6/COL27A1/TGFB1I1/SDC3/COL12A1/C1QA/TNXB/PXDN/TIMP1/BCAM/L1CAM/LAMC3/NAV2/EGFL7/SERPINF2/HTRA1/AGT/TPSAB1/SERPINE1/WNT2B/POSTN/MFAP5/WNT5A/DCN/SULF1/ADAMTS15/SFRP2/ANGPTL1/C1QB/C1QC/TGFBI/COL4A4/S100A4/COL7A1/CCN3/GPC1/WNT5B/COL16A1/SDC2/COLQ/ASPN/OGN/CTSH/SFRP1/SMOC1/NCAM1/MUC2/MST1/F12/LAMB2/CILP/FGFBP3/ANXA1/ZP3/SOD3/LTBP4/LAMB1/FMOD/ADAMTS9/ANGPT1/COCH/SERPINB9/SRPX"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",231,0.643193104984073,1.98555590091882,7.65241257214717e-19,2.14854236983985e-15,1.75199972046527e-15,2042,"tags=48%, list=15%, signal=42%","MADCAM1/TNC/ADAMTS1/BGN/MMP9/LAMA2/COL14A1/NID1/ADAM12/ITGA8/P3H3/COL15A1/COL1A1/FN1/BMP7/SPP1/MUSK/ADAMTS8/VCAN/ITGAX/LAMA5/PCOLCE/COL6A3/COL1A2/ITGA5/PTPRS/COL3A1/LTBP2/FGF2/LOXL1/LUM/LOXL2/COL6A1/LAMC1/VWF/COL8A2/KDR/A2M/MMP19/COL18A1/ITGA11/COL4A1/MMP2/ADAM19/ITGB2/FBLN5/SPARC/ELN/MFAP2/VCAM1/COL5A1/HAPLN1/MMP12/EFEMP1/CTSG/COL6A2/FBN1/FBN2/MMP1/EMILIN1/FBLN1/PDGFB/COL4A6/PECAM1/CTSK/MFAP4/COL8A1/NRXN1/ICAM1/TLL1/COL2A1/LAMA4/EFEMP2/FBLN2/JAM3/ITGA4/COL5A2/COL27A1/LOXL4/LOXL3/SDC3/COL12A1/TNXB/PXDN/CAPN6/TIMP1/LAMC3/BMP4/DDR2/ITGA9/HTRA1/TPSAB1/SERPINE1/KLKB1/MFAP5/ITGAL/ADAM8/DCN/ICAM2/ITGB3/MMP25/JAM2/LOX/COL4A4/ACTN1/COL7A1/COL16A1/SDC2/ITGAM/CD44/ASPN"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT","GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT","GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",120,0.714946582044962,2.14752537603041,3.31255772566859e-17,6.44200476174628e-14,5.25304536705818e-14,1488,"tags=54%, list=11%, signal=49%","CHI3L1/TNC/BGN/LAMA2/DPT/COL14A1/NID1/COL15A1/COL1A1/FN1/THBS2/VCAN/LAMA5/PCOLCE/MFGE8/COL6A3/COL1A2/COL3A1/LTBP2/MXRA5/AEBP1/LUM/COL6A1/LAMC1/VWF/COL8A2/COL18A1/COL4A1/PRELP/ABI3BP/FBLN5/SPARC/CD4/ELN/MFAP2/COL5A1/HAPLN1/EFEMP1/MGP/COL6A2/FBN1/FBN2/MMRN2/ECM1/EMILIN1/FBLN1/COL4A6/MFAP4/COL8A1/COL2A1/LAMA4/PODN/EFEMP2/MMRN1/FBLN2/COL5A2/CCN1/COL27A1/COL12A1/TNXB/PXDN/MUC4/POSTN/MFAP5/DCN"
"GOBP_TAXIS","GOBP_TAXIS","GOBP_TAXIS",446,0.553592716192263,1.7392939853364,3.82405601433354e-17,6.44200476174628e-14,5.25304536705818e-14,2473,"tags=40%, list=18%, signal=34%","ALOX5/CCL21/GDNF/XCR1/LAMA2/FLRT2/NOTCH3/CCR7/EGR3/SCN1B/NGFR/BMP7/LEF1/CCL19/LAMA5/RIPOR2/STAP1/CHN1/CCL14/CH25H/GLI2/ANGPT2/FGF2/FOSL1/CCL22/CXCR5/CXCR4/FGFR1/KDR/PDGFRB/SEMA3A/S100A9/ADGRA2/NOD2/ADGRE2/ARHGEF25/RELN/FGF7/ITGB2/CRMP1/S1PR1/CCR4/CXCL14/PTN/VCAM1/SEMA6B/CTSG/CXCL10/NTN1/FLT1/PLXND1/EGR2/EPHB6/SLIT3/GFRA3/CSF1/PDGFRA/GPR183/CCL2/SEMA3G/SPI1/SEMA4A/EMB/ROBO4/CXCL12/CCR2/PDGFB/IL34/TRPM2/NEXN/KLF7/CCR6/BOC/SLAMF8/CXCL9/CCL13/NRXN1/SMO/C5AR1/PDE4B/GLI3/CX3CR1/PGF/SLIT2/IL16/ROBO1/RHOH/SLAMF1/CMTM7/NOVA2/JAM3/CCN1/CSF1R/EPHA3/NRXN3/NRP1/PTAFR/CMKLR1/NRP2/SEMA4D/CNR2/EDNRB/CD74/NCKAP1L/L1CAM/SEMA4C/BMP4/CXCL3/ITGA9/PRKD1/CHL1/ENPP2/C3AR1/C5/SERPINE1/DOCK2/PIK3CD/PLXNA4/CORO1A/LSP1/WNT5A/RET/ADAM8/VEGFC/PLAU/ITGB3/CNTN2/RAC2/CX3CL1/FEZ1/CYSLTR1/SEMA3E/LOX/PTPRM/NOTCH1/HOXA2/PPM1F/BST1/CDK5R1/ARTN/AIF1/CCR1/NRCAM/OR1D2/CCN3/CXCL13/SEMA3F/PTPRO/ABCC1/PLXNC1/CCL20/ARX/ANO6/EPHB2/FOLR2/EPHB4/PLXNA1/PREX1/GPNMB/HMGB2/TUBB3/PLEKHG5/NCAM1/TNFSF11/KIT/GDF7/BCL11B/LAMB2/PTGDR2/VAV1/PDGFD/MYCBP2/ANXA1/CCL24/NRG1/PIK3CG/ST6GAL1"
"GOMF_STRUCTURAL_MOLECULE_ACTIVITY","GOMF_STRUCTURAL_MOLECULE_ACTIVITY","GOMF_STRUCTURAL_MOLECULE_ACTIVITY",412,0.557724250771511,1.74848692833803,1.81208846989783e-16,2.54387019699157e-13,2.0743644326462e-13,3193,"tags=40%, list=23%, signal=32%","CHI3L1/ANK1/TNC/BGN/LAMA2/DPT/COL14A1/NID1/COL15A1/COL1A1/FN1/THBS2/MAL/VCAN/LAMA5/PCOLCE/DES/MFGE8/COL6A3/COL1A2/CRYAB/COL3A1/LTBP2/MXRA5/AEBP1/LUM/COL6A1/LAMC1/VWF/COL8A2/SEPTIN4/TPM2/COL18A1/COL4A1/HSPB6/PRELP/ABI3BP/FBLN5/SPARC/CD4/ELN/NEFM/MFAP2/CSRP2/COL5A1/HAPLN1/EFEMP1/APOE/SYNM/KRT12/MAP1A/CLDN9/MGP/COL6A2/FBN1/FBN2/TUBB6/MPZ/MMRN2/ECM1/EMILIN1/FBLN1/KRT1/NEXN/BVES/COL4A6/CRYGS/MFAP4/COL8A1/HIP1/COL2A1/MYL9/LAMA4/PODN/EFEMP2/MMRN1/TUBG2/ANK2/FBLN2/COL5A2/TUBA8/CCN1/COL27A1/MAP1B/COL12A1/TNXB/PXDN/BFSP1/DLG4/LAMC3/SMTN/DNM3/STX2/PGM5/MUC4/POSTN/CLDN5/MFAP5/VIM/DCN/SEC31B/OBSCN/PLP1/LMNB1/TGFBI/COL4A4/ACTN1/COL7A1/MSN/COL16A1/MYH11/COLQ/CRYBB3/PKP1/ASPN/HSPB2/OGN/BICD1/PNN/PLLP/SPTBN2/TUBB3/NUP188/NPHP1/TUBB/CLDN15/CROCC/KLHL3/LAMB2/NUP93/CLDN1/CILP/ZP3/EVPL/LTBP4/TUBB2B/HLA-DRB1/LAMB1/FMOD/MRPL4/NUP155/SRPX/JPH1/SHANK2/COL13A1/NUP35/MAP4/CAPN3/NDC1/PI3/HMGA1/TUBA1A/SNTB1/EIF3A/NPNT/MRPS2/COL28A1/NUP62/TUBB2A/FRAS1/MRPL37/ODF2/POM121C/COL4A2/POM121/NUP107"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",232,0.616780665628827,1.9034193670877,1.23123483382044e-15,1.48152728646708e-12,1.20809132190652e-12,1988,"tags=41%, list=14%, signal=36%","ADAMTS1/MMP9/DPT/COL14A1/NID1/FLRT2/ITGA8/COL15A1/ADAMTS7/COL1A1/ADAMTS8/ENG/PDPN/COL1A2/COL3A1/OLFML2B/LOXL1/AEBP1/LUM/LOXL2/LAMC1/FOXF1/COL8A2/PAPLN/MMP19/ADAMTSL4/FSCN1/COL18A1/COL4A1/MMP2/ABI3BP/FBLN5/ELN/COL5A1/MMP12/CTSG/OLFML2A/SPOCK2/PDGFRA/MMP1/EMILIN1/FBLN1/RGCC/CCDC80/COL4A6/CTSK/MFAP4/COL8A1/ADAMTS10/TLL1/WDR72/COL2A1/GPM6B/EGFLAM/EFEMP2/FBLN2/COL5A2/CCN1/COL27A1/LOXL4/RAMP2/LOXL3/FKBP10/COL12A1/TNXB/CARMIL2/PXDN/CAV1/SERPINF2/DDR2/AGT/TPSAB1/FOXF2/POSTN/ADAM8/SULF1/ADAMTS15/SFRP2/MMP25/SCX/CRISPLD2/HAS2/LOX/RECK/NOTCH1/CAV2/TGFBI/COL4A4/SH3PXD2B/ANTXR1/LCP1/COL16A1/HPSE2/MYH11/COLQ"
"GOBP_POSITIVE_REGULATION_OF_LOCOMOTION","GOBP_POSITIVE_REGULATION_OF_LOCOMOTION","GOBP_POSITIVE_REGULATION_OF_LOCOMOTION",469,0.53213579131581,1.67610843521637,2.09190150862824e-14,2.20251080089696e-11,1.79600754523675e-11,2613,"tags=36%, list=19%, signal=30%","MADCAM1/CCN4/CCL21/LRRC15/ADAMTS1/MMP9/SELP/CCR7/LYVE1/COL1A1/FN1/BMP7/LEF1/CCL19/ITGAX/RIPOR2/PDPN/MCAM/ITGA5/NOS3/FGF2/FOXF1/CXCR4/FGFR1/ACTA2/KDR/PDGFRB/SEMA3A/ADGRA2/MMP2/RELN/FGF7/THY1/SPARC/S1PR1/CCR4/PTN/SEMA6B/CXCL10/NTN1/FLT1/CAVIN1/SPOCK2/CSF1/PDGFRA/RHOJ/SEMA3G/SPI1/SEMA4A/CXCL12/CCR2/PDGFB/PLVAP/IL34/BVES/CCR6/PECAM1/F2R/TEK/RIPOR1/FAM107A/ICAM1/FERMT2/SMO/C5AR1/SYDE1/CDH5/CX3CR1/PGF/SLIT2/IL16/CEMIP/SLAMF1/JAM3/ITGA4/CD40/CCN1/ARHGEF39/CSF1R/IL1A/NRP1/CCBE1/PTAFR/CMKLR1/NRP2/FLT4/PAK3/SEMA4D/GATA2/SNAI2/CARMIL2/GCNT2/WDR62/CD74/NCKAP1L/PODXL/PTPRC/SEMA4C/CAV1/BMP4/DDR2/HDAC7/PRKD1/ENPP2/C3AR1/AGT/SERPINE1/PIK3CD/JCAD/CORO1A/WNT5A/RET/ADAM8/VEGFC/PLAU/MYC/ITGB3/RAC2/CX3CL1/PLP1/KIF20B/JAM2/HAS2/SEMA3E/ATOH8/AKT3/AKAP12/SLC8A1/NOTCH1/PPM1F/ARTN/AIF1/CCR1/MYADM/CXCL13/SEMA3F/WNT5B/TF/CCL20/ANO6/BCL2/EPHB2/ATM/CTSH/GPNMB/IL1R1/FERMT3/FBXO5/CLEC7A/KIT/TMSB15B/PLCG2/FZD4/CLDN1/PDGFD/RHOD/SRGAP2C/GLIPR2/ANXA1/ZP3/CCL24/PIK3CG/SASH1/EGF/LAMB1/DOCK8/ACKR3/F10/GATA3/ANGPT1"
"GOMF_GLYCOSAMINOGLYCAN_BINDING","GOMF_GLYCOSAMINOGLYCAN_BINDING","GOMF_GLYCOSAMINOGLYCAN_BINDING",152,0.643504115505753,1.94966782656186,1.4955332273867e-12,1.39965293047535e-09,1.14132798932143e-09,2167,"tags=51%, list=16%, signal=43%","CCN4/ADAMTS1/BGN/SELL/PLA2G2D/SELP/LYVE1/FN1/BMP7/THBS2/ADAMTS8/VCAN/PCOLCE/ENG/HAPLN3/PTPRS/LTBP2/ADA2/FGF2/SERPINA5/JCHAIN/FGFR1/CHODL/NOD2/ADGRE2/PRELP/FBLN7/FGF7/PTN/COL5A1/HAPLN1/CTSG/CXCL10/APOE/FBN1/SLIT3/SPOCK2/RSPO3/CCDC80/CFH/ANXA6/PGF/SLIT2/EGFLAM/CEMIP/EFEMP2/CLEC3B/FSTL1/CCN1/NRP1/NRP2/TNXB/STAB1/NLRP3/PTPRC/NAV2/BMP4/POSTN/DCN/SULF1/ADAMTS15/DPYSL3/TLR2/CRISPLD2/HMMR/CCN3/CXCL13/LIPG/LTF/RSPO2/COLQ/CD44/SFRP1/GREM2/GPNMB/PRNP/SMOC1"
"GOBP_B_CELL_ACTIVATION","GOBP_B_CELL_ACTIVATION","GOBP_B_CELL_ACTIVATION",215,0.589746148736272,1.81641200319439,2.2314981186449e-12,1.8795908653346e-09,1.53268686570084e-09,2290,"tags=40%, list=17%, signal=34%","MZB1/AICDA/CTLA4/CD79A/CD27/CD40LG/POU2AF1/LEF1/FCRL3/CR2/CD22/CR1/CD19/LYL1/CXCR5/LAX1/CD28/NOD2/MS4A1/TNFRSF13C/CD79B/CD38/BANK1/FCGR2B/FOXP3/CD180/VCAM1/JAK3/TNFRSF13B/BLK/BST2/GPR183/SPI1/EXO1/CCR6/NKX2-3/TNFRSF4/SLAMF8/TNFSF13B/MNDA/THEMIS2/BATF/GAPT/CD86/MFNG/IL4I1/CMTM7/IL7R/HHEX/ITGA4/BTK/CD40/FCRL1/TLR9/CARD11/LAPTM5/CD74/NCKAP1L/PTPRC/PIK3CD/CTPS1/DOCK11/ST3GAL1/DLL1/TBC1D10C/ATAD5/BST1/LAT2/IKZF3/PRKDC/EZH2/BCL2/EPHB2/ATM/DOCK10/CD300A/SFRP1/NFAM1/SASH3/MAD2L2/CD81/ADA/KIT/NFATC2/PLCG2"
