"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbols"
"ENSG00000161021 - MAML1",14.5581258933822,22.6666426915662,3.59446739149339,6.30598089308271,2.86374365193827e-10,3.96914870158645e-06," MAML1"
"ENSG00000204619 - PPP1R11",25.6564045483524,10.0785925499926,3.59332211427219,2.80481187866843,0.005034595441795,0.999382013250565," PPP1R11"
"ENSG00000204287 - HLA-DRA",230.947131978393,6.8342792935012,1.58280552445643,4.31782628244759,1.57573369904204e-05,0.0727988968957421," HLA-DRA"
"ENSG00000198502 - HLA-DRB5",159.192679885776,5.71904729507394,1.54270856006807,3.70714692528937,0.000209607348418997,0.484192974847882," HLA-DRB5"
"ENSG00000278599 - TBC1D3E",3.50194092514177,3.0948123659265,2.36563705050639,1.30823634389055,0.190793158476071,0.999382013250565," TBC1D3E"
"ENSG00000288702 - UGT1A3",8.67027671673006,2.30832086323826,0.880240896657413,2.62237402511492,0.0087319542661611,0.999382013250565," UGT1A3"
"ENSG00000206172 - HBA1",8.89642230620566,2.10395598507234,1.00758868285287,2.08810998066713,0.0367879149465578,0.999382013250565," HBA1"
"ENSG00000167613 - LAIR1",9.68699903437994,1.9897502412543,0.88599676682443,2.24577596189873,0.0247183617587037,0.999382013250565," LAIR1"
"ENSG00000277258 - PCGF2",52.0436988607679,1.86195242279707,2.4779140826434,0.751419282790776,0.452400361479093,0.999382013250565," PCGF2"
"ENSG00000104921 - FCER2",86.6831689930576,1.82586793104624,1.09532904482944,1.66695838083117,0.095522680872009,0.999382013250565," FCER2"
"ENSG00000172061 - LRRC15",4.75031994244126,1.758189842075,0.971155142451234,1.81041088619194,0.0702320923595057,0.999382013250565," LRRC15"
"ENSG00000104332 - SFRP1",29.3909559254977,1.75181913530178,0.550445637841819,3.18254703983174,0.00145985799893377,0.999382013250565," SFRP1"
"ENSG00000100721 - TCL1A",133.055224728029,1.74313745265242,1.23997988112408,1.40577881882423,0.159789813562375,0.999382013250565," TCL1A"
"ENSG00000100003 - SEC14L2",29.3824304243442,1.74067715950271,0.571213043063822,3.04733440638229,0.002308806980138,0.999382013250565," SEC14L2"
"ENSG00000112139 - MDGA1",10.3974123592816,1.73468735977328,0.703973211754355,2.46413830925514,0.0137343102128675,0.999382013250565," MDGA1"
"ENSG00000132967 - HMGB1P5",73.0912033872837,1.69497086297009,0.745044346424297,2.27499325524016,0.0229063344427731,0.999382013250565," HMGB1P5"
"ENSG00000240053 - LY6G5B",4.97182882348824,1.69475724312701,0.893338229308174,1.8971059197136,0.0578139600872429,0.999382013250565," LY6G5B"
"ENSG00000112195 - TREML2",14.479844657778,1.68158870551193,1.20350943892315,1.39723765441885,0.16234211698728,0.999382013250565," TREML2"
"ENSG00000187045 - TMPRSS6",23.1340582145794,1.68041302507623,0.43013636432217,3.90669835070631,9.35658404747585e-05,0.324205637245038," TMPRSS6"
"ENSG00000204525 - HLA-C",3569.60597232176,1.67179349311339,1.13456198940248,1.47351445644133,0.140612368675709,0.999382013250565," HLA-C"
"ENSG00000189431 - RASSF10",17.2523956116612,1.60797111835429,0.482471995682075,3.33277606316007,0.000859841195976591,0.999382013250565," RASSF10"
"ENSG00000204614 - TRIM40",13.2848466024413,1.58931942081659,2.37450837872584,0.669325673918833,0.503287752809974,0.999382013250565," TRIM40"
"ENSG00000186265 - BTLA",17.8249920387755,1.54749715333825,0.781164521161495,1.981013104688,0.0475898039945811,0.999382013250565," BTLA"
"ENSG00000083454 - P2RX5",51.7238116017162,1.54277742843108,0.90750846912863,1.70001435899813,0.0891282246489987,0.999382013250565," P2RX5"
"ENSG00000121966 - CXCR4",229.202389650749,1.53297157253118,0.857829146920596,1.78703600598579,0.0739316692863707,0.999382013250565," CXCR4"
"ENSG00000261115 - TMEM178B",9.63435481079248,1.53238251973627,0.815541349081323,1.8789758746904,0.0602477874515528,0.999382013250565," TMEM178B"
"ENSG00000197705 - KLHL14",6.93304213509167,1.52455795484267,1.03294804596378,1.4759289790032,0.139962959031855,0.999382013250565," KLHL14"
"ENSG00000163534 - FCRL1",17.0878835637946,1.51130563956144,1.04617312139882,1.44460377412554,0.148569212084123,0.999382013250565," FCRL1"
"ENSG00000167641 - PPP1R14A",195.735265404895,1.50913709010974,0.57059892812535,2.6448298721273,0.00817319984818302,0.999382013250565," PPP1R14A"
"ENSG00000030304 - MUSK",5.98656720688653,1.48618653857327,0.865435632356135,1.71726987312407,0.0859298739455266,0.999382013250565," MUSK"
"ENSG00000143768 - LEFTY2",11.8249789967447,1.48197681260429,0.825485752789216,1.79527848614815,0.0726093409849938,0.999382013250565," LEFTY2"
"ENSG00000143869 - GDF7",10.7569529830064,1.47591506331916,0.680704805859902,2.16821601759475,0.0301422546745253,0.999382013250565," GDF7"
"ENSG00000237441 - RGL2",47.2641670436006,1.44901885349704,1.39772901114075,1.0366951261278,0.29987796416858,0.999382013250565," RGL2"
"ENSG00000064886 - CHI3L2",45.5866462827619,1.44779810418568,0.852850096063689,1.69759974334055,0.0895833313105094,0.999382013250565," CHI3L2"
"ENSG00000167483 - NIBAN3",33.8194027490014,1.44127384594459,0.733098113701396,1.96600403003034,0.0492981450908094,0.999382013250565," NIBAN3"
"ENSG00000188404 - SELL",253.700455971305,1.43413302316448,0.863438928265238,1.66095478929337,0.0967225271236392,0.999382013250565," SELL"
"ENSG00000141338 - ABCA8",20.540124458843,1.42649746199558,0.538716185963165,2.64795730881031,0.0080979750775815,0.999382013250565," ABCA8"
"ENSG00000135094 - SDS",15.7141465052198,1.3924421419044,0.587022629568603,2.37204167568071,0.0176900952339739,0.999382013250565," SDS"
"ENSG00000189056 - RELN",6.85101618774056,1.39213765104918,0.594241437388481,2.34271385914659,0.0191440589499603,0.999382013250565," RELN"
"ENSG00000166428 - PLD4",27.9841220055912,1.38440436029104,0.726096281925935,1.90664020013844,0.0565671956299618,0.999382013250565," PLD4"
"ENSG00000196228 - SULT1C3",4.35309149009345,1.3837497489104,1.05933320089867,1.30624599298551,0.191468916638736,0.999382013250565," SULT1C3"
"ENSG00000143147 - GPR161",77.6592314009703,1.38355283809892,0.48423694398022,2.85718150029344,0.00427421353526292,0.999382013250565," GPR161"
"ENSG00000244734 - HBB",23.5452736640867,1.37021479406222,0.699397239701751,1.95913669125507,0.0500967808587299,0.999382013250565," HBB"
"ENSG00000012223 - LTF",153.692602495138,1.36658586182981,0.805352084467415,1.69688002078438,0.0897193459983067,0.999382013250565," LTF"
"ENSG00000122986 - HVCN1",94.4949684829341,1.35154718456642,0.780127909182927,1.73246869988535,0.0831901453335618,0.999382013250565," HVCN1"
"ENSG00000198203 - SULT1C2",20.9053023858103,1.34792439114537,0.522729263591622,2.57862814468031,0.00991935012379797,0.999382013250565," SULT1C2"
"ENSG00000110848 - CD69",36.627396908949,1.34618044678915,0.54745629045615,2.45897338336817,0.013933494748727,0.999382013250565," CD69"
"ENSG00000111962 - UST",12.8521493078139,1.3406556955166,0.604512682898915,2.2177461837319,0.0265721433589028,0.999382013250565," UST"
"ENSG00000012124 - CD22",186.231448218273,1.33651781383908,0.926708348797702,1.44222053850389,0.149240168328674,0.999382013250565," CD22"
"ENSG00000134028 - ADAMDEC1",267.084688773174,1.33588438487819,0.536365495460174,2.4906232712305,0.0127519251252159,0.999382013250565," ADAMDEC1"
"ENSG00000196092 - PAX5",148.657450919032,1.32303674206092,1.01340303643841,1.30553856115402,0.191709525495986,0.999382013250565," PAX5"
"ENSG00000275302 - CCL4",10.5619567058417,1.30995476736824,0.694310440695304,1.88669893262214,0.059200831333544,0.999382013250565," CCL4"
"ENSG00000137101 - CD72",49.246983031959,1.29575965650413,0.823374735259385,1.57371801807342,0.115552654398648,0.999382013250565," CD72"
"ENSG00000176681 - LRRC37A",11.9797150221067,1.29467401167888,1.31688814336806,0.983131345056867,0.325542799040479,0.999382013250565," LRRC37A"
"ENSG00000120280 - TASL",11.551791085075,1.29151403688922,0.699590406828321,1.8461002670755,0.0648776480895552,0.999382013250565," TASL"
"ENSG00000159958 - TNFRSF13C",80.4053348448378,1.27919113077071,0.896470546382267,1.42691930697882,0.153603155062691,0.999382013250565," TNFRSF13C"
"ENSG00000145736 - GTF2H2",74.7011373599511,1.27391857155015,1.02457430422796,1.24336377195217,0.213733813979245,0.999382013250565," GTF2H2"
"ENSG00000227449 - FGF7P6",3.87802197085293,1.25951004564176,0.848907485822381,1.48368351873068,0.137892900662663,0.999382013250565," FGF7P6"
"ENSG00000101210 - EEF1A2",11.437558003621,1.25874104104104,0.551692481634266,2.28159904828193,0.0225130229636289,0.999382013250565," EEF1A2"
"ENSG00000137860 - SLC28A2",230.259894626198,1.25445395794193,0.555909809229273,2.25657820228273,0.0240344436871989,0.999382013250565," SLC28A2"
"ENSG00000044524 - EPHA3",12.5557440125655,1.24523276133963,0.694621371612855,1.79267844645825,0.0730243548347887,0.999382013250565," EPHA3"
"ENSG00000185245 - GP1BA",20.9680586408191,1.24106394322613,0.952838126766083,1.30249190115668,0.192748284738062,0.999382013250565," GP1BA"
"ENSG00000160683 - CXCR5",116.195049249757,1.23980149693862,0.888346227643488,1.39562870686966,0.162826333178906,0.999382013250565," CXCR5"
"ENSG00000183628 - DGCR6",10.7463026249361,1.23761031055383,0.573425951159134,2.15827398123872,0.0309065364074,0.999382013250565," DGCR6"
"ENSG00000173578 - XCR1",6.140368612261,1.23486095775058,0.893987504319879,1.38129554583655,0.167188107187215,0.999382013250565," XCR1"
"ENSG00000187912 - CLEC17A",22.8401194488235,1.23181391399555,0.865491577797749,1.42325349615754,0.154662682657071,0.999382013250565," CLEC17A"
"ENSG00000068615 - REEP1",26.3707032896781,1.22790589901224,0.337382143572742,3.63951063328131,0.000273156658491796,0.540850183813756," REEP1"
"ENSG00000182487 - NCF1B",32.5637564488288,1.2234855128606,0.694320166047945,1.76213449167788,0.0780465769156617,0.999382013250565," NCF1B"
"ENSG00000108379 - WNT3",5.80364714292861,1.20916043939855,0.500759688728422,2.41465211081381,0.0157502449812434,0.999382013250565," WNT3"
"ENSG00000254415 - SIGLEC14",18.0062635779714,1.20899260049277,0.914459425453052,1.32208446524984,0.186140026137199,0.999382013250565," SIGLEC14"
"ENSG00000139174 - PRICKLE1",16.0511346481542,1.20891770382937,0.628627266017321,1.92310733113517,0.0544665718445731,0.999382013250565," PRICKLE1"
"ENSG00000100033 - PRODH",18.7891353130943,1.20335019911532,0.67565227263849,1.78101998298047,0.0749091862893739,0.999382013250565," PRODH"
"ENSG00000117322 - CR2",351.200427767885,1.19960903243675,1.07790658650336,1.11290630139684,0.265748673434525,0.999382013250565," CR2"
"ENSG00000179583 - CIITA",133.018843787788,1.19940058458761,0.697326439773419,1.71999872108296,0.085432674056726,0.999382013250565," CIITA"
"ENSG00000224831 - TMEM183BP",15.5976300539022,1.1918115399095,1.06824340685168,1.11567413593687,0.264561645512256,0.999382013250565," TMEM183BP"
"ENSG00000177575 - CD163",39.2976003663442,1.18809459411767,0.589033686913928,2.01702316949367,0.0436930954673266,0.999382013250565," CD163"
"ENSG00000204396 - VWA7",51.5045987187477,1.17967298360169,1.54796148879847,0.762081610000098,0.44601129791017,0.999382013250565," VWA7"
"ENSG00000164694 - FNDC1",8.06615440806423,1.17844823472424,0.893603631480003,1.31875945129327,0.187249544248923,0.999382013250565," FNDC1"
"ENSG00000234745 - HLA-B",7921.95607899464,1.17515441571232,0.875694939382028,1.34196780506875,0.179606434746428,0.999382013250565," HLA-B"
"ENSG00000196126 - HLA-DRB1",475.806107341163,1.16982853266862,1.70734558070244,0.685173842888517,0.493234227643755,0.999382013250565," HLA-DRB1"
"ENSG00000007312 - CD79B",151.280506234282,1.16172174596003,0.933972635180914,1.24384987546772,0.213554820158741,0.999382013250565," CD79B"
"ENSG00000112473 - SLC39A7",284.334330561947,1.1612008160899,1.74212379905409,0.666543225412794,0.505063944463544,0.999382013250565," SLC39A7"
