"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",368,0.66848561920231,1.93423113469998,1e-30,8.419e-27,6.57052631578947e-27,1626,"tags=45%, list=12%, signal=41%","LRRC15/CCN4/RELN/ADAMTS1/SERPINA5/GP1BA/DPT/ABI3BP/LAMA2/COL14A1/SFRP1/EFEMP1/ADAMDEC1/THBS2/VCAN/CD180/MMP9/ANGPT2/LUM/FN1/LTBP2/ADAM19/CLU/MXRA5/NID1/FBLN7/PCOLCE/LOXL1/FLRT2/SPOCK2/MFAP4/COL1A2/TNXB/COL4A6/SERPINA3/COL1A1/BGN/FBN1/COL3A1/ADAMTS8/EMID1/ANGPTL2/COL15A1/MMP2/TNC/SCARA3/CTSG/FBLN1/HAPLN1/CCDC80/EGFLAM/SERPINF1/ITIH5/APOE/ELFN1/COL6A3/CXCL12/ANXA6/MGP/COLEC12/PKHD1L1/HAPLN3/CD248/PRELP/LAMC1/COL18A1/ADAMTS7/COL8A1/SERPING1/COL5A1/DGCR6/PAPLN/DCN/ALPL/COL8A2/SERPINE1/BMP7/SPARC/ADAMTSL4/WNT5A/GPC6/ADAMTS10/POSTN/FBN2/A2M/ELN/C1QB/MMRN1/AEBP1/CHI3L1/MFGE8/MFAP2/LAMA5/L1CAM/MFAP5/COL6A1/SULF1/COL4A1/MMP1/OGN/EMILIN1/COL6A2/LAMA4/LOXL2/CRISPLD2/CLEC14A/PDGFB/SSC5D/MMP19/S100A9/C1QA/FBLN2/LOX/COL5A2/COL4A4/TIMP3/VWF/WNT5B/OLFML2B/FBLN5/MMP11/PXDN/C1QC/CILP/CLEC3B/NCAM1/MMP12/SDC3/CFP/PODN/LAMC3/SPARCL1/TGM2/COL27A1/EFEMP2/COL12A1/LRRN1/COL13A1/ADAMTS9/NTN1/PLAT/ANGPT1/COL19A1/MMP25/MMRN2/CTSH/ICAM1/HMCN1/ANXA1/LRRC32/COL4A5/WNT3/OLFML2A/TGFB1/TRIL/SERPINB9/LTBP3/TGFB1I1/SDC2/AGT/MUC5B/BCAM/LGALS1/WNT2B/HTRA1"
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",292,0.678621064519111,1.95063459521341,7.11524534321407e-27,2.21297944788883e-23,1.72709819440015e-23,2040,"tags=50%, list=15%, signal=44%","LRRC15/ADAMTS1/SERPINA5/DPT/ABI3BP/LAMA2/COL14A1/SFRP1/EFEMP1/ADAMDEC1/THBS2/VCAN/MMP9/ANGPT2/LUM/FN1/LTBP2/ADAM19/CLU/MXRA5/NID1/PCOLCE/LOXL1/MFAP4/COL1A2/TNXB/COL4A6/SERPINA3/COL1A1/BGN/FBN1/COL3A1/ADAMTS8/ANGPTL2/COL15A1/MMP2/TNC/SCARA3/CTSG/FBLN1/HAPLN1/CCDC80/EGFLAM/SERPINF1/ITIH5/APOE/COL6A3/CXCL12/ANXA6/MGP/PRELP/LAMC1/COL18A1/COL8A1/SERPING1/COL5A1/DCN/COL8A2/SERPINE1/BMP7/SPARC/ADAMTSL4/WNT5A/GPC6/ADAMTS10/POSTN/FBN2/A2M/ELN/C1QB/MMRN1/AEBP1/MFGE8/MFAP2/LAMA5/L1CAM/MFAP5/COL6A1/SULF1/COL4A1/OGN/EMILIN1/COL6A2/LAMA4/LOXL2/CLEC14A/PDGFB/SSC5D/S100A9/C1QA/FBLN2/COL5A2/COL4A4/TIMP3/VWF/WNT5B/FBLN5/PXDN/C1QC/CILP/CLEC3B/NCAM1/SDC3/CFP/PODN/LAMC3/SPARCL1/TGM2/COL27A1/EFEMP2/COL12A1/COL13A1/ADAMTS9/NTN1/PLAT/ANGPT1/COL19A1/MMRN2/CTSH/ICAM1/HMCN1/ANXA1/COL4A5/TGFB1/SERPINB9/LTBP3/TGFB1I1/SDC2/AGT/BCAM/LGALS1/WNT2B/HTRA1/CSPG4/LAMB2/ANGPTL1/S100A4/TGFBI/COLQ/SRPX/A1BG/COL7A1/COL9A3/ECM1/COL16A1/CDON"
"GOBP_TAXIS","GOBP_TAXIS","GOBP_TAXIS",446,0.627399951559326,1.81886120495462,7.8856614130734e-27,2.21297944788883e-23,1.72709819440015e-23,2077,"tags=41%, list=15%, signal=36%","XCR1/CXCR4/CCL21/RELN/CXCR5/CCR7/RIPOR2/LAMA2/NGFR/EGR3/VCAM1/LEF1/SLIT3/EPHA3/ANGPT2/CCR4/CCL13/STAP1/CCL2/GDF7/EGR2/CCL22/FLRT2/CCR6/S1PR1/GPR183/CCL19/ITGB2/GFRA3/CNR2/RHOH/CTSG/CNTN2/PDGFRA/CHL1/CHN1/GLI3/BOC/CXCL12/PDGFRB/CCL14/IL16/SPI1/NOTCH3/EPHB6/EDNRB/FGFR1/EMB/KLF7/SMO/SLAMF1/NCKAP1L/FGF7/ADGRE2/CCR2/PTN/SCN1B/SERPINE1/BMP7/CSF1/C3AR1/DOCK2/WNT5A/FOLR2/CXCL14/NRXN1/CORO1A/ADGRA2/LAMA5/TNFSF11/L1CAM/SLAMF8/CD74/FGF2/GPNMB/PGF/NRP2/BMP4/CSF1R/PLXND1/CXCL13/PIK3CD/CMTM7/ALOX5/PTPRM/GDNF/PDGFB/S100A9/ROBO1/RAC2/SEMA6B/PDE4B/RET/LOX/GLI2/SEMA4A/ROBO4/SEMA4D/ARHGEF25/FLT1/NCAM1/SEMA3A/LSP1/VEGFC/CXCL10/SEMA3E/NOD2/SPN/TUBB3/ITGA9/PRKD1/GPR18/SLIT2/PLXNC1/JAM3/PLA2G7/TUBB2B/NRP1/CH25H/CRMP1/NTN1/CMKLR1/KDR/GATA3/CSF3R/ANGPT1/NEXN/PRKCQ/NRG1/ACKR3/FEZ1/ANO6/VAV1/SEMA3G/CNTN1/C5/TRPM2/MYCBP2/PREX1/AIF1/ANXA1/ADAM8/GPSM3/CDK5R1/FYN/IL34/DSCAML1/ENPP2/NRXN3/WNT3/PLXNA4/FPR3/CMTM3/CYSLTR1/ST6GAL1/KIF5C/TGFB1/CCR9/PPM1F/ITGB3/SEMA4C/CCR1/PTPRO/PTCH1/SEMA3F/PLEKHG5/ARX/LAMB2/C5AR1/SEMA3D/CX3CL1/FZD3/PTGDR2/NFASC/BIN2/ENAH/PIK3CG/NOTCH1/PLAU/CXCL9/BCL11B/CCL4/NOVA2/FCER1G/EPHB3"
"GOCC_SIDE_OF_MEMBRANE","GOCC_SIDE_OF_MEMBRANE","GOCC_SIDE_OF_MEMBRANE",445,0.627217008052598,1.8182152909417,1.80344559631464e-26,3.79580211884324e-23,2.96239668742e-23,2154,"tags=41%, list=16%, signal=36%","HLA-C/FCER2/XCR1/CXCR4/CD40LG/CD22/CXCR5/TNFRSF13C/SERPINA5/CCR7/CTLA4/CD79B/CD79A/GP1BA/CD19/CD83/CD28/PDCD1/MS4A1/CLEC17A/VCAM1/ANK1/IL2RA/IL21R/EBI3/CCR4/BLK/CD5/SELP/OSMR/CCR6/S1PR1/CD1C/FCGR2B/ITGB2/GFRA3/CNR2/CD4/ATP1B2/CD40/HLA-DPA1/CD27/PTPRC/CARMIL2/ITGAX/PDGFRA/GFRA1/EEF1A2/IL7R/CXCL12/CD248/SELE/ITGA4/SLAMF1/HLA-DRB1/ITGA11/THY1/CCR2/CD48/LY9/CD6/GNG13/CD163/FOLR2/THBD/SCARA5/ENG/ITGA8/GNG7/LIFR/MFGE8/KCNAB2/CD84/CD74/CD69/SHANK3/MCAM/CLEC7A/LY6G5B/ITGA5/TNFRSF4/ITGAL/HLA-DQB2/SLC7A5/CLEC14A/CD86/GNB4/FERMT2/TRAF1/RGS1/LRRK2/GNAZ/SCNN1G/CSF2RA/SLA/CTSK/ANTXR1/GFRA2/NCAM1/LILRB1/CXCL10/CSF2RB/TRBC1/TNFRSF9/SPN/CD34/RASAL3/ITGA9/PDCD1LG2/CDH5/P2RX1/CLEC2D/HEG1/BTNL9/CD209/KDR/HIP1/HLA-DPB1/CSF3R/SLAMF7/GNAO1/DLG4/CD3E/CLEC10A/ACKR3/F10/CLEC4A/PRNP/LCK/CD1E/SLAMF6/IL12RB1/ICAM1/CD226/LAG3/ANXA1/MR1/CD33/FYN/BTN2A2/CCR9/ADA/CD2/GRAMD1A/FGR/CD36/CCR1/MSR1/BCAM/PTPN7/IL1R1/CD3D/HCK/ZAP70/PLEKHA4/CD3G/PGM5/GNG2/GNA15/TIAM1/MS4A2/PPP1R9B/GNG11/CLEC2B/HLA-DQB1/GM2A/LEPR/ITGAM/GP2/CXCL9/TGFBR3/PKD2/ABCC4/HLA-DRA/MTSS2/TF/FCER1G/RGS2/TFR2/PTPN22/GEM/ESYT1/GNB5"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE",348,0.6504013055643,1.87955378322254,4.71813406157784e-26,7.94439413288477e-23,6.20012480260398e-23,2130,"tags=42%, list=15%, signal=37%","HLA-C/FCER2/AICDA/CD40LG/CR2/TNFRSF13C/BACH2/CR1/CTLA4/CD79B/CD79A/CD19/CD28/PDCD1/LEF1/IRF4/BTLA/IL21R/EBI3/CLU/C3/HLA-DOA/HLA-DMA/GAPT/CCR6/C1S/GPR183/CCL19/CD1C/FOXP3/JAK3/C7/FCGR2B/TNFRSF17/CD4/RFTN1/BTK/KLHL6/CD40/LAMP3/HLA-DPA1/CD27/PTPRC/FCAMR/SIGLEC10/WAS/IL7R/JCHAIN/EOMES/SLAMF1/BATF/HLA-DRB1/NCKAP1L/SERPING1/CCR2/C4B/CD48/LY9/CD6/C4A/TNFRSF13B/TRAT1/C1QB/SH2D1A/C2/LAT2/CD84/CD74/IL4I1/CLEC7A/FCRL4/CXCL13/TRAV13-1/PIK3CD/HLA-DQB2/CD86/C1QA/LOXL3/SASH3/MYO1G/SEMA4A/TNFSF13B/C1QC/ITK/SIT1/LILRB1/CSF2RB/TRBC1/NOD2/SPN/PDCD1LG2/JAM3/LAT/CD209/GATA3/HLA-DPB1/SLAMF7/PRKCQ/SAMSN1/CLEC10A/IL18BP/CLEC4A/CD1E/CTSH/SLAMF6/IL12RB1/C5/CAMK4/ICAM1/LAX1/CD226/LAG3/ANXA1/MR1/FYN/NLRP3/TGFB1/ADA/PRKCB/PKN1/CD81/IL1R1/SIPA1/TRIM27/ZAP70/ADCY7/CADM1/EXO1/SKAP1/HLX/BCL6/GZMM/HAVCR2/LAIR1/HLA-DQB1/NFKBID/LIME1/PIK3CG/NOTCH1/HLA-DRA/ARID5A/MAD2L2/CRTAM/FCER1G/DUSP10/MSH6/RORA"
"GOBP_REGULATION_OF_CELL_ACTIVATION","GOBP_REGULATION_OF_CELL_ACTIVATION","GOBP_REGULATION_OF_CELL_ACTIVATION",491,0.612967150859126,1.78085320090127,4.09807381430065e-25,5.7502805737662e-22,4.48775030681837e-22,2307,"tags=40%, list=17%, signal=34%","CD40LG/CCL21/CD22/TNFRSF13C/CR1/CCR7/CTLA4/RIPOR2/GP1BA/CD19/CD83/CD28/BANK1/SFRP1/EGR3/VCAM1/FCRL3/PLA2G2D/LEF1/IL2RA/IRF4/EBI3/FN1/BLK/STAP1/CD5/CCL2/SELP/HLA-DOA/HLA-DMA/PDPN/GPR183/CCL19/FOXP3/CARD11/JAK3/FCGR2B/ITGB2/CNR2/CD4/RHOH/BTK/ADORA2A/CD40/TNFSF8/HLA-DPA1/CD27/PTPRC/PLEK/MZB1/TMEM131L/CTSG/PDGFRA/APOE/LST1/MNDA/ICOS/GLI3/IL7R/PDGFRB/CD38/SPI1/TESPA1/SLAMF1/HLA-DRB1/NCKAP1L/IDO1/ADGRE2/LAPTM5/THY1/CCR2/TLR6/CD6/CYGB/TCF7/TNFRSF13B/ZBTB16/WNT5A/THBD/CORO1A/MMRN1/FOXF1/TNFSF11/SLAMF8/CD84/CD74/TLR9/IKZF3/GPNMB/IL4I1/CLEC7A/BMP4/MILR1/EMILIN1/TNFRSF4/HLA-DQB2/PDGFB/CD86/TNFAIP8L2/LOXL3/NOS3/SASH3/RAC2/SYT11/GLI2/LRRK2/TNFSF13B/AXL/THEMIS2/SIT1/LILRB1/DOCK8/TRBC1/NOD2/SPN/RASAL3/PDCD1LG2/RUNX3/LAT/TBC1D10C/IL33/CD209/CD300A/GATA3/HLA-DPB1/SIRPG/PRKCQ/SAMSN1/CD3E/VAV1/CD200/NFATC2/PRNP/LCK/TNFSF9/IL12RB1/ATM/CAMK4/LAX1/CD226/LAG3/AIF1/ANXA1/LRRC32/ADAM8/CD33/ACTA2/FYN/ITPKB/FCHO1/NFAM1/CNR1/TYROBP/VSIG4/BTN2A2/NLRP3/TGFB1/ZEB1/ADA/CD2/FGR/RASGRP1/PKN1/LGALS1/CD81/BCL2/ZAP70/HLX/BCL6/ADGRF5/HAVCR2/HLA-DQB1/NFKBID/CX3CL1/ITGAM/TIGIT/STXBP1/CAV1/HLA-DRA/MAD2L2/CRTAM/FCER1G/PTPN22/DUSP10/RORA/MERTK/FCGR3A/SIRPA/ILDR2/FER/MEF2C/PRKDC/CGAS/FANCA"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",231,0.692380057290204,1.98066813439107,4.04572696154057e-24,4.86585361274429e-21,3.79750792390019e-21,1557,"tags=47%, list=11%, signal=43%","MUSK/ADAMTS1/ADAM12/LAMA2/COL14A1/EFEMP1/MADCAM1/VCAM1/VCAN/MMP9/LUM/FN1/LTBP2/ADAM19/NID1/PCOLCE/LOXL1/MFAP4/COL1A2/TNXB/COL4A6/COL1A1/BGN/FBN1/COL3A1/ADAMTS8/ITGB2/COL15A1/PTPRS/MMP2/TNC/LOXL4/CTSG/FBLN1/ITGAX/HAPLN1/P3H3/COL6A3/ITGA4/LAMC1/COL18A1/COL8A1/SPP1/COL5A1/ITGA11/DCN/COL8A2/SERPINE1/BMP7/SPARC/PCOLCE2/NRXN1/FBN2/A2M/ELN/ITGA8/MFAP2/LAMA5/MFAP5/FGF2/COL6A1/COL4A1/MMP1/BMP4/ITGA5/EMILIN1/COL6A2/ITGAL/LAMA4/LOXL2/PDGFB/MMP19/LOXL3/FBLN2/LOX/COL5A2/COL4A4/CAPN6/VWF/FBLN5/MMP11/PXDN/CTSK/PECAM1/NCAM1/MMP12/SDC3/ITGB7/LAMC3/ITGA9/JAM3/DDR2/COL27A1/EFEMP2/COL12A1/COL13A1/ADAMTS9/KDR/TMPRSS6/COL19A1/MMP25/ICAM1/ADAM8/COL4A5/JAM2/TGFB1/ITGB3/LTBP3/SDC2"
"GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE","GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE","GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",274,0.66942753795867,1.92405855753851,1.55184762715234e-23,1.63312564662444e-20,1.27455695903748e-20,1602,"tags=45%, list=12%, signal=41%","FCER2/XCR1/CXCR4/CD40LG/CD22/CXCR5/TNFRSF13C/SERPINA5/CCR7/CTLA4/CD79B/CD79A/GP1BA/CD19/CD83/CD28/PDCD1/MS4A1/CLEC17A/VCAM1/IL2RA/IL21R/EBI3/CCR4/CD5/SELP/OSMR/CCR6/S1PR1/CD1C/FCGR2B/ITGB2/GFRA3/CD4/ATP1B2/CD40/CD27/PTPRC/ITGAX/PDGFRA/GFRA1/IL7R/CXCL12/CD248/SELE/ITGA4/SLAMF1/HLA-DRB1/ITGA11/THY1/CCR2/CD48/LY9/CD6/CD163/FOLR2/THBD/SCARA5/ENG/ITGA8/LIFR/MFGE8/CD84/CD74/CD69/MCAM/CLEC7A/LY6G5B/ITGA5/TNFRSF4/ITGAL/SLC7A5/CLEC14A/CD86/SCNN1G/CSF2RA/CTSK/ANTXR1/GFRA2/NCAM1/LILRB1/CXCL10/CSF2RB/TRBC1/TNFRSF9/SPN/CD34/ITGA9/PDCD1LG2/CDH5/P2RX1/CLEC2D/HEG1/BTNL9/CD209/KDR/CSF3R/SLAMF7/CD3E/CLEC10A/ACKR3/F10/CLEC4A/PRNP/CD1E/SLAMF6/IL12RB1/ICAM1/CD226/LAG3/ANXA1/MR1/CD33/BTN2A2/CCR9/ADA/CD2/CD36/CCR1/MSR1/BCAM/IL1R1/CD3D"
"GOBP_LEUKOCYTE_DIFFERENTIATION","GOBP_LEUKOCYTE_DIFFERENTIATION","GOBP_LEUKOCYTE_DIFFERENTIATION",449,0.61078365620885,1.77106751813608,2.15753710389502e-23,2.01825609752136e-20,1.57512825760383e-20,2085,"tags=36%, list=15%, signal=31%","CCN4/AICDA/CD40LG/CR2/CR1/CCR7/CTLA4/CD79B/CD79A/CD19/CD83/CD28/POU2AF1/SFRP1/MS4A1/EGR3/VCAM1/FCRL3/PLA2G2D/LEF1/IL2RA/MMP9/IRF4/BLK/LYL1/HLA-DOA/LTF/CCR6/GPR183/CCL19/FBN1/FOXP3/CARD11/JAK3/FCGR2B/CD4/RHOH/BTK/TNFSF8/CD27/PTPRC/HHEX/TMEM131L/NRROS/RASSF2/GLI3/IL7R/SPI1/EOMES/ITGA4/TESPA1/SLAMF1/BATF/HLA-DRB1/NCKAP1L/HCLS1/CCR2/CSF1/LY9/DOCK2/TCF7/DOCK11/ZBTB16/IKZF1/ST3GAL1/TNFSF11/SLAMF8/CD74/TLR9/MFNG/IKZF3/TAL1/IL4I1/BMP4/CSF1R/IFI16/PDE1B/PIK3CD/CMTM7/CD86/LOXL3/SASH3/GLI2/SEMA4A/EVI2B/DOCK10/TNFSF13B/RUNX2/C1QC/ITK/AXL/LILRB1/NKX2-3/SPN/UBD/GPR18/ZBTB46/RUNX3/GAB3/GATA3/SLC9B2/ITM2A/CD109/CD3E/VAV1/LCK/TNFSF9/CBFA2T3/SLAMF6/IL12RB1/ATM/TRPM2/CAMK4/MAFB/PREX1/LAG3/ANXA1/ADAM8/MR1/ITPKB/NFAM1/IL34/TYROBP/SNX10/L3MBTL3/BTN2A2/NLRP3/TGFB1/PARP1/ZEB1/CCR9/ADA/DLL1/CD2/RASGRP1/CCR1/LGALS1/LIF/CD81/CD3D/BCL2/ZAP70/CD3G/TMEM178A/PLCG2/HLX/BCL6/FSTL3/MITF/NFKBID/LEPR/MYC/HLA-DRA/TF/BCL11B/CRTAM/FCER1G/TSPAN2/PTPN22/IRF8/DUSP10"
"GOBP_IMMUNE_EFFECTOR_PROCESS","GOBP_IMMUNE_EFFECTOR_PROCESS","GOBP_IMMUNE_EFFECTOR_PROCESS",453,0.605429584835713,1.75536899943181,3.87577909321408e-22,3.26301841857693e-19,2.54659085261498e-19,2130,"tags=37%, list=15%, signal=32%","FCER2/AICDA/CD40LG/CD22/CR2/CR1/CD19/CD28/POU2AF1/PTGDS/FCRL3/CD180/LEF1/IRF4/IL21R/CLU/BLK/STAP1/C3/HLA-DOA/HLA-DMA/CFH/MFAP4/GAPT/CCR6/C1S/NCF1/GPR183/CCL19/CD1C/FOXP3/JAK3/C7/FCGR2B/ITGB2/RFTN1/BTK/CD40/HLA-DPA1/CD27/PTPRC/MZB1/CTSG/WAS/SCIMP/IL7R/SPI1/EOMES/MASP1/SLAMF1/BATF/HLA-DRB1/NCKAP1L/SERPING1/ADGRE2/LAPTM5/CCR2/C4B/LY9/DOCK2/C4A/DOCK11/WNT5A/CORO1A/A2M/C1QB/SH2D1A/ST3GAL1/FOXF1/C2/SLAMF8/LAT2/CD84/CD74/GPRC5B/TLR9/MFNG/APBB1IP/IL4I1/LCP1/CLEC7A/MILR1/TNFRSF4/ITGAL/PIK3CD/HLA-DQB2/BST2/SLC7A5/CD86/C1QA/LOXL3/SASH3/MYO1G/RAC2/DYSF/SEMA4A/DOCK10/C1QC/LILRB1/NKX2-3/CFP/CSF2RB/TRBC1/NOD2/SPN/LAT/RGCC/DNASE1L3/CD300A/GATA3/HLA-DPB1/ANGPT1/SLAMF7/ITM2A/VAV1/CD1E/CTSH/SLAMF6/IL12RB1/C5/CAMK4/ICAM1/CD226/LAG3/ANXA1/MR1/FYN/IRAK3/TYROBP/VSIG4/NLRP3/TGFB1/TRIL/ADA/SERPINB9/DLL1/FGR/CD36/RASGRP1/PKN1/LGALS1/CD81/IL1R1/HCK/CADM1/EXO1/PLCG2/HLX/BCL6/GZMM/HAVCR2/HLA-DQB1/NFKBID/ITGAM/STXBP1/PIK3CG/HLA-DRA/ARID5A/MAD2L2/CRTAM/FCER1G/PTPN22/IRF8/DUSP10/NLRP6/MSH6/RORA"
