"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",356,0.545891176052848,2.17586530665912,1.01970808766689e-15,8.3616063188685e-12,7.28286249981037e-12,3474,"tags=51%, list=27%, signal=38%","SMN1/DDX39B/UTP4/RRP9/WDR46/UTP20/DKC1/BYSL/NOL6/RCL1/NPM3/URB2/GPATCH4/RRS1/MTERF3/NLE1/NOLC1/DDX21/ERCC2/RPP40/NOP14/LTV1/RRP12/HEATR1/NOPCHAP1/GEMIN4/UTP18/RBFA/DDX31/BRIX1/URB1/NAT10/RRP15/ABCE1/RPUSD4/RSL1D1/GEMIN2/PPAN/MAK16/PDCD11/TSR1/SF3A3/WDR74/PUF60/NOP56/NOB1/EXOSC2/PRPF19/EXOSC7/LYAR/PSIP1/NOP16/GTPBP4/MYBBP1A/NOP2/DDX10/C1QBP/ZNHIT6/RRP1B/TFB2M/UTP14C/DCAF13/EXOSC9/NHP2/FASTKD2/PRKDC/MRPS2/UTP6/MRTO4/RRP1/EXOSC5/NOP58/PES1/DIMT1/PINX1/USP36/RPF2/DDX27/NOL10/SNU13/WDR12/IMP4/UTP25/GEMIN7/NPM1/DHX37/EIF3A/EIF2A/UTP14A/MRPL36/PA2G4/EIF2D/SNRPD1/ATR/SUV39H1/BMS1/RIOX2/GEMIN5/FTSJ3/ATM/SHQ1/CHD7/WDR3/NUFIP1/NOC2L/WDR18/DHX30/DDX20/WDR36/POP5/RRP7BP/DDX18/NSA2/EXOSC10/METTL18/PRPF31/SNRPE/HSP90AB1/TBL3/DDX56/KRI1/LAS1L/SNRPF/GEMIN6/PRMT5/NIFK/POLR2D/RUVBL2/LSM6/RIOK1/GAR1/TRMT112/LUC7L2/SNRPC/NOL11/MTREX/SF1/SDAD1/TARBP2/WDR43/PWP1/XRN2/RPUSD2/AGO2/DDX28/GTF3A/NSUN5/WDR75/LSG1/MPHOSPH10/ERI3/NOL8/SNRPD3/METTL17/GNL2/SLX9/DHX9/RAN/AATF/ISG20L2/MRPS7/DDX47/NAF1/COIL/NUP88/MTERF4/RRP8/ZRSR2/UTP11/NOP53/EBNA1BP2/NOM1/CPSF7/SNRPD2/RRP7A/GLUL/DDX54/MRPL1/EIF4B/SRSF1"
"GOBP_B_CELL_ACTIVATION","GOBP_B_CELL_ACTIVATION","GOBP_B_CELL_ACTIVATION",210,0.606239233536445,2.29822887997799,1.76907291031638e-14,7.25319893229718e-11,6.31745247184035e-11,1638,"tags=38%, list=13%, signal=33%","CR2/VCAM1/CD19/MS4A1/CD79B/CD79A/BLK/TNFRSF13C/CD180/POU2AF1/CR1/CXCR5/BST1/GAPT/CD22/BATF/EXO1/CD38/IL4I1/MZB1/CD27/CD86/SLAMF8/FOXJ1/LAPTM5/CD40/LAT2/TLR9/ADA/FCRL1/CTPS1/LYL1/CD74/FCGR2B/MSH6/THEMIS2/LAX1/SASH3/NCKAP1L/MAD2L2/EPHB2/DLL1/BTK/IKZF3/TFRC/JAK3/PRKCB/TLR4/CMTM7/BANK1/CCR6/PLCG2/IRF8/BST2/HHEX/BLNK/KIT/CARD11/ST3GAL1/SPI1/SAMSN1/NFATC2/ITGA4/HSPD1/PIK3CD/NFAM1/TBC1D10C/CD300A/TYROBP/PTPRC/XBP1/CD81/NBN/PRKDC/MFNG/EZH2/UNG/FCRL3/MSH2"
"GOBP_NCRNA_METABOLIC_PROCESS","GOBP_NCRNA_METABOLIC_PROCESS","GOBP_NCRNA_METABOLIC_PROCESS",456,0.491997363287796,2.0065747230967,3.86490715329586e-14,1.0564079552342e-10,9.20119124039031e-11,3316,"tags=45%, list=25%, signal=35%","INTS3/TYW1B/VARS1/POLR1G/UTP4/RRP9/WDR46/SARS2/UTP20/DKC1/BYSL/GTPBP3/NOL6/RCL1/NPM3/MACROH2A2/RRS1/NOLC1/IARS1/DDX21/ERCC2/RPP40/NOP14/RRP12/HEATR1/POLR1B/GEMIN4/UTP18/SLFN13/RBFA/BRIX1/URB1/NAT10/AARS1/RRP15/AARS2/RPUSD4/PUS1/RSL1D1/PPAN/CTU2/MAK16/PDCD11/XPO5/TSR1/WDR74/NOP56/CARS1/NOB1/EXOSC2/TRMT1/ZC3H12A/GARS1/EXOSC7/LYAR/METTL1/GTPBP4/YARS1/FARS2/NOP2/EARS2/DDX10/ELP1/ZNHIT6/RRP1B/TFB2M/MARS2/ALKBH8/FARSA/NCL/TRMT12/UTP14C/DCAF13/EXOSC9/NHP2/PRKDC/UTP6/POLR1E/MRTO4/SSB/RRP1/EXOSC5/FARSB/TRMT6/NOP58/PES1/DIMT1/TRMT61A/TCOF1/USP36/RPF2/DDX27/METTL4/NOL10/ELAC2/SNU13/TP53/WDR12/IMP4/UTP25/LARS2/ELL3/LCMT2/DHX37/UTP14A/PA2G4/METTL3/EPRS1/TRMU/NARS2/SMARCA4/SUV39H1/BMS1/QTRT1/PUS7/TRMT13/DUS2/ICE2/FTSJ3/SRRT/WDR6/SHQ1/CHD7/WDR3/MARS1/ANG/TYW3/WDR18/TSEN15/TDRKH/WDR36/POP5/TARS2/WDR4/QRSL1/RRP7BP/GATB/DDX18/NSA2/EXOSC10/METTL18/TBL3/DDX56/PNPT1/KRI1/LAS1L/RPP21/NIFK/LAGE3/TYW1/DTWD1/TRMT10B/HSD17B10/CDK5RAP1/LSM6/RIOK1/GAR1/TRMT112/PUSL1/NOL11/MTREX/TRUB1/TARBP2/TARS3/DTD1/WDR43/CARS2/METTL8/ADAT2/POP1/PWP1/SND1/VARS2/XRN2/RPUSD2/AGO2/GTF3A/NSUN5/WDR75/TUT4/MPHOSPH10/ERI3/NOL8/THUMPD2/SLX9/THG1L/TRIT1/RARS1/NSUN2/METTL2B/DDX47/ANKRD16/SARS1/WARS1/KTI12/LRRC47/NAF1/MTERF4/RRP8/CDKAL1/UTP11/NOP53/AARSD1/RARS2/EBNA1BP2/METTL2A/KHSRP"
"GOBP_RIBOSOME_BIOGENESIS","GOBP_RIBOSOME_BIOGENESIS","GOBP_RIBOSOME_BIOGENESIS",248,0.572927479515059,2.21077958762078,8.30508023227519e-14,1.47857305257966e-10,1.28782004643813e-10,3456,"tags=57%, list=26%, signal=43%","UTP4/RRP9/WDR46/UTP20/DKC1/BYSL/NOL6/RCL1/NPM3/URB2/GPATCH4/RRS1/MTERF3/NLE1/NOLC1/DDX21/ERCC2/RPP40/NOP14/LTV1/RRP12/HEATR1/GEMIN4/UTP18/RBFA/DDX31/BRIX1/URB1/NAT10/RRP15/ABCE1/RPUSD4/RSL1D1/PPAN/MAK16/PDCD11/TSR1/WDR74/NOP56/NOB1/EXOSC2/EXOSC7/LYAR/NOP16/GTPBP4/MYBBP1A/NOP2/DDX10/C1QBP/ZNHIT6/RRP1B/TFB2M/UTP14C/DCAF13/EXOSC9/NHP2/FASTKD2/PRKDC/MRPS2/UTP6/MRTO4/RRP1/EXOSC5/NOP58/PES1/DIMT1/PINX1/USP36/RPF2/DDX27/NOL10/SNU13/WDR12/IMP4/UTP25/NPM1/DHX37/EIF2A/UTP14A/MRPL36/PA2G4/SUV39H1/BMS1/RIOX2/FTSJ3/SHQ1/CHD7/WDR3/NOC2L/WDR18/DHX30/WDR36/POP5/RRP7BP/DDX18/NSA2/EXOSC10/METTL18/TBL3/DDX56/KRI1/LAS1L/NIFK/LSM6/RIOK1/GAR1/TRMT112/NOL11/MTREX/SDAD1/WDR43/PWP1/XRN2/RPUSD2/DDX28/GTF3A/NSUN5/WDR75/LSG1/MPHOSPH10/ERI3/NOL8/METTL17/GNL2/SLX9/RAN/AATF/ISG20L2/MRPS7/DDX47/NAF1/NUP88/MTERF4/RRP8/UTP11/NOP53/EBNA1BP2/NOM1/RRP7A/GLUL/DDX54/MRPL1"
"GOCC_CHROMOSOMAL_REGION","GOCC_CHROMOSOMAL_REGION","GOCC_CHROMOSOMAL_REGION",322,0.533962733190577,2.11950567443944,9.01568934499795e-14,1.47857305257966e-10,1.28782004643813e-10,2796,"tags=41%, list=21%, signal=33%","NLRP2/DAXX/SPC25/PKHD1/DSCC1/MCM2/OIP5/CENPM/STAG3/PLK1/CDCA5/RASSF2/PARP1/CENPU/MCM6/AURKB/KIF2C/ORC1/SPC24/MAD2L1/MCM5/BUB1/MACROH2A2/DNMT1/TTK/FEN1/NDC80/CDK1/APEX1/MCM7/SKA1/CCNB1/TOP2A/CDT1/ERCC6L/HELLS/BUB1B/MCM3/CENPI/ESCO2/BIRC5/CHEK1/SKA3/SPAG5/NAT10/NCAPD3/ZWILCH/ZWINT/NUF2/CHEK2/SPDL1/KNL1/DCLRE1B/CENPH/KNSTRN/CENPF/THOC6/NCAPG/CDK2/DNA2/POLD1/IKZF1/POT1/ITGB3BP/SEPTIN6/MIS18A/SGO2/DSN1/SUV39H2/NBN/KDM1A/SGO1/NHP2/RAD51/XRCC3/PRKDC/EZH2/CHD4/SSB/RANGAP1/CENPK/NCAPD2/MSH2/BRCA2/PCNA/PINX1/BLM/NDE1/CENPN/HJURP/MCM4/SPOUT1/WRAP53/CKAP5/NEK2/CDCA8/MAD1L1/ZW10/RAD51D/ATR/SUV39H1/PIF1/CENPW/NUP37/RAD17/RPA1/ATM/CBX5/NUP107/NUP43/RAD51AP1/ALYREF/INCENP/RECQL4/KNTC1/SMC3/MIS18BP1/CHMP4A/TPR/ZNF827/THOC1/CENPE/GAR1/KIF18A/DCTN5/SEH1L/CENPS/THOC5/CTC1/PPP1R10/H2AX"
"GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION",257,0.560914402252837,2.17230342223743,4.31266016486862e-13,5.89396889198711e-10,5.13357881028659e-10,2948,"tags=44%, list=23%, signal=35%","EREG/POLE2/MCM10/TICRR/DSCC1/MCM2/CDC45/DTL/NUGGC/MCM6/ORC1/GINS1/E2F8/GINS2/FAM111B/MCM5/TWNK/TRAIP/RFC4/NOC3L/LIG1/FEN1/TIPIN/RMI2/CDK1/MCM7/CDT1/DDX21/MCM3/GINS3/WDHD1/ESCO2/E2F7/POLD2/POLA1/GINS4/CHEK1/MMS22L/RRM2/CHAF1B/SSRP1/FBXO5/CCNA2/TIMELESS/RFC3/CDK2/SLFN11/RRM1/DNA2/POLD1/DNAJA3/LIG3/GTPBP4/GMNN/GRWD1/RNASEH2A/NBN/RAD51/DUT/CHTF18/ZRANB3/DNAJC2/DBF4/NAP1L1/BRCA2/PCNA/METTL4/BLM/JADE1/RFC5/TP53/RFC1/PRIM1/CHAF1A/ORC6/MCM4/NFIC/POLA2/NASP/ATR/PIF1/NFRKB/RAD17/RPA1/NFIX/SUPT16H/WDR18/ALYREF/CDC7/DBF4B/RECQL4/SMC3/POLH/SET/TONSL/POLE3/TOP1MT/NUCKS1/THOC1/RUVBL2/REV3L/ACTL6A/PCLAF/DTD1/FAF1/CENPS/CDC6/CTC1/TFPT/TSPYL2/CINP/RFC2/POLG2/SAMHD1"
"GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION",286,0.538505933003311,2.10436212047791,1.04796162946413e-12,1.22761219451513e-09,1.06923603848333e-09,2778,"tags=41%, list=21%, signal=33%","GEM/SPC25/HASPIN/PRC1/DSCC1/OIP5/KIFC1/NUSAP1/STAG3/UBE2C/PLK1/KIF18B/NCAPH/CDCA5/DLGAP5/CDCA2/AURKB/KIF2C/RAD51C/FAM83D/SPC24/MAD2L1/MAD2L2/BUB1/RRS1/TTK/FEN1/NDC80/RMI2/SKA1/CCNB1/TOP2A/CDT1/KIF23/BUB1B/ERCC2/ESCO2/KIF14/PSRC1/SKA3/MKI67/SPAG5/BRCA1/MAP10/NCAPD3/ZWILCH/CDC20/ZWINT/NUF2/RACGAP1/KIF4A/SPDL1/FBXO5/NCAPG2/KNL1/PTTG1/CENPH/KNSTRN/CENPF/NCAPG/TACC3/SMC2/TRIP13/KLHDC8B/AXIN2/MIS18A/SGO2/RCC1/DSN1/CEP85/SGO1/XRCC3/CENPK/NCAPD2/NDC1/STAG3L1/PINX1/NDE1/PSMC3IP/BRIP1/CENPN/HJURP/CEP55/FANCD2/NEK2/SYCE1L/CDCA8/MAD1L1/ZW10/CENPW/NUP37/BAG6/ATM/ANAPC1/NUP43/INCENP/P3H4/PHB2/KNTC1/SMC3/TUBG1/CHMP4A/TPR/NTMT1/TOP2B/BANF1/CENPE/BAZ1B/KIF18A/NUP62/NEK6/SEH1L/SFPQ/CENPS/ANAPC5/CDC6"
"GOBP_NCRNA_PROCESSING","GOBP_NCRNA_PROCESSING","GOBP_NCRNA_PROCESSING",337,0.509049871056935,2.02180662858845,5.62959296514866e-12,5.29994837066155e-09,4.61619379909353e-09,3294,"tags=48%, list=25%, signal=37%","INTS3/TYW1B/UTP4/RRP9/WDR46/UTP20/DKC1/BYSL/GTPBP3/NOL6/RCL1/NPM3/RRS1/NOLC1/DDX21/ERCC2/RPP40/NOP14/RRP12/HEATR1/GEMIN4/UTP18/RBFA/BRIX1/URB1/NAT10/AARS1/RRP15/AARS2/RPUSD4/PUS1/RSL1D1/PPAN/CTU2/MAK16/PDCD11/TSR1/WDR74/NOP56/NOB1/EXOSC2/TRMT1/EXOSC7/LYAR/METTL1/GTPBP4/FARS2/NOP2/DDX10/ELP1/ZNHIT6/RRP1B/TFB2M/ALKBH8/TRMT12/UTP14C/DCAF13/EXOSC9/NHP2/PRKDC/UTP6/MRTO4/SSB/RRP1/EXOSC5/TRMT6/NOP58/PES1/DIMT1/TRMT61A/USP36/RPF2/DDX27/NOL10/ELAC2/SNU13/WDR12/IMP4/UTP25/LCMT2/DHX37/UTP14A/PA2G4/METTL3/TRMU/SUV39H1/BMS1/QTRT1/PUS7/TRMT13/DUS2/FTSJ3/SRRT/WDR6/SHQ1/CHD7/WDR3/TYW3/WDR18/TSEN15/WDR36/POP5/WDR4/RRP7BP/DDX18/NSA2/EXOSC10/METTL18/TBL3/DDX56/KRI1/LAS1L/RPP21/NIFK/LAGE3/TYW1/DTWD1/TRMT10B/HSD17B10/CDK5RAP1/LSM6/RIOK1/GAR1/TRMT112/PUSL1/NOL11/MTREX/TRUB1/TARBP2/WDR43/METTL8/ADAT2/POP1/PWP1/XRN2/RPUSD2/AGO2/NSUN5/WDR75/TUT4/MPHOSPH10/ERI3/NOL8/THUMPD2/SLX9/THG1L/TRIT1/NSUN2/METTL2B/DDX47/ANKRD16/SARS1/KTI12/NAF1/MTERF4/RRP8/CDKAL1/UTP11/NOP53/EBNA1BP2/METTL2A"
"GOBP_ORGANELLE_FISSION","GOBP_ORGANELLE_FISSION","GOBP_ORGANELLE_FISSION",387,0.4915534423508,1.97279446732452,5.81701650438462e-12,5.29994837066155e-09,4.61619379909353e-09,2784,"tags=37%, list=21%, signal=30%","HSPA1B/HSPA1A/EREG/CYP26B1/HASPIN/PRC1/DSCC1/PKMYT1/KIFC1/NUSAP1/STAG3/UBE2C/PLK1/KIF18B/NCAPH/ANLN/CDCA5/DLGAP5/KIF11/MEI1/CDCA2/AURKB/KIF2C/RAD51C/TPX2/MYBL2/CDC25C/MND1/MAD2L1/MAD2L2/BUB1/RRS1/TTK/NDC80/FANCA/RGCC/CCNB1/TOP2A/WNT4/CDT1/KIF23/BUB1B/IL1B/ASPM/KIF14/PSRC1/CHEK1/MKI67/SPAG5/MAP10/NCAPD3/ZWILCH/CDC20/ZWINT/NUF2/CHEK2/RACGAP1/KIF4A/MAP9/SPDL1/FBXO5/NCAPG2/BMP7/PTTG1/KNSTRN/CENPF/RANBP1/NCAPG/LIF/TACC3/MARF1/MYO19/SMC2/TRIP13/WNT5A/KLHDC8B/SGO2/CCNB2/RCC1/KIF20B/DSN1/PPP1R9B/UBE2S/CEP85/SGO1/RAD51/XRCC3/OBSL1/CENPK/RAD54B/NCAPD2/NDC1/BRCA2/PINX1/CDC25B/NDE1/PSMC3IP/DDHD1/BRIP1/CEP55/FANCD2/NEK2/SYCE1L/CDCA8/MAD1L1/ZW10/RAD51D/BAG6/ATM/RAD54L/BCCIP/ANAPC1/RAD51AP1/MTFP1/INCENP/TDRKH/P3H4/PHB2/KNTC1/SMC3/TUBG1/PGAM5/CHMP4A/TPR/AAAS/MTFR2/PEX11G/PRMT5/CCDC61/TOP2B/BANF1/CENPE/BAZ1B/KDR/KIF18A/NUP62/NEK6/SEH1L/CENPS/AURKA/PLCB1/ANAPC5/CDC6/RAD51B"
"GOBP_DNA_REPAIR","GOBP_DNA_REPAIR","GOBP_DNA_REPAIR",463,0.468562069876213,1.91552049948166,1.19475910181507e-11,9.79702463488361e-09,8.53309526927924e-09,4092,"tags=47%, list=31%, signal=33%","INTS3/POLE2/EXO1/PRRX1/TICRR/MCM2/CDC45/DTL/WAS/CDCA5/PARP1/MCM6/MSH6/RAD51C/UHRF1/GINS2/TMEM161A/MCM5/MAD2L2/TRAIP/RFC4/FOXM1/LIG1/FEN1/AUNIP/FANCA/RMI2/CDK1/PARPBP/APEX1/MCM7/ERCC2/MCM3/HROB/WDHD1/ESCO2/POLD2/POLA1/GINS4/CHEK1/MMS22L/MNAT1/BRCA1/HMGB2/EYA2/CHEK2/CHAF1B/SSRP1/UBE2T/TIMELESS/PTTG1/DCLRE1B/UBQLN4/ALKBH2/RFC3/CDK2/PARP2/RRM1/DNA2/PRPF19/MARF1/POLD1/LIG3/MAGEF1/GTF2I/TRIP13/FANCG/AXIN2/POT1/NUDT1/RNASEH2A/CLSPN/NBN/KDM1A/RAD51/XRCC3/SHPRH/PRKDC/DCLRE1A/SLX1B/ZRANB3/RAD54B/UNG/ATRIP/MSH2/BRCA2/PCNA/PAGR1/MDC1/BLM/RFC5/IFFO1/TP53/RFC1/BRIP1/CHAF1A/MCM4/NPM1/WRAP53/GTF2H4/FANCD2/XRCC2/POLM/ERCC8/RAD51D/ATR/PIF1/NFRKB/CDC5L/PAXIP1/FAM168A/RAD17/RPA1/ATM/RAD54L/BCCIP/EP400/SUPT16H/RAD51AP1/CDC7/HMGA2/RECQL4/PMS1/SMC3/POLH/HUWE1/TONSL/NUCKS1/RUVBL2/REV3L/ACTL6A/TRIM28/PCLAF/RAD23A/NSD2/NTHL1/ALKBH3/SFPQ/CENPS/PALB2/RAD51B/H2AX/HDGFL2/TFPT/CINP/TDP1/SMARCAD1/RFC2/MBD4/POLG2/SAMHD1/ERCC6/NSMCE1/SPIDR/DHX9/FTO/RAD50/MGMT/MMS19/SETMAR/PPP5C/ERCC1/APTX/DOT1L/GTF2H3/MLH1/PARP10/NOP53/XRCC1/TOPBP1/SETD2/NEIL1/NABP2/DDB1/UIMC1/RECQL5/NONO/ERCC4/ACTR5/DDB2/POLQ/CSNK1E/POLD3/RNF8/FANCM/NIPBL/SMARCAL1/TENT4A/NEIL3/POGZ/PARG/FUS/EXD2/PRMT6/SWSAP1/CGAS/TNKS1BP1/XPA/MEAF6/FIGNL1/FAAP20/REV1/USP3/RFWD3/ASCC3/SHLD2/SLF2/OGG1/MUTYH/PARK7/TRRAP/FBH1/SMC1A/GADD45A/EME1/INO80/PMS2"
