"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",230,-0.633027147691689,-2.584469810459,5.3003064572766e-23,4.31868970138897e-19,3.37490039579644e-19,1578,"tags=35%, list=12%, signal=31%","CHAMP1/CENPS/BRIP1/ANAPC1/XRCC3/AXIN2/CENPQ/RRS1/KATNB1/TACC3/ESPL1/MAP10/FANCD2/SPICE1/INCENP/SPC25/SGO1/CDCA8/RACGAP1/DSN1/SMC2/FBXO5/ZWILCH/CENPE/NCAPD3/NCAPD2/ESCO2/EME1/CDCA5/CEP55/STAG3/PSRC1/RAD51C/CCNE2/FANCM/ZWINT/CDT1/CDC6/SPC24/NUF2/MAD2L1/CENPK/NCAPG2/FEN1/KIF23/FAM83D/NDC1/AURKB/KIF14/TOP2A/SGO2/KNL1/UBE2C/KNSTRN/RMI2/CCNB1/TRIP13/TTK/NEK2/KIF18A/PTTG1/SPDL1/CDC20/CENPF/SPAG5/NCAPH/KIF2C/NCAPG/KIF4A/KIF18B/DSCC1/BUB1/PRC1/PLK1/NDC80/DLGAP5/HASPIN/BUB1B/KIFC1/NUSAP1"
"GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION",184,-0.679279032978475,-2.68972365228348,1.6179472961283e-21,6.59151728442671e-18,5.15103326014743e-18,726,"tags=30%, list=6%, signal=29%","CDCA8/RACGAP1/DSN1/SMC2/FBXO5/ZWILCH/CENPE/NCAPD3/NCAPD2/ESCO2/CDCA5/CEP55/STAG3/PSRC1/RAD51C/ZWINT/CDT1/CDC6/NUF2/MAD2L1/CENPK/NCAPG2/FEN1/KIF23/AURKB/KIF14/TOP2A/SGO2/UBE2C/KNSTRN/RMI2/CCNB1/TRIP13/TTK/NEK2/KIF18A/PTTG1/SPDL1/CDC20/CENPF/SPAG5/NCAPH/KIF2C/NCAPG/KIF4A/KIF18B/DSCC1/BUB1/PRC1/PLK1/NDC80/DLGAP5/HASPIN/BUB1B/KIFC1/NUSAP1"
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",159,-0.695708074094813,-2.71194779683473,2.52724222437187e-20,6.863989881394e-17,5.36396077727209e-17,726,"tags=31%, list=6%, signal=30%","CDCA8/RACGAP1/DSN1/SMC2/FBXO5/ZWILCH/CENPE/NCAPD3/NCAPD2/CDCA5/CEP55/PSRC1/ZWINT/CDT1/CDC6/NUF2/MAD2L1/CENPK/NCAPG2/KIF23/AURKB/KIF14/SGO2/UBE2C/KNSTRN/CCNB1/TRIP13/TTK/NEK2/KIF18A/PTTG1/SPDL1/CDC20/CENPF/SPAG5/NCAPH/KIF2C/NCAPG/KIF4A/KIF18B/DSCC1/BUB1/PRC1/PLK1/NDC80/DLGAP5/HASPIN/BUB1B/KIFC1/NUSAP1"
"GOCC_CHROMOSOME_CENTROMERIC_REGION","GOCC_CHROMOSOME_CENTROMERIC_REGION","GOCC_CHROMOSOME_CENTROMERIC_REGION",201,-0.611868573033817,-2.38677087905093,8.65670498948719e-17,1.76337080635854e-13,1.37801074951074e-13,957,"tags=30%, list=7%, signal=29%","NUP37/INCENP/SPC25/CENPA/SGO1/CKAP5/ITGB3BP/CDCA8/DSN1/PKHD1/HELLS/ZWILCH/CENPE/NCAPD3/NCAPD2/H4C14/ESCO2/CDCA5/STAG3/H4C11/ZWINT/CDT1/CENPW/SPC24/CENPO/NUF2/H2AC8/MIS18A/MAD2L1/CENPK/DAXX/CENPI/AURKB/SKA3/BIRC5/CENPM/TOP2A/SGO2/H4C8/KNL1/CENPH/SKA1/KNSTRN/CCNB1/OIP5/TTK/NEK2/KIF18A/SPDL1/CENPF/SPAG5/H2BC11/CENPU/KIF2C/NCAPG/DSCC1/BUB1/PLK1/NDC80/BUB1B/ERCC6L"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",332,0.697729113028993,1.95731866077622,4.5307313991598e-15,7.38327988807081e-12,5.76976720705634e-12,1559,"tags=46%, list=12%, signal=42%","TNXB/MMRN1/CCDC80/COL12A1/ABI3BP/COL14A1/OGN/SFRP1/PODN/DCN/CLEC3B/ADAMTSL4/MGP/SSC5D/CCBE1/MMP25/EFEMP1/DPT/DMBT1/ANGPTL1/FBLN1/TGM2/COL15A1/CXCL12/MMP12/TNC/LUM/NTN1/ANGPTL2/COL18A1/ADAMTSL3/BGN/FBLN2/CD248/NCAM1/SPARCL1/EGFL7/FLRT2/COL1A1/PDGFB/HTRA1/F13A1/MFAP4/C1QC/COL4A1/CLEC14A/COL1A2/FBN1/COL27A1/MMP10/OLFML2A/WNT2B/C1QA/COL5A1/COL8A2/TIMP3/TGFBR3/PRELP/A2M/GPC6/LAMA2/L1CAM/MXRA5/COL3A1/VWF/C1QB/ICAM1/PCOLCE/AEBP1/SCARA3/SERPING1/SERPINA5/MMP9/WNT5B/SRPX2/SERPINF1/TGFBI/COL6A3/S100A9/ASPN/FN1/TGFB1I1/TIMP1/COL28A1/LGALS1/SDC2/SPARC/SULF1/HAPLN3/LOXL1/FBLN5/POMZP3/EFEMP2/ECM1/ADAMTSL2/COL6A2/COL4A5/SERPINA3/CLU/LAMC1/ANXA1/ADAMDEC1/COL6A1/SDC3/LOX/MMP11/CRISPLD2/POSTN/S100A4/MMP2/COL5A2/LAMA4/CTSF/ANXA6/FGL2/EMID1/PLAT/VWC2/ALPL/NID1/ADAMTS1/BCAM/EMILIN1/VWA1/ADAMTS9/ELN/CFP/FMOD/ADAMTS14/LAMA5/HPSE2/APOE/SRPX/COLEC12/CSPG4/MXRA7/A1BG/HAPLN1/ADAMTS10/ITIH5/WNT11/LRRN3/MMRN2/COL9A1/LRRC32/HMCN1/SERPINF2/CDH13/NDNF/SERPINB9/FREM1/IL7/LAMB2"
"GOCC_CONDENSED_CHROMOSOME","GOCC_CONDENSED_CHROMOSOME","GOCC_CONDENSED_CHROMOSOME",213,-0.574678544623628,-2.30470356284877,5.78801958834455e-14,7.8601306009719e-11,6.14240885787653e-11,1383,"tags=30%, list=11%, signal=27%","NUP43/CENPQ/RRS1/SPOUT1/NUP107/SUV39H1/FANCD2/BRCA1/NUP37/INCENP/NOL6/SPC25/CENPA/SGO1/CKAP5/ITGB3BP/LRPPRC/RCC1/DSN1/SMC2/ZWILCH/CENPE/NCAPD3/NCAPD2/STAG3/ZWINT/CDT1/CENPW/SPC24/CENPO/NUF2/MAD2L1/CENPK/CHEK1/CENPI/RAD51/AURKB/SKA3/BIRC5/CENPM/TOP2A/SGO2/HMGB2/KNL1/CENPH/SKA1/KNSTRN/CCNB1/TTK/MKI67/NEK2/KIF18A/SPDL1/CENPF/SPAG5/CENPU/KIF2C/NCAPG/BRCA2/BUB1/PLK1/NDC80/BUB1B/ERCC6L"
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",266,0.716042018509685,1.99354528252185,1.02112712621808e-13,1.18859197491785e-10,9.28841802480176e-11,1559,"tags=48%, list=12%, signal=43%","TNXB/MMRN1/CCDC80/COL12A1/ABI3BP/COL14A1/OGN/SFRP1/PODN/DCN/CLEC3B/ADAMTSL4/MGP/SSC5D/EFEMP1/DPT/ANGPTL1/FBLN1/TGM2/COL15A1/CXCL12/TNC/LUM/NTN1/ANGPTL2/COL18A1/BGN/FBLN2/NCAM1/SPARCL1/EGFL7/COL1A1/PDGFB/HTRA1/F13A1/MFAP4/C1QC/COL4A1/CLEC14A/COL1A2/FBN1/COL27A1/WNT2B/C1QA/COL5A1/COL8A2/TIMP3/PRELP/A2M/GPC6/LAMA2/L1CAM/MXRA5/COL3A1/VWF/C1QB/ICAM1/PCOLCE/AEBP1/SCARA3/SERPING1/SERPINA5/MMP9/WNT5B/SRPX2/SERPINF1/TGFBI/COL6A3/S100A9/ASPN/FN1/TGFB1I1/TIMP1/COL28A1/LGALS1/SDC2/SPARC/SULF1/LOXL1/FBLN5/EFEMP2/ECM1/COL6A2/COL4A5/SERPINA3/CLU/LAMC1/ANXA1/ADAMDEC1/COL6A1/SDC3/POSTN/S100A4/MMP2/COL5A2/LAMA4/CTSF/ANXA6/FGL2/PLAT/VWC2/NID1/ADAMTS1/BCAM/EMILIN1/VWA1/ADAMTS9/ELN/CFP/FMOD/LAMA5/APOE/SRPX/CSPG4/MXRA7/A1BG/HAPLN1/ADAMTS10/ITIH5/MMRN2/COL9A1/HMCN1/SERPINF2/CDH13/SERPINB9/FREM1/IL7/LAMB2"
"GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION","GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION","GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION",147,-0.629565396021126,-2.38703653659332,2.77779442623067e-13,2.82918362311593e-10,2.21090506371965e-10,957,"tags=31%, list=7%, signal=29%","NUP37/INCENP/SPC25/CENPA/SGO1/CKAP5/ITGB3BP/DSN1/ZWILCH/CENPE/NCAPD3/NCAPD2/ZWINT/CDT1/CENPW/SPC24/CENPO/NUF2/MAD2L1/CENPK/CENPI/AURKB/SKA3/BIRC5/CENPM/SGO2/KNL1/CENPH/SKA1/KNSTRN/CCNB1/TTK/NEK2/KIF18A/SPDL1/CENPF/SPAG5/CENPU/KIF2C/NCAPG/BUB1/PLK1/NDC80/BUB1B/ERCC6L"
"REACTOME_DNA_REPLICATION","REACTOME_DNA_REPLICATION","REACTOME_DNA_REPLICATION",147,-0.5995127413179,-2.27309001848479,2.19998738074264e-11,1.991721908699e-08,1.55645890831722e-08,1900,"tags=39%, list=15%, signal=34%","POLD3/RFC2/POLD1/ANAPC10/H2AX/ORC3/POLE3/ANAPC1/ORC6/E2F1/H3C6/MCM8/POLD2/RFC4/H2BC9/POLA2/H2AC6/MCM3/DBF4/UBE2S/RFC5/CDC7/H2BC5/MCM7/GMNN/H3C10/MCM6/PCNA/H4C14/MCM5/GINS3/H4C11/H2BC6/MCM10/CCNE2/SKP2/PRIM1/CDT1/RFC3/CDC6/MCM4/POLA1/H2AC8/POLE2/CDC45/FEN1/H2BC4/CCNA2/ORC1/LIG1/H4C8/UBE2C/MCM2/DNA2/H2BC11/GINS1/GINS4/GINS2"
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT","REACTOME_MITOTIC_SPINDLE_CHECKPOINT","REACTOME_MITOTIC_SPINDLE_CHECKPOINT",107,-0.668605769763721,-2.49334557778372,2.62667326796948e-11,2.14021337874153e-08,1.6724996418892e-08,957,"tags=36%, list=7%, signal=33%","NUP37/UBE2S/INCENP/SPC25/CENPA/SGO1/CKAP5/ITGB3BP/CDCA8/DSN1/ZWILCH/CENPE/ZWINT/SPC24/CENPO/NUF2/MAD2L1/CENPK/CENPI/AURKB/BIRC5/CENPM/SGO2/KNL1/CENPH/UBE2C/SKA1/KIF18A/SPDL1/CDC20/CENPF/CENPU/KIF2C/BUB1/PLK1/NDC80/BUB1B/ERCC6L"
