"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_REGULATION_OF_CELL_ACTIVATION","GOBP_REGULATION_OF_CELL_ACTIVATION","GOBP_REGULATION_OF_CELL_ACTIVATION",474,0.630609084163651,1.79972052118158,5.0643369190484e-21,4.13047319117588e-17,3.43362043111482e-17,2028,"tags=38%, list=15%, signal=33%","HLA-DOA/HLA-DOB/HLA-DRA/DLG5/ADGRE2/EBI3/IDO1/SLAMF8/HLA-DPA1/CD40LG/VCAM1/SELP/FCGR3A/CD4/PLA2G2D/APOE/HLA-DQB1/HAVCR2/GATA3/HLA-DQA1/IL2RA/CD209/MILR1/CYGB/HLA-DRB1/GP1BA/ITGB2/GPNMB/PLEK/CD86/GPR183/CD226/MMRN1/TYROBP/ZBTB16/HLA-DRB5/PDGFRA/RIPOR2/IL4I1/SAMSN1/SLAMF1/IRF4/HLA-F/JAK3/CD38/NOS3/TNFSF8/TNFSF13B/SPN/ZAP70/GATA2/VSIG4/LILRB1/CCL2/IL7R/ADORA2A/LAT/AIF1/HLA-DMB/THEMIS2/CD27/NCKAP1L/CD274/SFRP1/THBD/CD84/LAPTM5/CD300A/LILRB4/SPI1/SIT1/MNDA/CD74/IL33/PDGFB/LRRK2/LAG3/RORA/CD83/AXL/TESPA1/TLR6/SIRPG/SASH3/NFAM1/FCGR2B/TNFAIP8L2/SIRPA/BLK/RASAL3/ZEB1/CD40/RUNX3/THY1/HLX/STAP1/RAC2/FCER1G/MZB1/LCK/CCR2/CD200/RHOH/NFATC2/ITPKB/ANXA1/HLA-DMA/DOCK8/TMEM131L/TLR9/PRNP/CCR7/TNFSF11/CNR1/LGALS1/EMILIN2/TBC1D10C/ATM/BTN2A2/CARD11/NFKBID/MAD2L2/CORO1A/BCL2/DUSP10/PKN1/CD300LF/TGFB1/FGR/CCL19/FOXF1/PRDM1/HLA-DPB1/FYN/TNFRSF13C/CNR2/TIGIT/BTK/TNFRSF13B/LRRC32/SYT11/BMP4/BANK1/STXBP1/BST1/ITGAM/CD19/PDGFRB/CR1/FES/PIK3R6/NLRP3/LDLR/C1QTNF1/IL1B/FCHO1/ADA/VAV1/CGAS/MAP3K8/GPR137B/FANCA/IL12RB1/MICA/MALT1/ACTA2/IRF1/CAPN3/CX3CL1/CAV1/IKZF3/CD81/BCL6/EMILIN1/ZC3H12A/FOXJ1/CD28/CCL21/TBX21/TLR4"
"GOBP_IMMUNE_EFFECTOR_PROCESS","GOBP_IMMUNE_EFFECTOR_PROCESS","GOBP_IMMUNE_EFFECTOR_PROCESS",439,0.629205841987129,1.79267321321866,4.73731439505216e-19,1.93187681030227e-15,1.60594957992268e-15,2244,"tags=40%, list=17%, signal=34%","HLA-DOA/HLA-DOB/HLA-DRA/CR2/ADGRE2/NOS2/C3/SLAMF8/HLA-DPA1/CD40LG/C2/BATF/FCGR3A/C1QB/HLA-B/RGCC/PTGDS/HLA-DQB1/C1QC/C1QA/HAVCR2/GATA3/HLA-DQA1/CFH/MILR1/HLA-DRB1/ITGB2/CD86/SH2D1A/GAPT/GPR183/FCER2/CD226/ICAM1/TYROBP/DNASE1L3/HLA-DRB5/IL4I1/IL21R/SLAMF1/IRF4/MFAP4/HLA-F/JAK3/GZMM/GZMB/C1S/SPN/GATA2/VSIG4/LILRB1/IL7R/SERPING1/LAT/HLA-DMB/CD27/NCKAP1L/CD180/CD36/ITGAL/CD84/LAPTM5/CD300A/LILRB4/SPI1/LY9/DYSF/CD74/CSF2RB/CFP/LAG3/RORA/MFNG/WAS/SLAMF7/IL1R1/PIK3CD/BST2/DOCK11/SASH3/LCP1/FCGR2B/HCK/BLK/DOCK10/CD40/DOCK2/ST3GAL1/RFTN1/C4A/HLX/STAP1/CX3CR1/RAC2/FCER1G/MZB1/SERPINB9/IRF8/CCR2/ANXA1/HLA-DMA/TLR9/A2M/LGALS1/SLC11A1/MYO1G/NFKBID/MAD2L2/CORO1A/POU2AF1/ARID5A/PIK3CG/IRAK3/CLU/CTSH/DUSP10/LAT2/PKN1/TGFB1/FGR/CCL19/FOXF1/HLA-DPB1/FYN/BTK/CFB/STXBP1/CCR6/ITGAM/CD19/SLAMF6/CR1/GPRC5B/FES/CFD/PIK3R6/HK1/NLRP3/NKX2-3/IL1B/ADA/SEMA4A/SCIMP/VAV1/APBB1IP/CGAS/DDX21/IL12RB1/MICA/MALT1/ARRB2/CD244/NCF1/CD81/LACC1/TCIM/BCL6/ZC3H12A/FOXJ1/SLA2/CD28/PLCG2/TBX21/TLR4/CBL/GNL1/ANKRD17/MIF/CLEC7A/MR1/HFE/RBP4/CD22/C6"
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",266,0.67683542669225,1.9059886477288,5.69245721092395e-17,8.29461768456047e-14,6.89523147392349e-14,1658,"tags=47%, list=13%, signal=42%","TNXB/SERPINA5/MMP9/BGN/EFEMP1/ADAMDEC1/COL15A1/SERPINA3/MGP/F13A1/C1QB/MXRA5/APOE/CCDC80/PCOLCE/C1QC/C1QA/LUM/FBN1/SERPINF1/DPT/COL14A1/COL18A1/COL1A1/ICAM1/MMRN1/CXCL12/ABI3BP/COL5A1/S100A9/POSTN/FBLN2/MFAP4/MMP2/COL1A2/DCN/SPARC/MFGE8/SERPING1/TGFBI/HAPLN1/ADAMTS10/SFRP1/HTRA1/COL28A1/VWF/FBLN5/VCAN/COL3A1/CFP/ELN/PDGFB/CLEC3B/COL4A1/ADAM19/ANGPTL2/COL6A2/SPARCL1/COL6A1/EGFL7/LTBP2/PRELP/FBLN1/COL27A1/PLAT/ADAMTSL4/ANXA6/BCAM/NID1/NCAM1/TNC/SERPINB9/ANXA1/VWA1/LAMA2/ADAMTS1/SULF1/GPC6/A2M/LAMC1/LGALS1/EMILIN2/WNT5B/COL6A3/SSC5D/TIMP3/S100A4/CLU/CTSH/SDC3/LAMB2/P3H1/TGFB1/PXDN/L1CAM/VWC2/FMOD/ADAMTS9/TIMP1/AEBP1/CLEC14A/TGM2/TPSB2/OGN/TPSAB1/PODN/LOXL1/LAMA5/COL8A2/COL5A2/AGT/COL9A3/ITIH5/SRPX2/CTSF/A1BG/COL12A1/SMOC1/LOXL2/MMRN2/CCN3/LAMA4/TGFB1I1/ANGPTL1"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",332,0.648942285804458,1.83663287608043,6.52924053634706e-17,8.29461768456047e-14,6.89523147392349e-14,1658,"tags=42%, list=13%, signal=38%","TNXB/SERPINA5/MMP9/BGN/MMP12/EFEMP1/MMP25/ADAMDEC1/COL15A1/SERPINA3/MGP/F13A1/C1QB/MXRA5/APOE/CCDC80/PCOLCE/C1QC/C1QA/LUM/FBN1/SERPINF1/GP1BA/DPT/COL14A1/COL18A1/EMID1/COL1A1/ADAMTSL3/ICAM1/MMRN1/CXCL12/ABI3BP/COL5A1/HAPLN3/S100A9/POSTN/FBLN2/MFAP4/MMP2/COL1A2/DCN/SPARC/LOX/MFGE8/SERPING1/TGFBI/HAPLN1/ADAMTS10/SFRP1/CD180/HTRA1/COL28A1/VWF/FBLN5/VCAN/COL3A1/CFP/ELN/PDGFB/CLEC3B/PAPLN/COL4A1/ADAM19/ANGPTL2/COL6A2/SPARCL1/COL6A1/EGFL7/LTBP2/PRELP/FBLN1/COL27A1/CRISPLD2/PLAT/ADAMTSL4/ANXA6/BCAM/NID1/NCAM1/ALPL/TNC/SERPINB9/ANXA1/VWA1/LAMA2/ADAMTS1/SULF1/FLRT2/GPC6/A2M/LAMC1/LGALS1/EMILIN2/WNT5B/COL6A3/SSC5D/TIMP3/S100A4/CLU/CTSH/SDC3/LAMB2/P3H1/TGFB1/PXDN/L1CAM/VWC2/FMOD/ADAMTS9/DMBT1/TIMP1/AEBP1/CLEC14A/LRRC32/TGM2/TPSB2/OLFML2A/OGN/TPSAB1/PODN/LOXL1/LAMA5/COL8A2/COL5A2/AGT/COL9A3/ITIH5/SRPX2/CTSF/A1BG/COL12A1/SMOC1/LOXL2/MMP1/MMRN2/TGFBR3/CCN3/LAMA4/TGFB1I1/ANGPTL1"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE",331,0.648168847864533,1.83500672398064,6.10800525706701e-17,8.29461768456047e-14,6.89523147392349e-14,2028,"tags=42%, list=15%, signal=36%","HLA-DOA/HLA-C/HLA-DOB/HLA-DRA/CR2/C3/EBI3/HLA-DPA1/CD40LG/C2/BATF/FCGR3A/CD4/C1QB/HLA-B/HLA-DQB1/C1QC/C1QA/HAVCR2/GATA3/HLA-DQA1/CD209/HLA-DRB1/CD86/SH2D1A/GAPT/GPR183/FCER2/CD226/ICAM1/SIGLEC10/HLA-DRB5/IL4I1/IL18BP/SAMSN1/IL21R/SLAMF1/IRF4/HLA-F/JAK3/GZMM/C1S/TNFSF13B/SPN/ZAP70/LILRB1/IL7R/SERPING1/LAT/HLA-DMB/CD27/CLEC10A/NCKAP1L/CD274/TAP2/CD84/JCHAIN/LILRB4/LY9/SIT1/CD74/CSF2RB/LAG3/RORA/WAS/SLAMF7/IL1R1/PIK3CD/CD48/SASH3/FCGR2B/CD40/RFTN1/C4A/HLX/CX3CR1/FCER1G/LAMP3/ADCY7/CCR2/ANXA1/HLA-DMA/SKAP1/SLC11A1/MYO1G/CD79A/NFKBID/MAD2L2/LIME1/TNFRSF17/ARID5A/PIK3CG/CLU/CTSH/DUSP10/LAT2/PKN1/TGFB1/CCL19/PRDM1/HLA-DPB1/FYN/FCAMR/TNFRSF13C/BTK/TNFRSF13B/CCR6/CD19/BACH2/SLAMF6/CR1/NLRP3/CD79B/PRKCB/IL1B/ADA/SEMA4A/CXCL13/JAM3/THEMIS/IL12RB1/MICA/MALT1/CD244/IRF1/ORAI1/SIPA1/CD81/TRIM27/BCL6/ZC3H12A/FOXJ1/SLA2/CD7/RAPGEF3/BMX/CD28/TBX21/TLR4"
"GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION","GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION","GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION",370,0.634447236716739,1.80064573361761,7.11897054829859e-17,8.29461768456047e-14,6.89523147392349e-14,2028,"tags=38%, list=15%, signal=33%","HLA-DOA/HLA-DOB/HLA-DRA/DLG5/EBI3/IDO1/SLAMF8/HLA-DPA1/CD40LG/VCAM1/FCGR3A/CD4/PLA2G2D/HLA-DQB1/HAVCR2/GATA3/HLA-DQA1/IL2RA/CD209/HLA-DRB1/GPNMB/CD86/GPR183/TYROBP/ZBTB16/HLA-DRB5/RIPOR2/IL4I1/SAMSN1/SLAMF1/IRF4/HLA-F/JAK3/CD38/TNFSF8/TNFSF13B/SPN/ZAP70/VSIG4/LILRB1/CCL2/IL7R/ADORA2A/LAT/AIF1/HLA-DMB/THEMIS2/CD27/NCKAP1L/CD274/SFRP1/LAPTM5/CD300A/LILRB4/SIT1/MNDA/CD74/LAG3/CD83/AXL/TESPA1/SIRPG/SASH3/NFAM1/FCGR2B/TNFAIP8L2/SIRPA/BLK/RASAL3/ZEB1/CD40/RUNX3/THY1/HLX/RAC2/MZB1/LCK/CCR2/RHOH/NFATC2/ITPKB/ANXA1/HLA-DMA/DOCK8/TMEM131L/TLR9/PRNP/CCR7/TNFSF11/LGALS1/TBC1D10C/ATM/BTN2A2/CARD11/NFKBID/MAD2L2/CORO1A/BCL2/DUSP10/PKN1/TGFB1/FGR/CCL19/PRDM1/HLA-DPB1/FYN/TNFRSF13C/TIGIT/BTK/TNFRSF13B/LRRC32/BMP4/BANK1/BST1/CD19/CR1/PIK3R6/NLRP3/IL1B/FCHO1/ADA/VAV1/CGAS/MAP3K8/FANCA/IL12RB1/MICA/MALT1/IRF1/CAV1/IKZF3/CD81/BCL6/ZC3H12A/FOXJ1/CD28/CCL21/TBX21/TLR4"
"GOCC_SIDE_OF_MEMBRANE","GOCC_SIDE_OF_MEMBRANE","GOCC_SIDE_OF_MEMBRANE",417,0.626653640229155,1.78450238065269,4.84430267814371e-17,8.29461768456047e-14,6.89523147392349e-14,1802,"tags=37%, list=14%, signal=33%","HLA-C/HLA-DRA/SERPINA5/EBI3/MSR1/HLA-DPA1/CD40LG/CD163/VCAM1/SELP/FCGR3A/CD4/CSF2RA/HLA-B/HLA-DQB1/HLA-DQA1/TRAF1/IL2RA/CD209/HLA-DRB1/GP1BA/ITGB2/ITGAX/CD86/SLA/OSMR/FCER2/CD226/ICAM1/CXCL12/SCARA5/ENG/RGS1/HLA-DRB5/PDGFRA/S1PR1/IL21R/SLAMF1/HLA-F/FOLR2/SPN/ZAP70/LILRB1/PLEKHA4/ITGA4/IL7R/MFGE8/CD27/CXCL10/CLEC10A/CD274/ACKR4/CLEC2D/KDR/CD36/ITGAL/THBD/CD84/TNFRSF9/LILRB4/ANTXR1/LY9/DLG4/CD74/CSF2RB/LRRK2/CD69/LAG3/SHANK3/GNB4/CD83/SLAMF7/IL1R1/SCUBE1/CD48/GNGT2/ITGA5/CXCL9/FCGR2B/HCK/BLK/HEG1/RASAL3/KCNAB2/CD40/CDH5/ACKR3/THY1/CD34/ABCC4/CX3CR1/BCAM/NCAM1/FCER1G/LCK/CCR2/CD163L1/CTSK/PTPN7/ANXA1/CXCR4/GNG7/TIAM1/CLEC17A/PRNP/HIP1/CARMIL2/CCR7/GNA15/MCAM/BTN2A2/BTN2A3P/CD79A/GEM/MTSS2/FGR/CCR1/HLA-DPB1/FYN/TNFRSF13C/CNR2/ITGA9/CLEC2B/CLEC14A/MS4A1/TNFRSF18/CCR6/RGS2/ITGAM/LIFR/CD19/SLAMF6/FES/CXCR5/CD79B/STAC3/LDLR/GRAMD1A/ADA/TGFBR3/F10/CD302/GHR/CANX/LEPR/SHROOM4/IL12RB1/TF/MICA/PKHD1/GM2A/CD244/CD248/GNG11/PPP1R9B/CD14"
"GOBP_T_CELL_ACTIVATION","GOBP_T_CELL_ACTIVATION","GOBP_T_CELL_ACTIVATION",404,0.620762857306831,1.76463938387906,2.39932655989531e-16,2.44611342781327e-13,2.03342925951128e-13,2027,"tags=37%, list=15%, signal=32%","HLA-DOA/HLA-DOB/HLA-DRA/DLG5/EBI3/IDO1/HLA-DPA1/CD40LG/BATF/VCAM1/CD4/PLA2G2D/HLA-DQB1/HAVCR2/GATA3/HLA-DQA1/IL2RA/CD209/HLA-DRB1/GPNMB/CD86/GPR183/ICAM1/ZBTB16/HLA-DRB5/RIPOR2/IL4I1/SLAMF1/IRF4/JAK3/TNFSF8/TNFSF13B/SPN/ZAP70/VSIG4/LILRB1/CCL2/IL7R/ADORA2A/LAT/AIF1/HLA-DMB/CD27/NCKAP1L/CD274/ITGAL/CD84/LAPTM5/CD300A/GJA1/LILRB4/SPI1/LY9/SIT1/CD74/LAG3/RORA/CD83/WAS/SLAMF7/TESPA1/PIK3CD/CD48/RAB29/SIRPG/SASH3/LCP1/FCGR2B/TNFAIP8L2/SIRPA/MAFB/RASAL3/ZEB1/DOCK2/MSN/RUNX3/THY1/HLX/RAC2/FCER1G/LCK/CCR2/RHOH/ITPKB/PREX1/ANXA1/HLA-DMA/DOCK8/TMEM131L/PRNP/NLRC3/CCR7/TNFSF11/LGALS1/SLC11A1/BTN2A2/CARD11/NFKBID/CORO1A/BCL2/PIK3CG/DUSP10/CCL19/CD44/PRDM1/HLA-DPB1/FYN/JAML/TNFRSF13C/TIGIT/WDFY4/LRRC32/BMP4/CCR6/SLAMF6/CR1/EGR1/PIK3R6/NLRP3/NKX2-3/IL1B/FCHO1/ADA/SEMA4A/VAV1/APBB1IP/CGAS/GPR18/MAP3K8/THEMIS/LEPR/CDK6/FANCA/IL12RB1/MICA/MALT1/IRF1/CAV1/CD81/CHD7/BCL6/ZC3H12A/FOXJ1/SLA2/CD7/CD28/CCL21/TBX21"
"GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_LEUKOCYTE_CELL_CELL_ADHESION",297,0.651457926045696,1.83987067547029,2.36486986800486e-15,2.14309762704974e-12,1.78153530056366e-12,1529,"tags=37%, list=12%, signal=33%","HLA-DOA/HLA-DOB/HLA-DRA/DLG5/EBI3/SELL/IDO1/HLA-DPA1/CD40LG/VCAM1/SELP/CD4/PLA2G2D/MADCAM1/HLA-DQB1/HAVCR2/GATA3/HLA-DQA1/IL2RA/CD209/HLA-DRB1/ITGB2/CERCAM/GPNMB/CD86/ICAM1/CXCL12/ZBTB16/HLA-DRB5/SELPLG/ALOX5/RIPOR2/IL4I1/S100A9/SLAMF1/JAK3/TNFSF13B/SPN/ZAP70/VSIG4/LILRB1/CCL2/ITGA4/IL7R/ADORA2A/AIF1/HLA-DMB/CD27/NCKAP1L/CD274/ITGAL/LAPTM5/CD300A/LILRB4/CD74/LAG3/CD83/TESPA1/SIRPG/SASH3/ITGA5/FCGR2B/TNFAIP8L2/SIRPA/PECAM1/RASAL3/MSN/RUNX3/THY1/HLX/CX3CR1/RAC2/LCK/CCR2/RHOH/ITGB7/ITPKB/ANXA1/HLA-DMA/SKAP1/DOCK8/TMEM131L/PRNP/CCR7/TNFSF11/LGALS1/BTN2A2/CARD11/NFKBID/CORO1A/FERMT3/DUSP10/SEMA4D/CCL19/HAS2/CD44/HLA-DPB1/FYN/TNFRSF13C/TIGIT/LRRC32/BMP4/CR1/PIK3R6/NLRP3/JAM2/IL1B/FCHO1/ADA"
"GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",318,0.6421088863616,1.81609643949855,3.35996090298543e-15,2.74038411247491e-12,2.27805349222412e-12,2028,"tags=39%, list=15%, signal=34%","HLA-DOA/HLA-DOB/CR2/DLG5/LTF/IDO1/MMP12/SLAMF8/PLA2G2D/HLA-B/ZBTB46/C1QC/HAVCR2/IL2RA/FBN1/MILR1/APOD/HLA-DRB1/GPNMB/CD86/SH2D1A/CXCL12/TYROBP/RIPOR2/IL4I1/SAMSN1/SLAMF1/HLA-F/JAK3/SPN/GATA2/VSIG4/LILRB1/CCL2/FSTL3/IL7R/ADORA2A/SERPING1/NCKAP1L/CD274/SFRP1/CD84/LAPTM5/CD300A/LILRB4/SPI1/MNDA/CD74/COL3A1/PLCB1/TSC22D3/LAG3/AXL/BST2/FCGR2B/TNFAIP8L2/UBASH3A/HCK/BLK/MAFB/RUNX3/THY1/HLX/STAP1/CX3CR1/SERPINB9/CCR2/CD200/SAMHD1/ANXA1/TMEM131L/IFI16/PRNP/A2M/NLRC3/CNR1/TBC1D10C/ATM/BTN2A2/LYAR/IRAK3/DUSP10/NLRC5/PKN1/CD300LF/TGFB1/FGR/FOXF1/FYN/CNR2/PVRIG/TIGIT/BTK/RHBDF2/TNFRSF13B/LRRC32/SYT11/BMP4/BANK1/CR1/LDLR/ADA/CCN3/GPR18/LRCH1/GPR137B/CDK6/MICA/ARRB2/IRF1/CX3CL1/PLCG1/GBP1/TRIM27/FBXW7/BCL6/EMILIN1/ZC3H12A/LPXN/FOXJ1/SLA2/CCL21/TBX21/TLR4"
