,Prox.HighVLow.ES,Prox.MedVLow.ES,Prox.MedVHigh.ES,Prox.HighVLow.Sign,Prox.MedVLow.Sign,Prox.MedVHigh.Sign,Prox.HighVLow.Padj,Prox.HighVLow.qval,Prox.MedVLow.Padj,Prox.MedVLow.qval,Prox.MedVHigh.Padj,Prox.MedVHigh.qval
GOBP_LEUKOCYTE_DIFFERENTIATION,0.442608872,0.630609084,-0.599512741,Enriched in High,Enriched in Med,Enriched in High,1.80E-06,1.57E-06,4.13E-17,3.43E-17,1.99E-08,1.56E-08
GOBP_IMMUNE_EFFECTOR_PROCESS,0.419971765,0.629205842,0.610674549,Enriched in High,Enriched in Med,Enriched in Med,4.22E-05,3.68E-05,1.93E-15,1.61E-15,8.79E-08,6.87E-08
GOBP_LEUKOCYTE_PROLIFERATION,0.484654572,0.648168848,-0.60605192,Enriched in High,Enriched in Med,Enriched in High,5.70E-05,4.97E-05,8.29E-14,6.90E-14,1.27E-06,9.90E-07
GOBP_MONONUCLEAR_CELL_DIFFERENTIATION,0.427947986,0.634447237,0.587567161,Enriched in High,Enriched in Med,Enriched in Med,0.00019834,0.000172752,8.29E-14,6.90E-14,3.42E-05,2.67E-05
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.475337457,0.620762857,0.609037302,Enriched in High,Enriched in Med,Enriched in Med,0.000272008,0.000236916,2.45E-13,2.03E-13,0.00012616,9.86E-05
GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE,0.399850397,0.642108886,0.620842724,Enriched in High,Enriched in Med,Enriched in Med,0.001639754,0.001428207,2.74E-12,2.28E-12,0.000165192,0.000129092
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.410615411,0.610697434,0.601630176,Enriched in High,Enriched in Med,Enriched in Med,0.001910221,0.001663781,1.35E-11,1.12E-11,0.000176256,0.000137738
GOBP_REGULATION_OF_CELL_ACTIVATION,0.377549126,0.647917727,0.589575725,Enriched in High,Enriched in Med,Enriched in Med,0.001910221,0.001663781,1.51E-10,1.25E-10,0.00023167,0.000181042
GOBP_LEUKOCYTE_MIGRATION,0.421234749,0.593285361,0.60680863,Enriched in High,Enriched in Med,Enriched in Med,0.002566575,0.002235457,2.38E-10,1.98E-10,0.000241992,0.000189108
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.410283327,0.659846402,0.606788337,Enriched in High,Enriched in Med,Enriched in Med,0.003227655,0.00281125,4.27E-10,3.55E-10,0.000328595,0.000256785
