"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_B_CELL_ACTIVATION","GOBP_B_CELL_ACTIVATION","GOBP_B_CELL_ACTIVATION",216,0.610540660457369,2.10675987610726,1.83251159814463e-16,1.5305136867704e-12,1.23993521609197e-12,1812,"tags=39%, list=13%, signal=34%","AICDA/CD79A/MZB1/VCAM1/CD19/POU2AF1/MS4A1/CD79B/CD27/CR1/BLK/TNFRSF13C/CXCR5/CD180/CD22/CD38/CTLA4/BATF/GAPT/EXO1/LYL1/IL4I1/SLAMF8/LAX1/CD86/LEF1/FCGR2B/CD40/FCRL3/LAPTM5/JAK3/THEMIS2/BANK1/BST1/FCRL1/TLR9/CD40LG/BST2/CCR6/CD74/TRBC2/BTK/CMTM7/FOXP3/NCKAP1L/CTPS1/SPI1/CR2/LAT2/TNFRSF4/HHEX/TNFRSF13B/ITGA4/ADA/MFNG/CARD11/DLL1/IKZF3/SASH3/CD28/GPR183/PTPRC/MAD2L2/ST3GAL1/EPHB2/PIK3CD/MSH6/TBC1D10C/IL7R/PLCG2/DOCK11/PRKDC/EZH2/KIT/NFAM1/CD300A/SAMSN1/NFATC2/CD81/NOD2/PRKCB/BCL2/ATM/APLF"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",352,0.550526005918904,1.93388817648996,5.89548241615862e-16,2.46195345698784e-12,1.99453478795093e-12,2220,"tags=41%, list=16%, signal=35%","SERPINA3/CHI3L1/CLU/MFGE8/MMP9/KRT1/CTHRC1/ADAMTS7/VCAN/BGN/PKHD1L1/CD180/PAPLN/GP1BA/TPSAB1/LTBP2/PCOLCE/APOE/RTN4RL1/BMP7/MXRA5/DPT/TNC/ADAM19/MUC5B/COL15A1/OLFML2B/COL1A1/HAPLN3/EMID1/NID1/HAPLN1/ADAMTS1/COL2A1/ADAMDEC1/MMP2/LAMC3/ALPL/TNXB/ELN/SERPINF1/LRRN1/SPOCK2/COL1A2/COL14A1/COL6A1/FLRT2/S100A9/LAMA5/MMP12/CPA3/EFEMP1/ADAMTS10/SCARA3/MFAP2/LUM/SERPING1/FBN1/COL3A1/LOXL2/TPSB2/FN1/SPARC/COL6A3/COL5A1/CFP/VWF/COL18A1/SMOC1/COL6A2/LAMA2/CCN1/MMP1/FBN2/SERPINA5/LAMC1/FBLN5/NAV2/ICAM1/PXDN/MUC4/CTSH/POSTN/ITIH5/ANGPTL2/MFAP4/C1QA/C1QB/LOXL1/ANGPTL4/PRELP/BCAM/COL4A1/MGP/COL4A4/ZP3/AGT/LOX/MMRN2/F12/WNT5A/ANXA6/CXCL12/AEBP1/COCH/GPC1/CCN3/A2M/C1QC/EMILIN1/COL8A2/SSC5D/FBLN2/MMP25/SDC3/CLEC14A/SERPINF2/PDGFB/CRISPLD2/LRRC32/ADAMTS15/TGFBI/SERPINB9/COL16A1/CCDC80/COL5A2/MFAP5/TIMP1/FBLN1/LAMB1/ADAMTSL4/F13A1/OLFML2A/LAMB2/FGFBP3/SOD3/COL7A1/ABI3BP/HTRA1/COL27A1/P3H1/LAMA4/CD248/TIMP4"
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",281,0.557693521974237,1.94491752628801,5.26362508482957e-14,1.46539322361655e-10,1.1871783173784e-10,2135,"tags=42%, list=16%, signal=36%","SERPINA3/CLU/MFGE8/MMP9/KRT1/CTHRC1/VCAN/BGN/TPSAB1/LTBP2/PCOLCE/APOE/BMP7/MXRA5/DPT/TNC/ADAM19/COL15A1/COL1A1/NID1/HAPLN1/ADAMTS1/COL2A1/ADAMDEC1/MMP2/LAMC3/TNXB/ELN/SERPINF1/COL1A2/COL14A1/COL6A1/S100A9/LAMA5/CPA3/EFEMP1/ADAMTS10/SCARA3/MFAP2/LUM/SERPING1/FBN1/COL3A1/LOXL2/TPSB2/FN1/SPARC/COL6A3/COL5A1/CFP/VWF/COL18A1/SMOC1/COL6A2/LAMA2/CCN1/FBN2/SERPINA5/LAMC1/FBLN5/NAV2/ICAM1/PXDN/CTSH/POSTN/ITIH5/ANGPTL2/MFAP4/C1QA/C1QB/LOXL1/ANGPTL4/PRELP/BCAM/COL4A1/MGP/COL4A4/ZP3/AGT/MMRN2/F12/WNT5A/ANXA6/CXCL12/AEBP1/COCH/GPC1/CCN3/A2M/C1QC/EMILIN1/COL8A2/SSC5D/FBLN2/SDC3/CLEC14A/SERPINF2/PDGFB/ADAMTS15/TGFBI/SERPINB9/COL16A1/CCDC80/COL5A2/MFAP5/TIMP1/FBLN1/LAMB1/ADAMTSL4/F13A1/LAMB2/FGFBP3/SOD3/COL7A1/ABI3BP/HTRA1/COL27A1/P3H1"
"GOBP_LEUKOCYTE_MIGRATION","GOBP_LEUKOCYTE_MIGRATION","GOBP_LEUKOCYTE_MIGRATION",281,0.550793667261106,1.92085476093097,2.75492521655828e-13,5.7522838521737e-10,4.66017349790438e-10,1932,"tags=36%, list=14%, signal=31%","ALOX5/MADCAM1/TNFSF11/VCAM1/MMP9/CCL21/SELL/CXCR5/STAP1/CCL23/ADGRE2/SELP/IL1A/CCR7/SLAMF8/ITGB2/RIPOR2/CCL22/CXCR4/CCL19/CNR2/CH25H/RHOH/S100A9/CHGA/BST1/CCR2/SLAMF1/APOD/PTN/CCR6/CD74/CXCL13/CORO1A/NCKAP1L/S1PR1/IL16/CMKLR1/SPI1/GPR18/C5/C3AR1/PTAFR/CX3CR1/CD200/CSF1/ICAM1/GATA3/ITGA4/SELPLG/ADA/RAC2/CHST2/TRPM2/C5AR1/ARTN/LYVE1/ITGAL/GPR183/PDE4B/CXCL9/FLT1/PLVAP/PIK3CD/ZP3/IL34/PGF/WNT5A/VAV1/CXCL3/CXCL12/EDNRB/CCR1/PLCB1/AIF1/CCN3/PLA2G7/CSF1R/PIK3CG/HCK/EMILIN1/KIT/PECAM1/CD300A/TNFRSF18/IL1B/CD34/ITGB7/THY1/MSN/CD81/NOD2/MYO1G/DOCK8/PDGFB/PREX1/BMP5/PTPRO/LRCH1/LCK"
"GOBP_TAXIS","GOBP_TAXIS","GOBP_TAXIS",432,0.495215797544423,1.74486614390149,1.06163935554594e-12,1.77336237950395e-09,1.43667742683144e-09,2265,"tags=33%, list=17%, signal=29%","FOSL1/NGFR/ALOX5/TNFSF11/VCAM1/CCL21/CHN1/EGR2/CXCR5/STAP1/CCL23/ADGRE2/SEMA4A/BMP7/CCR7/SLAMF8/HBEGF/ITGB2/RIPOR2/LEF1/CCL22/CXCR4/CCL19/PDGFRA/CNR2/CH25H/GLI2/SCN1B/CCR4/CXCL14/RHOH/EGR3/FLRT2/SEMA3A/S100A9/LAMA5/CHGA/BST1/CCR2/SLAMF1/PTN/KDR/NR4A1/ROBO1/CCR6/CD74/EMB/CXCL13/CMTM7/DOCK2/CORO1A/NCKAP1L/S1PR1/IL16/LAMA2/CCN1/CMKLR1/FGF2/SPI1/GPR18/PLXND1/C5/C3AR1/PTAFR/GFRA3/NOTCH3/CX3CR1/CSF1/ROBO4/FGF7/GPNMB/GATA3/NRG1/RAC2/PDGFRB/SEMA6B/TRPM2/C5AR1/EPHB6/ARTN/GPR183/NRCAM/SEMA4D/PDE4B/CXCL9/FLT1/LSP1/EPHB2/PIK3CD/IL34/EPHA2/LOX/PGF/NRP2/WNT5A/VAV1/CXCL3/CXCL12/EDNRB/FGFR1/SLIT3/CCR1/EPHB4/AIF1/NOTCH1/CCN3/HMGB2/PLA2G7/ST6GAL1/CSF1R/PIK3CG/CMTM3/PLAU/PTGDR2/KIT/IL1B/SEMA4C/GDF7/PLXNC1/TUBB3/PRKD1/NOD2/NRXN1/FPR3/PDGFB/PREX1/ADGRA2/PTPRM/SEMA3F/PLXNA1/PTPRO/KLF7/LAMB2/FOLR2/EPHA3/PDGFD/MYCBP2/CCL20/NRP1/TUBB2B/BOC/BMP4/CYSLTR1/SLIT2"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",251,0.556546865688586,1.93380938861844,1.37934960318178e-12,1.92005464762904e-09,1.55551916653553e-09,1956,"tags=35%, list=14%, signal=31%","CLU/CD79A/CD19/KRT1/MS4A1/CD79B/CR1/BLK/STAP1/CD22/C3/RFTN1/CD38/CTLA4/LILRB4/C4A/CCR7/BTNL9/LAX1/FCGR2B/C2/KLHL6/FCRL3/LAPTM5/THEMIS2/BANK1/RGCC/C1S/AIM2/SERPING1/TRBC2/SH2B2/SH2D1A/BTK/FOXP3/CFP/NCKAP1L/CMKLR1/CR2/LAT2/C5/C3AR1/GATA3/RAB29/ADA/CARD11/C7/C5AR1/MFAP4/C1QA/C1QB/HLA-DQB1/CD28/PTPRC/NFKBID/PDE4B/PIK3CD/FCHO1/VAV1/BTN2A3P/NLRC4/CFH/PLCG2/TESPA1/PRKDC/A2M/C1QC/CMTM3/HCK/NFAM1/CD300A/IL1B/IFI16/PAK3/THY1/NFATC2/CD81/NOD2/ZBP1/MYO1G/PRKCB/FPR3/BCL2/LIME1/BTN2A2/LCK/BMX/TYROBP"
"GOBP_CELL_CHEMOTAXIS","GOBP_CELL_CHEMOTAXIS","GOBP_CELL_CHEMOTAXIS",221,0.574433232614487,1.98481043109085,1.81386170252788e-12,2.16419613421613e-09,1.75330872539086e-09,1752,"tags=36%, list=13%, signal=32%","ALOX5/TNFSF11/VCAM1/CCL21/CXCR5/STAP1/CCL23/ADGRE2/CCR7/SLAMF8/HBEGF/ITGB2/RIPOR2/LEF1/CCL22/CXCR4/CCL19/PDGFRA/CNR2/CH25H/CCR4/CXCL14/EGR3/S100A9/CHGA/BST1/CCR2/SLAMF1/PTN/KDR/NR4A1/CCR6/CD74/CXCL13/CORO1A/NCKAP1L/S1PR1/IL16/CMKLR1/FGF2/SPI1/GPR18/C5/C3AR1/CX3CR1/CSF1/RAC2/PDGFRB/TRPM2/C5AR1/GPR183/PDE4B/CXCL9/FLT1/PIK3CD/IL34/EPHA2/LOX/PGF/WNT5A/VAV1/CXCL3/CXCL12/EDNRB/FGFR1/CCR1/AIF1/NOTCH1/CCN3/HMGB2/PLA2G7/CSF1R/PIK3CG/KIT/IL1B/PRKD1/NOD2/PDGFB/PREX1"
"GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION",262,0.547409184070922,1.90467640823675,3.26131189114225e-12,3.40480961435251e-09,2.75838326792926e-09,3406,"tags=44%, list=25%, signal=33%","AICDA/MCM10/TICRR/NUGGC/CDC45/GLI2/DSCC1/FAM111B/DTL/MCM2/POLE2/WDHD1/EREG/GINS4/MCM6/GLI1/GINS1/ORC1/CCNA2/SLFN11/TWNK/E2F8/TIPIN/DBF4B/BRCA2/CDK1/LIG1/CDT1/NOC3L/NFIC/CHEK1/DNA2/RECQL4/BLM/TRAIP/FEN1/RRM2/MCM5/GINS2/PIF1/CHTF18/TIMELESS/MCM7/MCM3/DDX21/POLQ/RFC3/MMS22L/POLD2/EME1/TSPYL2/CHAF1B/FBXO5/RMI2/E2F7/POLA1/POLD1/NAP1L1/ATR/CDK2/RRM1/ESCO2/SSRP1/ORC6/RNASEH2A/RFC4/GINS3/ZGRF1/POLG2/NFIX/DBF4/PRIM1/CHAF1A/ATAD5/RAD51/TONSL/NT5M/NBN/ZRANB3/LIG3/CDC6/POLA2/PCLAF/GTPBP4/CCNE1/MCM4/GRWD1/TP53/DUT/JADE1/ALYREF/CCDC88A/DNAJA3/GMNN/SUPT16H/CDC7/POLH/THOC1/RFC5/RFC1/MCM8/NASP/WDR18/DNAJC2/NUCKS1/PTMS/SET/CTC1/REV3L/NFRKB/PCNA/EME2/ACTR5/POLE3"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",223,0.552910149402038,1.91015981878966,1.47118538388192e-11,1.36526003624242e-08,1.10605609913368e-08,2135,"tags=43%, list=16%, signal=37%","MADCAM1/ADAM12/VCAM1/MMP9/VCAN/BGN/SPP1/ITGAX/TPSAB1/LTBP2/PCOLCE/P3H3/BMP7/TLL1/PTPRS/TNC/ADAM19/COL15A1/COL1A1/NID1/ITGB2/HAPLN1/ADAMTS1/COL2A1/MMP2/LAMC3/PCOLCE2/TNXB/ELN/COL1A2/COL14A1/COL6A1/LAMA5/MMP12/EFEMP1/KDR/ITGAM/MFAP2/LUM/ITGA8/FBN1/COL3A1/LOXL2/FN1/SPARC/COL6A3/COL5A1/VWF/COL18A1/COL6A2/LAMA2/FGF2/MMP1/FBN2/CAPN6/LAMC1/FBLN5/CTSK/ICAM1/PXDN/ITGA4/MFAP4/ITGAL/LOXL1/ITGA5/COL4A1/COL4A4/LOX/SCUBE1/A2M/LOXL3/CD44/EMILIN1/PECAM1/COL8A2/FBLN2/ITGB7/MMP25/ACTN1/SDC3/NRXN1/PDGFB/COL16A1/COL5A2/MFAP5/TIMP1/FBLN1/LAMB1/LAMB2/COL7A1/DDR2/HTRA1/COL27A1/ICAM2/P3H1"
"GOBP_B_CELL_PROLIFERATION","GOBP_B_CELL_PROLIFERATION","GOBP_B_CELL_PROLIFERATION",69,0.718835657896848,2.25336398933502,1.89280040125419e-11,1.5808668951275e-08,1.28072852413283e-08,1773,"tags=55%, list=13%, signal=48%","CD79A/MZB1/CD19/MS4A1/BLK/TNFRSF13C/CD180/CD22/CD38/CTLA4/GAPT/LEF1/FCGR2B/CD40/FCRL3/BST1/TLR9/CD40LG/CD74/BTK/NCKAP1L/CTPS1/CR2/TNFRSF4/TNFRSF13B/ADA/CARD11/IKZF3/SASH3/GPR183/PTPRC/EPHB2/IL7R/CD300A/NFATC2/CD81/BCL2/ATM"
